species,stressor,vuln,iucn_sid,src,map_f
arctocephalus australis,air_temp,0.37187,2055,iucn,species_ranges/iucn_spp_mol_2055.csv
arctocephalus australis,air_temp,0.37187,2064,am,species_ranges/am_spp_mol_arctocephalus_australis.csv
arctocephalus australis,air_temp,0.37187,72050476,iucn,species_ranges/iucn_spp_mol_72050476.csv
arctocephalus australis,biomass_removal,0.7587,2055,iucn,species_ranges/iucn_spp_mol_2055.csv
arctocephalus australis,biomass_removal,0.7587,2064,am,species_ranges/am_spp_mol_arctocephalus_australis.csv
arctocephalus australis,biomass_removal,0.7587,72050476,iucn,species_ranges/iucn_spp_mol_72050476.csv
arctocephalus australis,bycatch,0.60878,2055,iucn,species_ranges/iucn_spp_mol_2055.csv
arctocephalus australis,bycatch,0.60878,2064,am,species_ranges/am_spp_mol_arctocephalus_australis.csv
arctocephalus australis,bycatch,0.60878,72050476,iucn,species_ranges/iucn_spp_mol_72050476.csv
arctocephalus australis,entanglement_macroplastic,0.32584,2055,iucn,species_ranges/iucn_spp_mol_2055.csv
arctocephalus australis,entanglement_macroplastic,0.32584,2064,am,species_ranges/am_spp_mol_arctocephalus_australis.csv
arctocephalus australis,entanglement_macroplastic,0.32584,72050476,iucn,species_ranges/iucn_spp_mol_72050476.csv
arctocephalus australis,eutrophication_nutrient_pollution,0.1057,2055,iucn,species_ranges/iucn_spp_mol_2055.csv
arctocephalus australis,eutrophication_nutrient_pollution,0.1057,2064,am,species_ranges/am_spp_mol_arctocephalus_australis.csv
arctocephalus australis,eutrophication_nutrient_pollution,0.1057,72050476,iucn,species_ranges/iucn_spp_mol_72050476.csv
arctocephalus australis,habitat_loss_degradation,0.44752,2055,iucn,species_ranges/iucn_spp_mol_2055.csv
arctocephalus australis,habitat_loss_degradation,0.44752,2064,am,species_ranges/am_spp_mol_arctocephalus_australis.csv
arctocephalus australis,habitat_loss_degradation,0.44752,72050476,iucn,species_ranges/iucn_spp_mol_72050476.csv
arctocephalus australis,inorganic_pollution,0.32202,2055,iucn,species_ranges/iucn_spp_mol_2055.csv
arctocephalus australis,inorganic_pollution,0.32202,2064,am,species_ranges/am_spp_mol_arctocephalus_australis.csv
arctocephalus australis,inorganic_pollution,0.32202,72050476,iucn,species_ranges/iucn_spp_mol_72050476.csv
arctocephalus australis,invasive_species,0.70455,2055,iucn,species_ranges/iucn_spp_mol_2055.csv
arctocephalus australis,invasive_species,0.70455,2064,am,species_ranges/am_spp_mol_arctocephalus_australis.csv
arctocephalus australis,invasive_species,0.70455,72050476,iucn,species_ranges/iucn_spp_mol_72050476.csv
arctocephalus australis,light_pollution,0.64913,2055,iucn,species_ranges/iucn_spp_mol_2055.csv
arctocephalus australis,light_pollution,0.64913,2064,am,species_ranges/am_spp_mol_arctocephalus_australis.csv
arctocephalus australis,light_pollution,0.64913,72050476,iucn,species_ranges/iucn_spp_mol_72050476.csv
arctocephalus australis,marine_heat_waves,0.24337,2055,iucn,species_ranges/iucn_spp_mol_2055.csv
arctocephalus australis,marine_heat_waves,0.24337,2064,am,species_ranges/am_spp_mol_arctocephalus_australis.csv
arctocephalus australis,marine_heat_waves,0.24337,72050476,iucn,species_ranges/iucn_spp_mol_72050476.csv
arctocephalus australis,noise_pollution,0.50549,2055,iucn,species_ranges/iucn_spp_mol_2055.csv
arctocephalus australis,noise_pollution,0.50549,2064,am,species_ranges/am_spp_mol_arctocephalus_australis.csv
arctocephalus australis,noise_pollution,0.50549,72050476,iucn,species_ranges/iucn_spp_mol_72050476.csv
arctocephalus australis,oceanographic,0,2055,iucn,species_ranges/iucn_spp_mol_2055.csv
arctocephalus australis,oceanographic,0,2064,am,species_ranges/am_spp_mol_arctocephalus_australis.csv
arctocephalus australis,oceanographic,0,72050476,iucn,species_ranges/iucn_spp_mol_72050476.csv
arctocephalus australis,organic_pollution,0.40485,2055,iucn,species_ranges/iucn_spp_mol_2055.csv
arctocephalus australis,organic_pollution,0.40485,2064,am,species_ranges/am_spp_mol_arctocephalus_australis.csv
arctocephalus australis,organic_pollution,0.40485,72050476,iucn,species_ranges/iucn_spp_mol_72050476.csv
arctocephalus australis,plastic_pollution_microplastic,0.06843,2055,iucn,species_ranges/iucn_spp_mol_2055.csv
arctocephalus australis,plastic_pollution_microplastic,0.06843,2064,am,species_ranges/am_spp_mol_arctocephalus_australis.csv
arctocephalus australis,plastic_pollution_microplastic,0.06843,72050476,iucn,species_ranges/iucn_spp_mol_72050476.csv
arctocephalus australis,poisons_toxins,0.05353,2055,iucn,species_ranges/iucn_spp_mol_2055.csv
arctocephalus australis,poisons_toxins,0.05353,2064,am,species_ranges/am_spp_mol_arctocephalus_australis.csv
arctocephalus australis,poisons_toxins,0.05353,72050476,iucn,species_ranges/iucn_spp_mol_72050476.csv
arctocephalus australis,salinity,0,2055,iucn,species_ranges/iucn_spp_mol_2055.csv
arctocephalus australis,salinity,0,2064,am,species_ranges/am_spp_mol_arctocephalus_australis.csv
arctocephalus australis,salinity,0,72050476,iucn,species_ranges/iucn_spp_mol_72050476.csv
arctocephalus australis,sedimentation,0.28159,2055,iucn,species_ranges/iucn_spp_mol_2055.csv
arctocephalus australis,sedimentation,0.28159,2064,am,species_ranges/am_spp_mol_arctocephalus_australis.csv
arctocephalus australis,sedimentation,0.28159,72050476,iucn,species_ranges/iucn_spp_mol_72050476.csv
arctocephalus australis,sea_level_rise,0.21679,2055,iucn,species_ranges/iucn_spp_mol_2055.csv
arctocephalus australis,sea_level_rise,0.21679,2064,am,species_ranges/am_spp_mol_arctocephalus_australis.csv
arctocephalus australis,sea_level_rise,0.21679,72050476,iucn,species_ranges/iucn_spp_mol_72050476.csv
arctocephalus australis,sst_rise,0.7587,2055,iucn,species_ranges/iucn_spp_mol_2055.csv
arctocephalus australis,sst_rise,0.7587,2064,am,species_ranges/am_spp_mol_arctocephalus_australis.csv
arctocephalus australis,sst_rise,0.7587,72050476,iucn,species_ranges/iucn_spp_mol_72050476.csv
arctocephalus australis,storm_disturbance,0.28216,2055,iucn,species_ranges/iucn_spp_mol_2055.csv
arctocephalus australis,storm_disturbance,0.28216,2064,am,species_ranges/am_spp_mol_arctocephalus_australis.csv
arctocephalus australis,storm_disturbance,0.28216,72050476,iucn,species_ranges/iucn_spp_mol_72050476.csv
arctocephalus australis,wildlife_strike,0.59143,2055,iucn,species_ranges/iucn_spp_mol_2055.csv
arctocephalus australis,wildlife_strike,0.59143,2064,am,species_ranges/am_spp_mol_arctocephalus_australis.csv
arctocephalus australis,wildlife_strike,0.59143,72050476,iucn,species_ranges/iucn_spp_mol_72050476.csv
arctocephalus galapagoensis,air_temp,0.45492,2057,iucn,species_ranges/iucn_spp_mol_2057.csv
arctocephalus galapagoensis,biomass_removal,0.7587,2057,iucn,species_ranges/iucn_spp_mol_2057.csv
arctocephalus galapagoensis,bycatch,0.60878,2057,iucn,species_ranges/iucn_spp_mol_2057.csv
arctocephalus galapagoensis,entanglement_macroplastic,0.32584,2057,iucn,species_ranges/iucn_spp_mol_2057.csv
arctocephalus galapagoensis,eutrophication_nutrient_pollution,0.1057,2057,iucn,species_ranges/iucn_spp_mol_2057.csv
arctocephalus galapagoensis,habitat_loss_degradation,0.44752,2057,iucn,species_ranges/iucn_spp_mol_2057.csv
arctocephalus galapagoensis,inorganic_pollution,0.26795,2057,iucn,species_ranges/iucn_spp_mol_2057.csv
arctocephalus galapagoensis,invasive_species,0.70455,2057,iucn,species_ranges/iucn_spp_mol_2057.csv
arctocephalus galapagoensis,light_pollution,0.64913,2057,iucn,species_ranges/iucn_spp_mol_2057.csv
arctocephalus galapagoensis,marine_heat_waves,0.31336,2057,iucn,species_ranges/iucn_spp_mol_2057.csv
arctocephalus galapagoensis,noise_pollution,0.50549,2057,iucn,species_ranges/iucn_spp_mol_2057.csv
arctocephalus galapagoensis,oceanographic,0,2057,iucn,species_ranges/iucn_spp_mol_2057.csv
arctocephalus galapagoensis,organic_pollution,0.33074,2057,iucn,species_ranges/iucn_spp_mol_2057.csv
arctocephalus galapagoensis,plastic_pollution_microplastic,0.06843,2057,iucn,species_ranges/iucn_spp_mol_2057.csv
arctocephalus galapagoensis,poisons_toxins,0.05353,2057,iucn,species_ranges/iucn_spp_mol_2057.csv
arctocephalus galapagoensis,salinity,0,2057,iucn,species_ranges/iucn_spp_mol_2057.csv
arctocephalus galapagoensis,sedimentation,0.28159,2057,iucn,species_ranges/iucn_spp_mol_2057.csv
arctocephalus galapagoensis,sea_level_rise,0.21679,2057,iucn,species_ranges/iucn_spp_mol_2057.csv
arctocephalus galapagoensis,sst_rise,0.7587,2057,iucn,species_ranges/iucn_spp_mol_2057.csv
arctocephalus galapagoensis,storm_disturbance,0.28216,2057,iucn,species_ranges/iucn_spp_mol_2057.csv
arctocephalus galapagoensis,wildlife_strike,0.59143,2057,iucn,species_ranges/iucn_spp_mol_2057.csv
arctocephalus gazella,air_temp,0.37187,2058,iucn,species_ranges/iucn_spp_mol_2058.csv
arctocephalus gazella,biomass_removal,0.7587,2058,iucn,species_ranges/iucn_spp_mol_2058.csv
arctocephalus gazella,bycatch,0.60878,2058,iucn,species_ranges/iucn_spp_mol_2058.csv
arctocephalus gazella,entanglement_macroplastic,0.32584,2058,iucn,species_ranges/iucn_spp_mol_2058.csv
arctocephalus gazella,eutrophication_nutrient_pollution,0.1057,2058,iucn,species_ranges/iucn_spp_mol_2058.csv
arctocephalus gazella,habitat_loss_degradation,0.44752,2058,iucn,species_ranges/iucn_spp_mol_2058.csv
arctocephalus gazella,inorganic_pollution,0.32202,2058,iucn,species_ranges/iucn_spp_mol_2058.csv
arctocephalus gazella,invasive_species,0.70455,2058,iucn,species_ranges/iucn_spp_mol_2058.csv
arctocephalus gazella,light_pollution,0.64913,2058,iucn,species_ranges/iucn_spp_mol_2058.csv
arctocephalus gazella,marine_heat_waves,0.24337,2058,iucn,species_ranges/iucn_spp_mol_2058.csv
arctocephalus gazella,noise_pollution,0.50549,2058,iucn,species_ranges/iucn_spp_mol_2058.csv
arctocephalus gazella,oceanographic,0,2058,iucn,species_ranges/iucn_spp_mol_2058.csv
arctocephalus gazella,organic_pollution,0.40485,2058,iucn,species_ranges/iucn_spp_mol_2058.csv
arctocephalus gazella,plastic_pollution_microplastic,0.06843,2058,iucn,species_ranges/iucn_spp_mol_2058.csv
arctocephalus gazella,poisons_toxins,0.05353,2058,iucn,species_ranges/iucn_spp_mol_2058.csv
arctocephalus gazella,salinity,0,2058,iucn,species_ranges/iucn_spp_mol_2058.csv
arctocephalus gazella,sedimentation,0.28159,2058,iucn,species_ranges/iucn_spp_mol_2058.csv
arctocephalus gazella,sea_level_rise,0.21679,2058,iucn,species_ranges/iucn_spp_mol_2058.csv
arctocephalus gazella,sst_rise,0.7587,2058,iucn,species_ranges/iucn_spp_mol_2058.csv
arctocephalus gazella,storm_disturbance,0.28216,2058,iucn,species_ranges/iucn_spp_mol_2058.csv
arctocephalus gazella,wildlife_strike,0.59143,2058,iucn,species_ranges/iucn_spp_mol_2058.csv
arctocephalus philippii,air_temp,0.45492,2059,iucn,species_ranges/iucn_spp_mol_2059.csv
arctocephalus philippii,biomass_removal,0.7587,2059,iucn,species_ranges/iucn_spp_mol_2059.csv
arctocephalus philippii,bycatch,0.60878,2059,iucn,species_ranges/iucn_spp_mol_2059.csv
arctocephalus philippii,entanglement_macroplastic,0.32584,2059,iucn,species_ranges/iucn_spp_mol_2059.csv
arctocephalus philippii,eutrophication_nutrient_pollution,0.1057,2059,iucn,species_ranges/iucn_spp_mol_2059.csv
arctocephalus philippii,habitat_loss_degradation,0.44752,2059,iucn,species_ranges/iucn_spp_mol_2059.csv
arctocephalus philippii,inorganic_pollution,0.26795,2059,iucn,species_ranges/iucn_spp_mol_2059.csv
arctocephalus philippii,invasive_species,0.70455,2059,iucn,species_ranges/iucn_spp_mol_2059.csv
arctocephalus philippii,light_pollution,0.64913,2059,iucn,species_ranges/iucn_spp_mol_2059.csv
arctocephalus philippii,marine_heat_waves,0.31336,2059,iucn,species_ranges/iucn_spp_mol_2059.csv
arctocephalus philippii,noise_pollution,0.50549,2059,iucn,species_ranges/iucn_spp_mol_2059.csv
arctocephalus philippii,oceanographic,0,2059,iucn,species_ranges/iucn_spp_mol_2059.csv
arctocephalus philippii,organic_pollution,0.33074,2059,iucn,species_ranges/iucn_spp_mol_2059.csv
arctocephalus philippii,plastic_pollution_microplastic,0.06843,2059,iucn,species_ranges/iucn_spp_mol_2059.csv
arctocephalus philippii,poisons_toxins,0.05353,2059,iucn,species_ranges/iucn_spp_mol_2059.csv
arctocephalus philippii,salinity,0,2059,iucn,species_ranges/iucn_spp_mol_2059.csv
arctocephalus philippii,sedimentation,0.28159,2059,iucn,species_ranges/iucn_spp_mol_2059.csv
arctocephalus philippii,sea_level_rise,0.21679,2059,iucn,species_ranges/iucn_spp_mol_2059.csv
arctocephalus philippii,sst_rise,0.7587,2059,iucn,species_ranges/iucn_spp_mol_2059.csv
arctocephalus philippii,storm_disturbance,0.28216,2059,iucn,species_ranges/iucn_spp_mol_2059.csv
arctocephalus philippii,wildlife_strike,0.59143,2059,iucn,species_ranges/iucn_spp_mol_2059.csv
arctocephalus pusillus,air_temp,0.41402,2060,iucn,species_ranges/iucn_spp_mol_2060.csv
arctocephalus pusillus,air_temp,0.41402,2066,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus pusillus,air_temp,0.41402,2067,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus pusillus,biomass_removal,0.7587,2060,iucn,species_ranges/iucn_spp_mol_2060.csv
arctocephalus pusillus,biomass_removal,0.7587,2066,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus pusillus,biomass_removal,0.7587,2067,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus pusillus,bycatch,0.60878,2060,iucn,species_ranges/iucn_spp_mol_2060.csv
arctocephalus pusillus,bycatch,0.60878,2066,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus pusillus,bycatch,0.60878,2067,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus pusillus,entanglement_macroplastic,0.32584,2060,iucn,species_ranges/iucn_spp_mol_2060.csv
arctocephalus pusillus,entanglement_macroplastic,0.32584,2066,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus pusillus,entanglement_macroplastic,0.32584,2067,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus pusillus,eutrophication_nutrient_pollution,0.1057,2060,iucn,species_ranges/iucn_spp_mol_2060.csv
arctocephalus pusillus,eutrophication_nutrient_pollution,0.1057,2066,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus pusillus,eutrophication_nutrient_pollution,0.1057,2067,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus pusillus,habitat_loss_degradation,0.44752,2060,iucn,species_ranges/iucn_spp_mol_2060.csv
arctocephalus pusillus,habitat_loss_degradation,0.44752,2066,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus pusillus,habitat_loss_degradation,0.44752,2067,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus pusillus,inorganic_pollution,0.29539,2060,iucn,species_ranges/iucn_spp_mol_2060.csv
arctocephalus pusillus,inorganic_pollution,0.29539,2066,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus pusillus,inorganic_pollution,0.29539,2067,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus pusillus,invasive_species,0.70455,2060,iucn,species_ranges/iucn_spp_mol_2060.csv
arctocephalus pusillus,invasive_species,0.70455,2066,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus pusillus,invasive_species,0.70455,2067,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus pusillus,light_pollution,0.64913,2060,iucn,species_ranges/iucn_spp_mol_2060.csv
arctocephalus pusillus,light_pollution,0.64913,2066,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus pusillus,light_pollution,0.64913,2067,am,species_ranges/am_spp_mol_arctocephalus_pusillus.csv
arctocephalus pusillus,marine_heat_waves,0.27889,2060,iucn,species_ranges/iucn_spp_mol_2060.csv
