prob,cell_id
0.5,3281512
0.5,3281514
0.5,3281515
0.5,3285129
0.5,3285131
0.5,3285132
0.5,3288746
0.5,3288748
0.5,3288749
0.5,3292363
0.5,3292364
0.5,3292366
0.5,3292367
0.5,3295980
0.5,3295981
0.5,3295982
0.5,3295983
0.5,3295984
0.5,3299597
0.5,3299598
0.5,3299599
0.5,3299601
0.4,3285134
0.4,3285135
0.4,3285136
0.4,3285137
0.4,3288751
0.4,3288752
0.4,3288753
0.4,3288754
0.4,3288755
0.4,3292368
0.4,3292369
0.4,3292371
0.4,3292372
0.4,3295985
0.4,3295986
0.4,3295987
0.4,3295988
0.4,3295989
0.4,3299602
0.4,3299604
0.4,3299605
0.4,3299606
0.35,3295990
0.35,3295991
0.35,3299607
0.35,3299608
0.35,3299609
0.31,3296089
0.31,3299705
0.31,3299706
0.4,3281623
0.4,3281624
0.4,3281625
0.4,3285239
0.4,3285240
0.4,3285241
0.4,3288856
0.4,3288857
0.4,3288858
0.4,3292473
0.4,3296090
0.4,3299707
0.01,3281917
0.01,3281918
0.01,3281920
0.01,3281921
0.01,3281922
0.01,3285534
0.01,3285537
0.01,3285538
0.01,3285539
0.01,3289151
0.01,3289153
0.01,3289154
0.01,3289155
0.01,3289156
0.01,3292768
0.01,3292769
0.01,3292770
0.01,3292771
0.01,3292772
0.01,3296385
0.01,3296386
0.01,3296387
0.01,3296388
0.01,3300003
0.01,3300004
0.01,3300005
0.02,3281923
0.02,3281924
0.02,3281925
0.02,3281926
0.02,3281927
0.02,3285540
0.02,3285541
0.02,3285542
0.02,3285543
0.02,3285544
0.02,3281928
0.02,3281929
0.02,3281930
0.02,3285545
0.02,3285546
0.02,3285547
0.02,3285548
0.02,3285549
0.02,3289162
0.02,3289163
0.02,3289164
0.02,3289165
0.02,3289166
0.02,3281933
0.02,3281934
0.02,3281935
0.02,3281936
0.02,3281937
0.02,3285550
0.02,3285551
0.02,3285552
0.02,3285553
0.02,3285554
0.02,3289167
0.02,3289171
0.02,3292784
0.02,3281938
0.02,3281939
0.02,3281940
0.02,3281941
0.02,3281942
0.02,3285555
0.02,3285556
0.02,3285557
0.02,3285558
0.02,3285559
0.02,3289172
0.02,3289173
0.02,3289174
0.02,3289175
0.02,3289176
0.02,3292793
0.1,3281943
0.1,3281944
0.1,3281945
0.1,3281946
0.1,3281947
0.1,3285560
0.1,3285561
0.1,3285562
0.1,3285563
0.1,3285564
0.1,3289177
0.1,3289178
0.1,3289179
0.1,3289180
0.1,3289181
0.1,3292794
0.1,3292795
0.1,3292796
0.1,3292797
0.1,3292798
0.1,3296411
0.1,3296412
0.1,3296413
0.1,3296414
0.1,3296415
0.1,3300028
0.1,3300029
0.1,3300030
0.1,3300031
0.1,3300032
0.17,3281948
0.17,3281949
0.17,3281950
0.17,3281951
0.17,3281952
0.17,3285565
0.17,3285566
0.17,3285567
0.17,3285568
0.17,3285569
0.17,3289182
0.17,3289183
0.17,3289184
0.17,3289185
0.17,3289186
0.17,3292799
0.17,3292800
0.17,3292801
0.17,3292802
0.17,3292803
0.17,3296416
0.17,3296417
0.17,3296418
0.17,3296419
0.17,3296420
0.17,3300033
0.17,3300034
0.17,3300035
0.17,3300036
0.17,3300037
0.17,3281953
0.17,3281954
0.17,3281955
0.17,3281956
0.17,3281957
0.17,3285570
0.17,3285571
0.17,3285572
