prob,cell_id
0.01,3882973
0.01,3886590
0.01,3890207
0.01,3893824
0.01,3897440
0.01,3897441
0.01,3901056
0.01,3901057
0.06,3886591
0.07,3904673
0.07,3904674
0.07,3908290
0.07,3908291
0.07,3911907
0.07,3911908
0.07,3915524
0.07,3919141
0.07,3922758
0.07,3926374
0.07,3926375
0.27,3929991
0.27,3929992
0.27,3933608
0.27,3933609
0.27,3937225
0.27,3937226
0.27,3940841
0.27,3940842
0.27,3944458
0.27,3944459
0.27,3948075
0.19,3966158
0.19,3969775
0.65,3951691
0.65,3951692
0.65,3955308
0.65,3955309
0.65,3958925
0.65,3958926
0.65,3962542
0.65,3966159
0.65,3969776
0.57,3973392
0.57,3977008
0.57,3977009
0.57,3980624
0.57,3980625
0.57,3980626
0.57,3984240
0.57,3984241
0.57,3984242
0.57,3987857
0.57,3987858
0.57,3991475
0.57,3991476
0.99,3995092
0.99,3995093
0.99,3998709
0.99,4002326
0.99,4005943
0.99,4009560
0.99,4013176
0.99,4013177
0.99,4013178
1,4016793
1,4016794
1,4020410
1,4020411
1,4024027
1,4024028
1,4027644
1,4027645
1,4031261
1,4031262
1,4034878
1,4034879
1,4038495
1,4038496
1,4042112
1,4042113
1,4045729
1,4045730
1,4049346
1,4049347
1,4052963
1,4056579
1,4056580
0.97,4060197
0.97,4063814
0.97,4067431
0.97,4071048
0.97,4071049
0.97,4074665
0.97,4074666
0.97,4078282
0.97,4078283
0.65,4081899
0.65,4081900
0.65,4085516
0.65,4085517
0.65,4089134
0.65,4089135
0.65,4092751
0.65,4092752
0.65,4096368
0.65,4096369
0.65,4099986
0.25,4096370
0.25,4099987
0.95,4103603
1,4103604
1,4103605
1,4107221
1,4107222
1,4110838
1,4110839
1,4110840
1,4114456
1,4114457
1,4114458
1,4118074
1,4118075
1,4118076
1,4121692
1,4121693
1,4125309
1,4125310
1,4128927
1,4132544
1,4136161
1,4128928
1,4132545
1,4136162
1,4136163
1,4139778
1,4139779
1,4139780
1,4143396
1,4143397
0.95,4147014
0.95,4147015
0.95,4150631
0.95,4150632
0.95,4154248
0.95,4154249
0.95,4157866
0.95,4157867
0.95,4161483
0.95,4161484
0.95,4165101
0.85,4168718
0.85,4172335
0.85,4175952
1,4168719
1,4172336
1,4175953
1,4175954
1,4179570
1,4179571
1,4183188
1,4183189
1,4186805
1,4186806
1,4190422
1,4190423
1,4194040
1,4197657
1,4197658
1,4201273
1,4201274
1,4201275
1,4204891
1,4204892
1,4208508
1,4208509
1,4212126
1,4215743
1,4219360
0.83,4212127
0.83,4215744
0.83,4219361
0.83,4219362
0.83,4222978
0.83,4222979
0.83,4222980
0.83,4226595
0.83,4226596
0.83,4226597
0.83,4230213
0.83,4230214
0.83,4230215
0.78,4233830
0.78,4233831
0.78,4233832
0.78,4237447
0.78,4237448
0.78,4237449
0.78,4241065
0.78,4241066
0.78,4241067
0.78,4244682
0.78,4244683
0.78,4244684
0.78,4248300
0.78,4248301
0.78,4251918
0.32,4248302
0.32,4251919
1,4255534
1,4255535
1,4259151
0.51,4255536
0.51,4255537
0.51,4259152
0.51,4259153
0.51,4259154
0.51,4259155
0.51,4262769
0.51,4262770
0.51,4262771
0.51,4262772
0.51,4266387
0.51,4266388
0.51,4266389
0.51,4266390
0.51,4270005
0.51,4270006
0.51,4270007
0.51,4273622
0.51,4273623
0.51,4273624
0.62,4277239
0.62,4277240
0.62,4277241
0.62,4280856
0.62,4280857
0.62,4280858
0.62,4284474
0.62,4284475
0.62,4288091
0.62,4288092
0.62,4291708
0.62,4291709
0.62,4295325
0.62,4295326
0.3,4280859
0.3,4284476
0.3,4288093
0.3,4291710
0.3,4295327
0.82,4298942
0.82,4298943
0.82,4302559
0.82,4302560
0.82,4306176
0.82,4306177
0.82,4309793
0.82,4309794
0.82,4313409
0.82,4313410
0.82,4317026
0.82,4317027
0.61,4320643
0.61,4320644
0.61,4324260
0.61,4324261
0.61,4327878
0.61,4331495
0.61,4335112
0.61,4338729
0.32,4320645
0.32,4324262
0.32,4327879
0.32,4331496
0.32,4335113
0.32,4338730
0.26,4342346
0.26,4345963
0.26,4349580
0.26,4353197
0.26,4356814
