prob,cell_id
0.01,4770554
0.01,4770555
0.01,4770556
0.01,4770557
0.01,4770558
0.01,4774170
0.01,4774171
0.01,4774172
0.01,4774173
0.01,4774174
0.01,4777786
0.01,4777787
0.01,4777788
0.01,4777789
0.01,4777790
0.01,4781402
0.01,4781403
0.01,4781404
0.01,4781405
0.01,4781406
0.01,4785018
0.01,4785019
0.01,4785020
0.01,4785021
0.01,4785022
0.01,4788634
0.01,4788635
0.01,4788636
0.01,4788637
0.01,4788638
0.02,4792255
0.02,4792256
0.02,4792257
0.02,4792258
0.02,4795871
0.02,4795872
0.02,4795873
0.02,4795874
0.02,4799487
0.02,4799488
0.02,4799489
0.02,4799490
0.02,4803103
0.02,4803104
0.02,4803105
0.02,4803106
0.02,4806719
0.02,4806720
0.02,4806721
0.02,4806722
0.01,4810335
0.01,4810336
0.01,4810337
0.01,4810338
0.01,4813950
0.01,4813951
0.01,4813952
0.01,4817566
0.01,4817567
0.01,4817568
0.01,4821182
0.01,4821183
0.01,4821184
0.01,4821186
0.01,4824798
0.01,4824799
0.01,4824800
0.01,4824801
0.01,4824802
0.01,4828414
0.01,4828415
0.01,4828416
0.01,4828417
0.01,4828418
0.02,4810339
0.02,4810340
0.02,4810341
0.02,4810342
0.02,4813957
0.02,4821187
0.02,4824803
0.02,4824804
0.02,4828419
0.03,4810343
0.03,4810344
0.03,4810345
0.03,4810346
0.03,4810347
0.03,4813959
0.03,4813960
0.03,4813961
0.03,4813962
0.03,4813963
0.03,4817575
0.03,4817576
0.03,4817577
0.03,4817578
0.03,4817579
0.03,4821192
0.03,4821193
0.03,4821194
0.03,4821195
0.03,4824808
0.03,4824809
0.03,4824810
0.03,4824811
0.03,4828427
0.04,4839267
0.04,4842883
0.04,4846499
0.04,4846500
0.04,4846501
0.04,4846502
0.04,4850115
0.04,4850116
0.04,4850117
0.04,4850118
0.08,4832043
0.08,4835659
0.08,4839273
0.08,4839274
0.08,4842889
0.08,4842890
0.08,4846506
0.03,4832044
0.03,4832045
0.03,4832046
0.03,4832047
0.03,4835660
0.03,4835661
0.03,4835662
0.03,4835663
0.03,4839275
0.03,4839276
0.03,4839277
0.03,4839278
0.03,4839279
0.03,4842891
0.03,4842892
0.03,4842893
0.03,4842894
0.03,4842895
0.03,4846507
0.03,4846508
0.03,4846509
0.03,4846510
0.03,4846511
0.03,4850123
0.03,4850124
0.03,4850125
0.03,4850126
0.03,4850127
0.04,4857351
0.04,4857352
0.04,4857353
0.04,4857354
0.04,4860967
0.04,4860968
0.04,4860969
0.04,4860970
0.04,4864583
0.04,4864584
0.04,4864585
0.04,4864586
0.04,4868199
0.04,4868200
0.04,4868201
0.04,4868202
0.11,4853739
0.11,4853740
0.11,4853741
0.11,4853742
0.11,4853743
0.11,4857356
