prob,cell_id
0.31,4517248
0.31,4517249
0.31,4520865
0.14,4517250
0.14,4517251
0.14,4520866
0.14,4520867
0.14,4520868
0.14,4524482
0.14,4524483
0.14,4524484
0.14,4528098
0.14,4528099
0.14,4528100
0.14,4531715
0.14,4531716
0.14,4535331
0.14,4535332
0.14,4535333
0.18,4538947
0.18,4538948
0.18,4538949
0.18,4542564
0.18,4542565
0.18,4546180
0.18,4546181
0.18,4546182
0.18,4549796
0.18,4549797
0.18,4549798
0.18,4553412
0.18,4553413
0.18,4553414
0.18,4557029
0.18,4557030
0.37,4560644
0.37,4564260
0.37,4567875
0.37,4567876
0.37,4567877
0.37,4571492
0.37,4571493
0.37,4575108
0.37,4575109
0.37,4578724
0.37,4578725
0.2,4560645
0.2,4560646
0.2,4564261
0.2,4564262
0.2,4567878
0.2,4571494
0.2,4571495
0.2,4575110
0.2,4578726
0.4,4582340
0.4,4582341
0.4,4582342
0.4,4585956
0.4,4585957
0.4,4585958
0.4,4589572
0.4,4589573
0.4,4589574
0.4,4593188
0.4,4593189
0.4,4593190
0.4,4596804
0.4,4596805
0.4,4596806
0.4,4596807
0.35,4600420
0.35,4600421
0.35,4600422
0.35,4600423
0.35,4604037
0.35,4604038
0.35,4604039
0.35,4607652
0.35,4607653
0.35,4607654
0.35,4607655
0.35,4611268
0.35,4611269
0.35,4611270
0.35,4611271
0.35,4614884
0.35,4614885
0.35,4614886
0.35,4614887
0.35,4618500
0.35,4618501
0.35,4618502
0.31,4622117
0.31,4622118
0.31,4625733
0.31,4625734
0.31,4629349
0.31,4629350
0.31,4632965
0.31,4632966
0.31,4636582
0.31,4640198
0.31,4640199
0.52,4647429
0.52,4651045
0.52,4651046
0.52,4654662
0.52,4658277
0.52,4658278
0.52,4661893
0.52,4661894
0.32,4643814
0.32,4643815
0.32,4647430
0.32,4647431
0.32,4651047
0.32,4654663
0.32,4658279
0.32,4661895
0.55,4665509
0.55,4665510
0.55,4669125
0.55,4669126
0.55,4669127
0.55,4672741
0.55,4672742
0.55,4672743
0.55,4676357
0.55,4676358
0.55,4676359
0.55,4679972
0.55,4679973
0.55,4679974
0.55,4683588
0.55,4683589
0.55,4683590
0.66,4687203
0.66,4698052
0.66,4701668
0.66,4705283
0.66,4705284
0.54,4687204
0.54,4687205
0.54,4687206
0.54,4690820
0.54,4690821
0.54,4690822
0.54,4694436
0.54,4694437
0.54,4698053
0.54,4701669
0.54,4701670
0.54,4705285
0.54,4705286
0.74,4716128
0.74,4719743
0.74,4719744
0.74,4723358
0.74,4723359
0.74,4723360
0.71,4708898
0.71,4708899
0.71,4708900
0.71,4712513
0.71,4712514
0.71,4712515
0.71,4712516
0.71,4716129
0.71,4716130
0.71,4716131
0.71,4719745
0.71,4719746
0.71,4719747
0.71,4723361
0.34,4708901
0.82,4737820
0.82,4741437
0.82,4745052
0.82,4745053
0.79,4726974
0.79,4726975
0.79,4726976
0.79,4730590
0.79,4730591
0.79,4730592
0.79,4734205
0.79,4734206
0.79,4734207
0.79,4737821
0.79,4737822
0.79,4737823
0.79,4741438
0.79,4741439
0.79,4745054
0.86,4748667
0.86,4748668
0.86,4748669
0.86,4752283
0.86,4752284
0.86,4752285
0.86,4755900
0.86,4755901
0.86,4759515
0.86,4759516
0.86,4759517
0.86,4763132
0.86,4763133
0.86,4766746
0.86,4766747
0.86,4766748
0.86,4766749
0.06,4748670
0.93,4777593
0.93,4777594
0.93,4781209
0.93,4781210
0.93,4784825
0.93,4784826
0.93,4788441
0.93,4788442
0.82,4770363
0.82,4770364
0.82,4770365
0.82,4773978
0.82,4773979
0.82,4773980
0.82,4773981
0.82,4777595
0.82,4777596
0.82,4781211
0.82,4784827
0.82,4788443
0.17,4777788
0.17,4777789
0.17,4781403
0.17,4781404
0.17,4781405
0.17,4781406
0.17,4785018
0.17,4785019
0.17,4785020
0.17,4785021
0.17,4785022
0.17,4788634
0.17,4788635
0.17,4788636
0.17,4788637
0.17,4788638
0.26,4785023
0.26,4788639
0.26,4788640
0.98,4792057
0.98,4792058
0.98,4795673
0.98,4795674
0.98,4799289
0.98,4799290
0.98,4802904
0.98,4802905
0.98,4802906
0.98,4806521
0.98,4806522
0.24,4792059
0.24,4795675
0.24,4799291
0.24,4802907
0.71,4792255
0.71,4792256
0.71,4795871
0.71,4795872
0.71,4799487
0.71,4799488
0.71,4799489
0.71,4799490
0.71,4803103
0.71,4803104
0.71,4803105
0.71,4803106
0.71,4806719
0.71,4806720
0.71,4806721
0.71,4806722
0.74,4803107
0.74,4806723
0.74,4806724
0.74,4806725
0.74,4806726
1,4817367
1,4820983
1,4824598
1,4824599
1,4828214
1,4828215
1,4810136
1,4810137
1,4810138
1,4813753
1,4813754
1,4813755
1,4817368
1,4817369
1,4817370
1,4817371
1,4820984
1,4820985
1,4820986
1,4824600
1,4828216
0.26,4810335
0.26,4810336
0.26,4810337
0.26,4810338
0.26,4813950
0.26,4813951
0.26,4813952
0.26,4817566
0.26,4817567
0.26,4817568
0.26,4821182
0.26,4821183
0.26,4821184
0.26,4821186
0.26,4824799
0.26,4824800
0.26,4824801
0.26,4824802
0.26,4828415
0.26,4828416
0.26,4828417
0.26,4828418
0.4,4810339
0.4,4810340
0.4,4810341
0.4,4810342
0.4,4813957
0.4,4821187
0.4,4824803
0.4,4824804
0.4,4828419
1,4810343
1,4813959
1,4813960
1,4813961
