prob,cell_id
0.01,128315
0.01,128316
0.01,124702
0.01,124703
0.01,128318
0.01,124704
0.01,128319
0.01,128320
0.01,128321
0.01,128322
0.01,124708
0.01,128323
0.01,128324
0.01,124709
0.01,128325
0.01,124710
0.01,128326
0.01,124711
0.01,124712
0.01,124713
0.01,124714
0.01,121099
0.01,121100
0.01,124715
0.01,128331
0.01,121101
0.01,124716
0.01,124717
0.01,128332
0.01,128333
0.01,121104
0.01,121105
0.01,124720
0.01,124721
0.01,128336
0.01,121106
0.01,124722
0.01,124723
0.01,128339
0.01,124724
0.01,128340
0.01,124725
0.01,128341
0.01,128342
0.01,131818
0.01,131819
0.01,131820
0.01,135434
0.01,139048
0.01,131821
0.01,135435
0.01,139049
0.01,135436
0.01,139050
0.01,131828
0.01,131829
0.02,135456
0.06,131843
0.06,135457
0.06,135458
0.05,131844
0.05,131845
0.05,135459
0.04,131846
0.04,135460
0.04,131847
0.04,135461
0.04,135462
0.04,131848
0.04,131849
0.05,131850
0.05,131851
0.05,131852
0.05,131853
0.04,131854
0.04,135468
0.04,139083
0.01,131903
0.01,131904
0.01,139134
0.01,131905
0.01,139135
0.01,139136
0.01,131906
0.01,131907
0.01,131908
0.01,131909
0.01,131910
0.01,135526
0.01,131911
0.01,131912
0.01,135527
0.01,139142
0.01,131913
0.01,135528
0.01,139143
0.01,135531
0.01,139146
0.01,135532
0.01,139147
0.01,139148
0.01,131956
0.01,131957
0.01,131958
0.01,131959
0.01,131960
0.01,131961
0.01,131962
0.01,139194
0.01,131963
0.01,135579
0.01,139195
0.01,131964
0.01,135580
0.01,139196
0.01,131965
0.01,135581
0.01,135582
0.01,139197
0.01,139198
0.01,131966
0.01,135583
0.01,139199
0.01,142632
0.01,142633
0.01,146246
0.01,149860
0.01,142634
0.01,146247
0.01,146248
0.01,149861
0.01,149862
0.01,142635
0.01,142636
0.01,146249
0.01,149863
0.01,142637
0.01,146250
0.01,146251
0.01,149864
0.01,142638
0.01,146252
0.01,149865
0.01,149866
0.01,142639
0.01,142641
0.01,142642
0.01,142643
0.01,142644
0.01,146257
0.01,146258
0.01,142645
0.01,146259
0.01,149873
0.01,142646
0.01,149874
0.01,146261
0.01,146262
0.01,149875
0.01,149876
0.01,146263
0.09,149929
0.08,146316
0.08,149930
0.08,149931
0.06,142703
0.06,146317
0.06,149932
0.06,142704
0.06,146318
0.06,146319
0.06,149933
0.05,142705
0.05,142706
0.05,146320
0.05,149934
0.05,149935
0.06,146321
0.06,146322
0.06,149936
0.05,146323
0.05,149937
0.05,149938
0.05,146324
0.05,149939
0.05,146325
0.05,146326
0.05,149940
0.05,149941
0.04,142712
0.04,146327
0.03,142713
0.03,142714
0.03,146328
0.03,146329
0.03,142715
0.03,146330
0.02,142716
0.02,142717
0.02,146331
0.02,142718
0.02,146332
0.02,146333
0.01,142719
0.01,146334
0.01,142720
0.01,142721
0.01,146336
0.01,142724
0.01,142725
0.01,146339
0.01,146340
0.01,149954
0.01,149955
0.01,142730
0.01,146345
0.01,149960
0.01,142731
0.01,142732
0.01,146346
0.01,146347
0.01,149961
0.01,149962
0.01,142744
0.01,146359
0.01,142745
0.01,146360
0.01,146361
0.01,149976
0.02,146362
0.02,149977
0.02,142748
0.02,146363
0.02,149978
0.02,149979
0.02,142749
0.02,146364
0.02,146365
0.02,149980
0.01,146403
0.01,146404
0.01,150019
0.01,150020
0.01,146405
0.01,150021
0.02,146406
0.02,150022
0.02,146407
0.02,146408
0.02,150023
0.02,150024
0.02,146409
0.02,150025
0.02,146410
0.02,146411
0.02,150026
0.02,150027
0.02,146412
0.02,150028
0.02,146413
0.02,150029
0.02,146414
0.02,146415
0.02,150030
0.02,150031
0.02,146416
0.02,150032
0.01,146417
0.01,146418
0.01,150033
0.01,150034
0.01,146419
0.01,150035
0.01,142805
0.01,142806
0.01,146421
0.01,146422
0.01,150037
0.01,150038
0.01,142807
0.01,146423
0.01,150039
0.01,142808
0.01,146424
0.01,146425
0.01,150040
0.01,150041
0.01,142809
0.01,142810
0.01,146426
0.01,150042
0.01,142811
0.01,146427
0.01,150043
0.01,150044
0.01,142812
0.01,142813
0.01,146428
0.01,146429
0.01,150045
0.01,142814
0.01,146430
0.01,150046
0.01,142815
0.01,150047
0.01,146433
0.01,146434
0.01,150050
0.01,150051
0.03,150274
0.03,150275
0.03,150276
0.01,153461
0.01,157074
0.01,157075
0.01,160688
0.01,153462
0.01,157076
0.01,160689
0.01,160690
0.01,153463
0.01,153464
0.01,157077
0.01,160691
0.01,153465
0.01,157078
0.01,157079
0.01,160692
0.01,160693
0.01,153468
0.01,160695
0.01,160696
0.01,153469
0.01,153470
0.01,160697
0.01,160698
0.01,160701
0.22,160758
0.22,160759
0.21,157145
0.21,157146
0.21,160760
0.18,157147
0.18,160761
0.18,160762
0.15,157148
0.15,160763
0.14,157149
0.14,157150
0.14,160764
0.17,157151
0.17,160765
0.17,160766
0.17,157152
0.17,157153
0.17,160767
0.15,153539
0.15,153540
0.15,157154
0.15,160768
0.15,160769
0.11,153541
0.11,157155
0.11,157156
0.09,153542
0.09,157157
0.09,153543
0.09,153544
0.09,157158
0.08,153545
0.08,160775
0.15,153546
0.15,153547
0.15,157161
0.15,160776
0.13,153548
0.13,157162
0.13,157163
0.13,160777
0.13,160778
0.09,153549
0.09,153550
0.09,160779
0.12,153551
0.15,153553
0.15,153554
0.01,157183
0.02,153569
0.02,153570
0.02,157184
0.02,157185
0.02,160800
0.02,153572
0.02,157187
0.02,153573
0.02,153576
0.02,153577
0.05,153593
0.05,153594
0.01,153635
0.02,153636
0.02,153637
0.03,157264
0.03,160880
0.02,157265
0.02,157266
0.02,160881
0.02,160882
0.02,157267
0.02,160883
0.01,153652
0.01,153653
0.01,157268
0.01,157269
0.01,160884
0.01,153663
0.01,157278
0.01,157279
0.01,160895
0.01,153664
0.01,157280
0.01,160896
0.01,157281
0.01,157282
0.01,160897
0.01,160898
0.01,153666
0.01,153667
0.01,157283
0.01,160899
0.01,153668
0.01,157284
0.01,157285
0.01,160900
0.01,160901
0.01,153669
0.01,153670
0.01,157286
0.01,160902
0.01,153672
0.01,153673
0.01,157288
0.01,157289
0.01,160905
0.01,157290
0.01,160906
0.01,160907
0.01,153675
0.01,157291
0.01,157292
0.01,160908
0.01,153676
0.01,153677
0.01,157293
0.02,153678
0.03,153679
0.03,153680
0.03,153681
0.04,153682
0.04,153683
0.06,153684
0.06,153685
0.06,157302
0.06,153686
0.06,153687
0.06,157303
0.07,157304
0.07,157305
0.06,157306
0.06,160923
0.05,160924
0.15,161124
0.15,157506
0.15,161125
0.16,157507
0.16,157508
0.16,161126
0.16,161127
0.16,153889
0.16,153890
0.16,157509
0.16,161128
0.16,153891
0.16,157510
0.16,157511
0.16,161129
0.16,161130
0.15,153892
0.15,153893
0.15,157512
0.15,161131
0.12,153894
0.12,161132
0.12,161133
0.11,153895
0.11,161136
0.12,161137
0.14,157519
0.14,161138
0.13,157520
0.13,157521
0.13,161139
0.13,161140
0.13,153903
0.13,157522
0.13,161141
0.11,153904
0.11,157523
0.11,157524
0.11,161142
0.11,161143
0.1,153905
0.1,153906
0.1,157525
0.1,161144
0.09,153907
0.09,157526
0.07,153908
0.05,161223
0.05,161224
0.04,157605
0.04,161225
0.04,161226
0.03,161232
0.01,164293
0.01,167906
0.01,167907
0.01,171520
0.01,164297
0.01,167911
0.01,171524
0.01,171525
0.01,164298
0.01,164299
0.01,171526
