prob,cell_id
0.01,532617
0.01,536231
0.01,536232
0.01,539845
0.01,539846
0.01,539847
0.01,543459
0.01,543460
0.01,543461
0.02,554315
0.02,557930
0.02,557931
0.01,557932
0.05,561544
0.05,561545
0.05,561546
0.05,565158
0.05,565159
0.05,565160
0.05,568773
0.05,568774
0.05,572387
0.05,572388
0.05,572389
0.05,576001
0.05,576002
0.05,576003
0.03,561547
0.03,561548
0.03,565161
0.03,565162
0.03,565163
0.03,568775
0.03,568776
0.03,568777
0.03,572390
0.03,572391
0.03,576004
0.03,576005
0.03,576006
0.04,579520
0.04,579521
0.04,579522
0.04,583134
0.04,583135
0.04,583136
0.04,586748
0.04,586749
0.04,586750
0.04,590362
0.04,590363
0.04,590364
0.05,579523
0.05,579524
0.05,583137
0.05,583138
0.05,583139
0.05,586751
0.05,586752
0.05,586753
0.05,590365
0.05,590366
0.05,590367
0.01,579525
0.01,583140
0.01,586754
0.01,590368
0.02,579618
0.02,579619
0.02,579620
0.02,583233
0.02,583234
0.02,586847
0.02,586848
0.02,586849
0.02,590461
0.02,590462
0.02,590463
0.02,579621
0.02,583235
0.02,583236
0.02,583237
0.02,586850
0.02,586851
0.02,586852
0.02,579624
0.02,579625
0.02,579626
0.02,583238
0.02,586853
0.01,579627
0.01,579628
0.01,579629
0.05,593979
0.05,593980
0.05,593981
0.05,597593
0.05,597594
0.05,597595
0.05,601207
0.05,601208
0.05,601209
0.05,604821
0.05,604822
0.05,604823
0.08,601210
0.08,601211
0.08,604824
0.08,604825
0.03,604830
0.03,604831
0.03,604832
0.07,604833
0.07,NA
0.01,597635
0.05,597636
0.05,601250
0.05,601251
0.05,601252
0.05,604866
0.02,594026
0.02,597640
0.02,597641
0.02,601254
0.02,601255
0.02,604867
0.02,604868
0.02,604869
0.01,594027
0.01,594028
0.01,594029
0.01,597642
0.01,597643
0.01,601256
0.01,601257
0.01,601258
0.01,604870
0.01,604871
0.01,604872
0.01,594044
0.01,594045
0.01,594046
0.01,597659
0.01,597660
0.01,597661
0.01,601273
0.01,601274
0.01,594047
0.01,594048
0.01,594049
0.01,597662
0.02,608436
0.02,608437
0.02,612050
0.02,612051
0.02,612052
0.02,615664
0.02,615665
0.02,615666
0.02,619278
0.02,619279
0.02,619280
0.02,622892
0.02,622893
0.02,622894
0.1,608438
0.1,608439
0.1,612053
0.1,612054
0.1,612055
0.1,615667
0.1,615668
0.1,615669
0.1,619281
0.1,619282
0.1,619283
0.1,622895
0.1,622896
0.1,622897
0.12,608443
0.12,612056
0.12,612057
0.12,615670
0.12,615671
