prob,cell_id
0.01,164369
0.01,167983
0.01,171597
0.01,164370
0.01,167984
0.01,167985
0.01,164371
0.01,164372
0.01,167986
0.01,164373
0.01,167987
0.01,164374
0.01,164375
0.01,171603
0.01,171604
0.01,164376
0.01,167991
0.01,171605
0.01,164379
0.01,167993
0.01,167994
0.01,171608
0.01,164380
0.01,164381
0.01,167995
0.01,171609
0.01,171610
0.01,164382
0.01,167996
0.01,167997
0.01,171611
0.01,171612
0.01,164383
0.01,164384
0.01,167998
0.01,171613
0.01,164385
0.01,167999
0.01,168000
0.01,171614
0.01,171615
0.01,164386
0.01,164387
0.01,168001
0.01,171616
0.01,168002
0.01,168003
0.01,171617
0.01,164390
0.01,168004
0.01,164391
0.01,168005
0.01,168006
0.01,171621
0.01,164392
0.01,168007
0.01,171622
0.01,182441
0.01,182442
0.01,178828
0.01,178829
0.01,182443
0.01,175215
0.01,175216
0.01,178830
0.01,182444
0.01,182445
0.01,175217
0.01,178831
0.01,178832
0.01,182446
0.01,175218
0.01,175219
0.01,178833
0.01,182447
0.01,182448
0.01,175220
0.01,178834
0.01,178835
0.01,182449
0.01,182450
0.01,175221
0.01,175222
0.01,178836
0.01,182451
0.01,175223
0.01,178837
0.01,178838
0.01,182452
0.01,175224
0.01,175225
0.01,178839
0.01,178840
0.01,175226
0.01,178841
0.01,189665
0.01,193279
0.01,186051
0.01,186052
0.01,189666
0.01,193280
0.01,193281
0.01,186053
0.01,189667
0.01,189668
0.01,193282
0.01,193283
0.02,186054
0.02,186055
0.02,189669
0.02,189670
0.02,193284
0.02,186056
0.02,189671
0.02,193285
0.02,193286
0.01,186057
0.01,186058
0.01,189672
0.01,189673
0.01,186059
0.01,186060
0.01,186061
0.01,189675
0.01,189676
0.01,193291
0.01,186062
0.01,186063
0.01,189677
0.01,189678
0.01,193292
0.01,186064
0.01,193293
0.01,193294
0.01,186065
0.01,193295
0.01,193297
0.01,193298
0.01,193299
0.01,190185
0.01,193805
0.01,186566
0.01,190186
0.01,193806
0.01,200497
0.01,207726
0.01,207727
0.01,200498
0.01,200499
0.01,207728
0.01,200500
0.01,200501
0.01,207729
0.01,207730
0.01,200502
0.01,204116
0.01,204117
0.01,207731
