prob,cell_id
0.06,233336
0.06,236953
0.01,233337
0.01,233338
0.01,236954
0.01,236955
0.01,273142
0.01,276758
0.05,287616
0.05,287617
0.01,287618
0.01,287619
0.13,338270
0.03,338271
0.03,338272
0.2,345505
0.13,341888
0.13,341889
0.13,345506
0.13,345507
0.13,349123
0.13,349124
0.09,341890
0.09,341891
0.09,341892
0.09,345508
0.09,345509
0.09,349125
0.1,341893
0.1,345510
0.28,421601
0.23,421606
0.23,421607
0.22,421608
0.22,421609
0.22,421610
0.21,414376
0.21,417993
0.44,435966
0.59,435967
0.59,435968
0.59,435969
0.66,432353
0.66,432354
0.66,435970
0.66,435971
0.64,435972
0.64,435973
0.64,435974
0.49,432357
0.49,432358
0.49,432359
0.49,435975
0.49,435976
0.59,432360
0.59,435977
0.59,435978
0.59,435979
0.52,435983
0.52,435984
0.43,432367
0.43,432368
0.43,435985
0.43,435986
0.42,435987
0.42,435988
0.39,435989
0.39,435990
0.24,425219
0.22,425223
0.21,425224
0.21,425225
0.19,425226
0.19,425227
0.19,428844
0.01,439421
0.01,443038
0.01,446655
0.07,439422
0.07,439423
0.07,439424
0.07,443039
0.07,443040
0.07,443041
0.07,446656
0.06,439425
0.06,439426
0.06,443042
0.73,450419
0.72,450420
0.61,446809
0.61,450426
0.79,446810
0.79,446811
0.79,450427
0.79,450428
0.79,450429
0.98,439577
0.98,439578
0.98,439579
0.98,443195
0.98,443196
0.98,446812
0.98,446813
0.98,446814
0.98,450430
0.98,450431
0.94,439580
0.94,439581
0.94,443197
0.94,443198
0.94,443199
0.94,446815
0.94,446816
0.94,450432
0.94,450433
0.94,450434
0.79,439582
0.79,439583
0.79,439584
0.79,443200
0.79,443201
0.79,446817
0.79,446818
0.79,446819
0.79,450435
0.79,450436
0.85,439585
0.85,439586
0.85,443202
0.85,443203
0.85,443204
0.85,446820
0.85,446821
0.85,450437
0.85,450438
0.85,450439
0.84,439587
0.84,439588
0.84,439589
0.84,443205
0.84,443206
0.84,446822
0.84,446823
0.84,450440
0.83,439590
0.83,439591
0.83,443207
0.83,443208
0.83,443209
0.83,450443
0.83,450444
0.82,439592
0.82,439593
0.82,439594
0.82,443210
0.82,443211
0.82,446827
0.82,446828
0.82,446829
0.82,450445
0.82,450446
0.7,439595
0.7,439596
0.7,443212
0.7,443213
0.7,443214
0.7,446830
0.7,450447
0.7,450448
0.7,450449
0.74,439597
0.74,439598
0.74,439599
0.74,443215
0.74,443216
0.74,446832
0.74,446833
0.74,446834
0.74,450450
0.74,450451
0.75,439600
0.75,439601
0.75,443217
0.75,443218
0.75,443219
0.75,446835
0.75,446836
0.75,450452
0.75,450453
0.86,439605
0.86,439606
0.86,443222
0.86,443223
0.86,443224
0.86,446840
0.86,446841
0.86,450457
0.86,450458
0.86,450459
0.81,439607
0.81,439608
0.81,443225
0.81,443226
0.81,446842
0.7,439609
0.7,439610
0.7,439611
0.7,443227
0.7,443228
0.7,443229
0.7,446846
0.7,450463
0.49,443230
0.49,443231
0.49,446847
0.49,446848
0.49,446849
0.49,450465
0.49,450466
0.47,446850
0.47,446851
0.47,450467
0.47,450468
