prob,cell_id
0.01,612067
0.01,612068
0.01,615681
0.01,615682
0.01,615683
0.01,619296
0.01,619297
0.01,622910
0.01,622911
0.01,622912
0.3,711850
0.3,711851
0.3,711852
0.3,715469
0.3,715470
0.3,715471
0.3,715472
0.3,719089
0.3,719090
0.3,719091
0.3,722709
0.3,722710
0.3,722711
0.13,812991
0.13,812992
0.13,812993
0.13,816610
0.13,816611
0.13,816612
0.13,820229
0.13,820230
0.13,820231
0.13,823847
0.13,823848
0.13,823849
0.13,823850
0.13,827466
0.13,827467
0.13,827468
0.13,827469
0.86,813085
0.86,823942
0.86,827560
0.86,827561
0.88,831085
0.88,831086
0.88,831087
0.88,834704
0.88,834705
0.88,834706
0.88,838323
0.88,838324
0.88,838325
0.88,841942
0.88,841943
0.88,841944
0.88,845561
0.88,845562
0.88,845563
0.8,831092
0.8,831093
0.8,831094
0.8,834711
0.8,834712
0.8,834713
0.8,838330
0.8,838331
0.8,838332
0.8,841948
0.8,841949
0.8,841950
0.8,841951
0.8,845567
0.8,845568
0.8,845569
0.8,845570
0.73,831095
0.73,831096
0.73,831097
0.73,834714
0.73,834715
0.73,834716
0.73,838333
0.73,838334
0.73,838335
0.73,841952
0.73,841953
0.73,841954
0.73,845571
0.73,845572
0.73,845573
0.66,831098
0.66,831099
0.66,831100
0.66,831101
0.66,834717
0.66,834718
0.66,834719
0.66,834720
0.66,838336
0.66,838337
0.66,838338
0.66,838339
0.66,841955
0.66,841956
0.66,841957
0.66,845574
0.66,845575
0.66,845576
0.11,865357
0.11,865358
0.11,868971
0.11,872587
0.11,872588
0.11,872589
0.11,876202
0.11,876203
0.11,876204
0.11,879817
0.11,879818
0.11,879819
0.11,879820
0.4,890537
0.4,890538
0.4,894152
0.4,894153
0.4,894154
0.4,894155
1,883310
1,883311
1,883312
1,886927
1,890541
1,890543
1,894156
1,894157
1,894158
0.85,885425
0.85,889044
0.68,897767
0.68,897768
0.68,897769
0.68,897770
0.68,901383
0.68,901384
0.68,901385
0.68,904998
0.68,904999
0.68,905000
0.68,908613
0.68,908614
0.68,908615
0.68,912228
0.68,912229
0.68,912230
0.68,912231
0.02,915805
0.02,915806
0.02,915807
0.02,919420
1,951936
1,951937
1,951938
1,955551
1,955552
1,955553
1,955554
1,959166
1,959167
1,959168
1,959169
1,962781
1,962782
1,962783
1,962784
1,966398
1,966399
0.67,954173
0.67,957791
0.67,957792
0.67,961410
0.67,961411
0.67,965029
0.67,965030
0.67,968648
0.67,968649
0.17,1004866
1,1006135
1,1006136
1,1006137
1,1006138
1,1009750
1,1009752
1,1009753
1,1013368
1,1016981
1,1016982
1,1016983
1,1020596
1,1020597
1,1020598
1,1020599
1,1024211
1,1024212
1,1024213
1,1024214
0.03,1006381
0.03,1006382
0.03,1017226
0.03,1017228
0.03,1017229
0.03,1020842
0.03,1024457
0.03,1024458
0.03,1024459
1,1008457
1,1012076
1,1015694
1,1019313
1,1022932
1,1026550
1,1026551
0.5,1030169
0.5,1030170
0.5,1033788
0.5,1037406
0.5,1037407
0.5,1041025
0.5,1041026
0.5,1044644
0.5,1044645
0.67,1084452
0.67,1088071
0.67,1091689
0.67,1095308
0.67,1098926
0.83,1272498
0.83,1276116
0.83,1279734
0.83,1286974
0.83,1290591
0.83,1290592
1,1391916
1,1391917
0.33,1391918
0.33,1391919
0.33,1391920
1,1590767
1,1590768
1,1590769
1,1594386
1,1594387
1,1605356
1,1608974
1,1612480
1,1616098
1,1619716
0.71,1652385
0.71,1656003
0.71,1659621
0.71,1663239
0.71,1670474
0.49,1674063
0.38,1713846
0.38,1717464
0.38,1721082
0.38,1724699
0.38,1724700
0.38,1728317
0.51,1746340
0.51,1746341
0.51,1749958
0.51,1749959
0.51,1749960
0.51,1749961
0.51,1753575
0.51,1753576
0.51,1753577
0.51,1753578
0.51,1753579
0.67,NA
0.04,1757189
0.04,1757190
0.04,1757191
0.04,1757192
0.04,1760807
0.04,1760808
0.04,1760809
0.04,1760810
0.04,1764424
0.04,1764425
0.04,1764426
0.04,1764427
0.04,1764428
0.04,1768042
0.04,1768043
0.04,1768044
0.04,1768045
0.04,1771660
0.04,1771661
0.04,1771662
0.04,1771663
0.09,1764482
0.09,1764483
0.09,1764484
0.09,1764485
0.09,1768100
0.09,1768101
0.09,1768102
0.09,1768103
0.09,1771718
0.09,1771719
0.09,1771720
0.09,1771721
0.66,NA
0.06,1775273
0.06,1775274
0.06,1775275
0.06,1775276
0.06,1775277
0.06,1778891
0.06,1778892
0.06,1778893
0.06,1778894
0.06,1782509
0.06,1782510
0.06,1782511
0.06,1782512
