prob,cell_id
0.88,439587
0.88,439588
0.88,439589
0.88,443205
0.88,443206
0.88,446822
0.88,446823
0.88,450440
0.76,454050
0.76,454051
0.76,457667
0.76,457668
0.76,457669
0.76,461285
0.76,461286
0.76,464902
0.76,464903
0.76,468519
0.76,468520
0.76,468521
0.33,454060
0.33,454061
0.33,457677
0.33,457678
0.33,457679
0.33,461295
0.33,461296
0.33,464912
0.33,464913
0.85,454067
0.85,454068
0.85,454069
0.85,457685
0.98,472114
0.98,472115
0.98,472116
0.98,475731
0.98,475732
0.98,475733
0.98,479349
0.98,479350
0.98,482966
0.98,482967
0.98,482968
0.84,472118
0.84,475734
0.84,475735
0.84,479351
0.84,482969
0.41,472124
0.41,472125
0.41,472126
0.41,475742
0.41,475743
0.41,479359
0.41,482976
0.41,482977
0.41,482978
0.73,472127
0.73,472128
0.73,475744
0.93,472129
0.93,472130
0.93,472131
0.93,475748
0.89,486576
0.89,486577
0.89,490193
0.89,493810
0.89,493811
0.89,493812
0.89,497428
0.89,497429
1,486578
1,486579
1,486580
1,490197
1,493813
1,493814
1,497430
1,486581
1,486582
1,490198
1,490200
1,493815
1,493816
0.93,486583
0.93,486584
0.93,486585
0.93,490201
0.93,490202
0.87,486586
0.87,486587
0.87,486588
0.87,490203
0.87,490204
0.87,490205
0.87,493822
0.75,486657
0.75,490274
0.75,490275
0.01,486739
0.22,501037
0.22,501038
0.22,501039
0.22,504654
0.22,504656
0.22,508272
0.22,508273
0.22,511889
0.22,511890
0.44,501042
0.44,501043
0.44,501044
0.44,504660
0.44,504661
0.44,508277
0.44,508278
0.44,511894
1,515509
1,515510
1,519126
1,519127
1,519128
1,522743
1,522744
1,522745
1,526361
1,526362
1,529978
1,529979
1,529980
0.09,519275
0.09,519276
0.09,522893
0.09,522894
0.09,526511
0.09,526512
0.09,526513
0.09,530129
0.09,530130
0.07,515666
0.07,515667
0.07,519285
1,533590
1,533591
1,537207
1,537208
1,537209
1,540824
1,540825
1,540826
1,544442
1,544443
1,533592
1,533593
1,533594
1,537210
1,537211
1,540827
1,540828
1,544444
1,544445
1,544446
0.01,533744
0.01,533745
0.01,533746
0.01,537362
0.01,537363
0.01,540979
0.01,540980
0.01,540981
0.01,544597
0.01,544598
0.01,544599
0.05,533747
0.05,537364
0.05,540982
0.07,537371
0.07,540988
0.07,540989
0.07,544605
0.07,544606
0.07,544607
0.04,537372
0.04,537373
0.04,537374
0.04,540990
0.04,540991
0.04,540992
0.04,544608
0.04,544609
0.04,544610
0.01,533771
0.01,533772
0.01,533773
0.01,537389
0.01,537390
0.01,541007
0.01,541008
1,548059
1,551676
1,551678
1,555293
1,555294
1,555295
1,558912
0.19,555386
0.19,559003
0.34,555387
0.34,555388
0.34,555389
0.34,559004
0.34,559005
0.34,559006
0.35,559007
0.35,559008
0.35,559009
0.03,555453
0.03,555454
0.03,559071
0.03,559072
0.03,559073
0.02,548222
0.02,551840
0.05,548223
0.05,548224
0.05,548225
0.05,551841
0.05,551842
0.05,551843
0.05,555459
0.05,555460
0.03,548226
0.03,548227
0.03,551844
0.03,551845
0.03,555461
0.03,555462
0.03,555463
0.03,559079
0.03,559080
0.03,559081
0.01,548228
0.01,548229
0.01,548230
0.01,551846
0.01,551847
0.01,551848
0.01,555464
0.01,555465
0.01,555466
0.01,559082
0.01,559083
0.01,559084
1,562517
1,562518
1,566134
1,566135
1,566136
1,569751
1,569752
1,569753
1,573368
1,573369
1,573370
1,576986
1,576987
1,562519
1,562520
1,562521
1,566137
1,566138
1,569754
1,569755
1,573371
1,573372
1,576988
1,576989
0.37,573491
0.37,577109
0.37,577110
0.03,573523
0.03,573524
0.03,577140
0.03,577141
0.03,577142
0.04,562680
0.04,562681
0.04,562682
0.04,566298
0.04,566299
0.04,566300
0.04,569916
0.04,569917
0.04,573533
0.04,573534
0.04,573535
0.04,577151
0.04,577152
0.04,577153
0.01,562683
0.01,562684
0.01,562685
0.01,566301
0.01,566302
0.01,569918
0.01,569919
0.01,569920
0.01,573536
0.01,573537
0.01,573538
0.01,577154
0.01,577155
0.01,577156
0.02,562689
0.02,562690
0.02,566306
0.02,566307
0.02,566308
0.02,569924
0.02,569925
0.02,569926
0.02,573542
0.02,573543
0.02,573544
0.02,577159
0.02,577160
0.02,577161
0.09,562697
0.09,562698
0.09,562699
0.09,566316
0.06,562700
0.06,562701
0.06,566317
0.06,566318
0.06,566319
0.06,569937
0.04,562702
0.04,562703
0.04,562704
0.04,566320
0.04,566321
0.04,566322
0.03,562705
0.03,562706
0.03,562707
0.03,566323
0.03,566325
0.03,562708
0.15,587670
0.67,580600
0.67,580601
0.67,580602
0.67,584217
0.67,584218
0.67,584219
0.67,587834
0.67,587835
0.67,587836
0.67,591452
0.67,591453
1,580603
1,580604
1,584220
1,584221
1,584222
1,587837
1,587838
1,587839
1,591454
0.1,NA
0.1,580769
0.1,580770
0.1,580771
0.11,580772
0.11,580773
0.11,584391
0.11,588009
0.11,591626
0.06,580774
0.06,580775
0.06,580776
0.06,584392
0.06,584393
0.06,584394
0.06,588010
0.06,588011
0.06,588012
0.06,591627
0.06,591629
0.1,580777
0.1,580778
0.1,584395
0.1,588013
0.1,591630
0.1,591631
0.81,594864
0.81,594866
0.81,598481
0.81,598482
0.81,602097
0.81,602098
0.81,605714
0.81,605715
0.81,605716
0.77,594867
0.77,594868
0.77,594869
0.77,598485
0.77,605717
0.77,605718
0.77,605719
0.71,594870
0.71,598486
0.71,605720
0.71,605721
0.63,594874
0.63,602107
0.63,602108
0.63,605724
0.07,594884
0.07,594885
0.07,594886
0.07,598502
0.07,602119
0.75,594887
0.75,598503
0.75,602120
0.09,594892
0.09,594893
0.09,594894
0.09,598510
0.09,598511
0.09,602127
0.09,602128
1,595066
1,595067
1,595068
1,598683
1,598684
1,598685
1,602300
1,602301
1,602302
1,605917
1,605918
1,605919
1,595069
1,595070
1,595071
1,598686
1,598687
1,602303
1,602304
1,605920
1,605921
0.06,595126
0.06,598743
0.06,598744
0.06,598745
0.06,602360
0.06,602361
0.06,602362
0.06,605978
0.06,605979
0.06,605980
0.01,598747
0.01,598748
0.01,602363
0.01,602364
0.01,602365
0.01,605981
0.01,605982
0.01,598749
0.01,598750
0.01,598751
0.01,602366
0.01,602367
0.01,602368
0.01,605983
0.01,605984
0.01,605985
