prob,cell_id
0.08,760434
0.08,760435
0.08,760436
0.08,764049
0.08,764050
0.08,764051
0.08,767664
0.08,767665
0.08,767666
0.08,771279
0.08,771280
0.08,771281
0.08,774894
0.08,774895
0.08,774896
0.04,760437
0.04,760438
0.04,760439
0.04,764052
0.04,764053
0.04,764054
0.04,767667
0.04,767668
0.04,767669
0.04,771282
0.04,771283
0.04,771284
0.04,774897
0.04,774898
0.04,774899
0.33,760440
0.33,760441
0.33,760442
0.33,764055
0.33,764056
0.33,764057
0.33,764058
0.33,767670
0.33,767671
0.33,767672
0.33,767673
0.33,771285
0.33,771286
0.33,771287
0.33,771288
0.33,774900
0.33,774901
0.33,774902
0.33,774903
0.81,760443
0.81,760444
0.81,760445
0.81,760446
0.81,764059
0.81,764060
0.81,764061
0.81,767674
0.81,767675
0.81,767676
0.81,771289
0.81,771290
0.81,771291
0.81,774904
0.81,774905
0.81,774906
0.05,778509
0.05,778510
0.05,778511
0.05,782124
0.05,782125
0.05,782126
0.05,785739
0.05,785740
0.05,785741
0.05,789354
0.05,789355
0.05,789356
0.14,778512
0.14,778513
0.14,778514
0.14,782127
0.14,782128
0.14,782129
0.14,785742
0.14,785743
0.14,785744
0.14,785745
0.14,789357
0.14,789358
0.14,789359
0.14,789360
0.18,778515
0.18,778516
0.18,778517
0.18,778518
0.18,782130
0.18,782131
0.18,782132
0.18,782133
0.18,785746
0.18,785747
0.18,785748
0.18,789361
0.18,789362
0.18,789363
0.33,778519
0.33,778520
0.33,778521
0.33,782134
0.33,782135
0.33,782136
0.33,785749
0.33,785750
0.33,785751
0.33,789364
0.33,789365
0.33,789366
0.22,778522
0.22,778523
0.22,778524
0.22,782137
0.22,782138
0.22,782139
0.22,785752
0.22,785753
0.22,785754
0.22,789367
0.22,789368
0.22,789369
0.23,778525
0.23,778526
0.23,778527
0.23,782140
0.23,782141
0.23,782142
0.23,785755
0.23,785756
0.23,785757
0.23,789370
0.23,789371
0.23,789372
0.23,789373
0.22,778528
0.22,778529
0.22,778530
0.22,778531
0.22,782143
0.22,782144
0.22,782145
0.22,782146
0.22,785758
0.22,785759
0.22,785760
0.22,785761
0.22,789374
0.22,789375
0.22,789376
0.21,778532
0.21,778533
0.21,782147
0.21,782148
0.21,785762
0.21,785763
0.21,785764
0.21,789377
0.21,789378
0.21,789379
0.2,792960
0.2,792961
0.2,792962
0.2,796574
0.2,796575
0.2,796576
0.2,796577
0.2,800190
0.2,800191
0.2,800192
0.2,803805
0.2,803806
0.2,803807
0.2,807420
0.2,807421
0.2,807422
0.65,792963
0.65,792964
0.65,792965
0.65,796578
0.65,796579
0.65,796580
0.65,800193
0.65,800194
0.65,800195
0.65,803808
0.65,803809
0.65,803810
0.65,807423
0.65,807424
0.65,807425
0.56,792966
0.56,792967
0.56,792968
0.56,796581
0.56,796582
0.56,796583
0.56,800196
0.56,800197
0.56,800198
0.56,803811
0.56,803812
0.56,803813
0.56,807426
0.56,807427
0.56,807428
0.48,792969
0.48,792970
0.48,792971
0.48,796584
0.48,796585
0.48,796586
0.48,800199
0.48,800200
0.48,800201
0.48,800202
0.48,803814
0.48,803815
0.48,803816
0.48,803817
0.48,807429
0.48,807430
0.48,807431
0.48,807432
0.28,792972
0.28,792973
0.28,792974
0.28,792975
0.28,796587
0.28,796588
0.28,796589
0.28,796590
0.28,800203
0.28,800204
0.28,800205
0.28,803818
0.28,803819
0.28,803820
0.28,807433
0.28,807434
0.28,807435
0.53,792976
0.53,792977
0.53,792978
0.53,796591
0.53,796592
0.53,796593
0.53,800206
0.53,800207
0.53,800208
0.53,803821
0.53,803822
0.53,803823
0.53,807436
0.53,807437
0.53,807438
0.47,792979
0.47,792980
0.47,792981
0.47,796594
0.47,796595
0.47,796596
0.47,800209
0.47,800210
0.47,800211
0.47,803824
0.47,803825
0.47,803826
0.47,807439
0.47,807440
0.47,807441
0.47,807442
0.34,792982
0.34,792983
0.34,792984
0.34,796597
0.34,796598
0.34,796599
0.34,800212
0.34,800213
0.34,800214
0.34,800215
0.34,803827
0.34,803828
0.34,803829
0.34,803830
0.34,807443
0.34,807444
0.34,807445
0.62,792985
0.62,792986
0.62,792987
0.62,792988
0.62,796600
0.62,796601
0.62,796602
0.62,796603
0.62,800216
0.62,800217
0.62,800218
0.62,803831
0.62,803832
0.62,803833
0.62,807446
0.62,807447
0.62,807448
0.54,792989
0.54,792990
0.54,792991
0.54,796604
0.54,796605
0.54,796606
0.54,800219
0.54,800220
0.54,800221
0.54,803834
0.54,803835
0.54,803836
0.54,807449
0.54,807450
0.54,807451
0.69,792992
0.69,792993
0.69,792994
0.69,796607
0.69,796608
0.69,796609
0.69,800222
0.69,800223
0.69,800224
0.69,803837
0.69,803838
0.69,803839
0.69,807452
0.69,807453
0.69,807454
0.69,807455
0.84,792995
0.84,792996
0.84,792997
0.84,796610
0.84,796611
0.84,796612
0.84,800225
0.84,800226
0.84,800227
0.84,800228
0.84,803840
0.84,803841
0.84,803842
0.84,803843
0.84,807456
0.84,807457
0.84,807458
0.86,792998
0.86,792999
0.86,793000
0.86,793001
0.86,796613
0.86,796614
0.86,796615
0.86,796616
0.86,800229
0.86,800230
0.86,800231
0.86,803844
0.86,803845
0.86,803846
0.86,807459
0.86,807460
0.86,807461
0.87,793002
0.87,793003
0.87,793004
0.87,796617
0.87,796618
0.87,796619
0.87,800232
0.87,800233
0.87,800234
0.87,803847
0.87,803848
0.87,803849
0.87,807462
0.87,807463
0.87,807464
