prob,cell_id
0.03,1235166
0.03,1235167
0.03,1238784
0.01,1235171
0.01,1235172
0.01,1235174
0.01,1238788
0.01,1238789
0.01,1238790
0.01,1238791
0.01,1242405
0.01,1242406
0.01,1242407
0.01,1242408
0.01,1246025
0.04,1235175
0.04,1238792
0.04,1238793
0.04,1238794
0.04,1242409
0.04,1242410
0.04,1242411
0.04,1242412
0.04,1246026
0.04,1246027
0.04,1246028
0.04,1246029
0.04,1249646
0.15,1253264
0.15,1253265
0.15,1253266
0.15,1253267
0.15,1256882
0.15,1256883
0.15,1256884
0.15,1260499
0.15,1260500
0.15,1260501
0.15,1264117
0.15,1264118
0.15,1267735
0.01,1253268
0.01,1253269
0.01,1253270
0.01,1253271
0.01,1256885
0.01,1256886
0.01,1256887
0.01,1256888
0.01,1260502
0.01,1260503
0.01,1260504
0.01,1260505
0.01,1264119
0.01,1264120
0.01,1264121
0.01,1264122
0.01,1267736
0.01,1267737
0.01,1267738
0.01,1267739
0.55,1271352
0.55,1274969
0.4,1271353
0.4,1271354
0.4,1271355
0.4,1271356
0.4,1274970
0.4,1274971
0.4,1274972
0.4,1274973
0.4,1278588
0.4,1278589
0.4,1278590
0.4,1282205
0.4,1282206
0.4,1282207
0.4,1285823
0.4,1285824
0.4,1289441
0.14,1271357
0.14,1271358
0.14,1271359
0.14,1271360
0.14,1274974
0.14,1274975
0.14,1274976
0.14,1274977
0.14,1278591
0.14,1278592
0.14,1278593
0.14,1278594
0.14,1282208
0.14,1282209
0.14,1282210
0.14,1282211
0.14,1285825
0.14,1285826
0.14,1285827
0.14,1285828
0.14,1289442
0.14,1289443
0.14,1289444
0.14,1289445
0.69,1300292
0.55,1293059
0.55,1293060
0.55,1293061
0.55,1293062
0.55,1296676
0.55,1296677
0.55,1296678
0.55,1296679
0.55,1300293
0.55,1300294
0.55,1300295
0.55,1300296
0.55,1303910
0.55,1303911
0.55,1303912
0.55,1303913
0.55,1307527
0.55,1307528
0.55,1307529
0.55,1307530
0.24,1293063
0.24,1293064
0.24,1293065
0.24,1293066
0.24,1296680
0.24,1296681
0.24,1296682
0.24,1296683
0.24,1300297
0.24,1300298
0.24,1300299
0.24,1300300
0.24,1303914
0.24,1303915
0.24,1303916
0.24,1303917
0.24,1307531
0.24,1307532
0.24,1307533
0.24,1307534
0.15,1296684
0.15,1296685
0.15,1296686
0.15,1300301
0.15,1300302
0.15,1300303
0.15,1303918
0.15,1303919
0.15,1303920
0.15,1307535
0.15,1307536
0.15,1307537
0.15,1307538
0.01,1293323
0.01,1293324
0.01,1296939
0.01,1296940
0.01,1296941
0.01,1300556
0.01,1300557
0.01,1300558
0.01,1300559
0.01,1304173
0.01,1304174
0.01,1304175
0.01,1304176
0.01,1307790
0.01,1307791
0.01,1307792
0.01,1307793
0.01,1293325
0.01,1293326
0.01,1293327
0.01,1293328
0.01,1296942
0.01,1296943
0.01,1296944
0.01,1296945
0.01,1300560
0.01,1300561
0.01,1300562
0.01,1300563
0.01,1304177
0.01,1304178
0.01,1304179
0.01,1304180
0.01,1307794
0.01,1307795
0.01,1307796
0.01,1307797
0.01,1293361
0.01,1293362
0.01,1293363
0.01,1293364
0.01,1296978
0.01,1296979
0.01,1296980
0.01,1296981
0.01,1300595
0.01,1300596
0.01,1300597
0.01,1300598
0.01,1304213
0.01,1304214
0.01,1304215
0.01,1304216
0.01,1307830
0.01,1307831
0.01,1307832
0.01,1307833
0.01,1293365
0.01,1293366
0.01,1293367
0.01,1293368
0.01,1296982
0.01,1296983
0.01,1296984
0.01,1296985
0.01,1300599
0.01,1300600
0.01,1300601
0.01,1300602
0.01,1304217
0.01,1304218
0.01,1304219
0.01,1304220
0.01,1307834
0.01,1307835
0.01,1307836
0.01,1307837
0.01,1293369
0.01,1293370
0.01,1293371
0.01,1293372
0.01,1296986
0.01,1296987
0.01,1296988
0.01,1296989
0.01,1300603
0.01,1300604
0.01,1300605
0.01,1300606
0.01,1304221
0.01,1304222
0.01,1304223
0.01,1304224
0.01,1307838
0.01,1307839
0.01,1307840
0.01,1307841
0.01,1293373
0.01,1293374
0.01,1293375
0.01,1293376
0.01,1296990
0.01,1296991
0.01,1296992
0.01,1296993
0.01,1300607
0.01,1300608
0.01,1300609
0.01,1300610
0.01,1304225
0.01,1304226
0.01,1304227
0.01,1304228
0.01,1307842
0.01,1307843
0.01,1307844
0.01,1307845
0.02,1293377
0.02,1293378
0.02,1293379
0.02,1293380
0.02,1296994
0.02,1296995
0.02,1296996
0.02,1296997
0.02,1300611
0.02,1300612
0.02,1300613
0.02,1300614
0.02,1304229
0.02,1304230
0.02,1304231
0.02,1304232
0.02,1307846
0.02,1307847
0.02,1307848
0.02,1307849
0.01,1293381
0.01,1296998
0.01,1296999
0.01,1300615
0.01,1300616
0.01,1300617
0.01,1300618
0.01,1304233
0.01,1304234
0.01,1304235
0.01,1304236
0.01,1307850
0.01,1307851
0.01,1307852
0.01,1307853
0.86,1311147
0.65,1311148
0.65,1311149
0.65,1311150
0.65,1311151
0.65,1314765
0.65,1314766
0.65,1314767
0.65,1314768
0.65,1318382
0.65,1318383
0.65,1318384
0.65,1318385
0.65,1321999
0.65,1322000
0.65,1322001
0.65,1322002
0.65,1325617
0.65,1325618
0.65,1325619
0.65,1329234
0.65,1329235
0.65,1329236
0.32,1311152
0.32,1311153
0.32,1311154
0.32,1311155
0.32,1314769
0.32,1314770
0.32,1314771
0.32,1314772
0.32,1318386
0.32,1318387
0.32,1318388
0.32,1318389
0.32,1322003
0.32,1322004
0.32,1322005
0.32,1322006
0.32,1325620
0.32,1325621
0.32,1325622
0.32,1325623
0.32,1329237
0.32,1329238
0.32,1329239
0.32,1329240
0.33,1318502
0.33,1318503
0.33,1318504
0.33,1318505
0.33,1322119
0.33,1322120
0.33,1322121
0.33,1322122
0.33,1325736
0.33,1325737
0.33,1325738
0.33,1325739
0.33,1329353
0.33,1329354
0.33,1329355
0.33,1329356
0.27,1318506
0.27,1318507
0.27,1322123
0.27,1322124
0.27,1325740
0.27,1325741
0.27,1325742
0.27,1329357
0.27,1329358
0.01,1311405
0.01,1311406
0.01,1315021
0.01,1315022
0.01,1315023
0.01,1315024
0.01,1318638
0.01,1318639
0.01,1318640
0.01,1318641
0.01,1322255
0.01,1322256
0.01,1322257
0.01,1322258
0.01,1325872
0.01,1325873
0.01,1325874
0.01,1325875
0.01,1329490
0.01,1329491
0.01,1329492
0.01,1329493
0.02,1311407
0.02,1311408
0.02,1311409
0.02,1311410
0.02,1315025
0.02,1315026
0.02,1315027
0.02,1315028
0.02,1318642
0.02,1318643
0.02,1318644
0.02,1318645
0.02,1322259
0.02,1322260
0.02,1322261
0.02,1322262
0.02,1325876
0.02,1325877
0.02,1325878
0.02,1325879
0.02,1329494
0.02,1329495
0.02,1329496
0.02,1329497
0.03,1311411
0.03,1311412
0.03,1311413
0.03,1311414
0.03,1315029
0.03,1315030
0.03,1315031
0.03,1315032
0.03,1318646
0.03,1318647
0.03,1318648
0.03,1318649
0.03,1322263
0.03,1322264
0.03,1322265
0.03,1322266
0.03,1325880
0.03,1325881
0.03,1325882
0.03,1325883
0.03,1329498
0.03,1329499
0.03,1329500
0.03,1329501
0.04,1311415
0.04,1311416
0.04,1311417
0.04,1311418
0.04,1315033
0.04,1315034
0.04,1315035
0.04,1315036
0.04,1318650
0.04,1318651
0.04,1318652
0.04,1318653
0.04,1322267
0.04,1322268
0.04,1322269
0.04,1322270
0.04,1325884
0.04,1325885
0.04,1325886
0.04,1325887
0.04,1329502
0.04,1329503
0.04,1329504
0.04,1329505
0.05,1311419
0.05,1311420
0.05,1311421
0.05,1311422
0.05,1315037
0.05,1315038
0.05,1315039
0.05,1315040
0.05,1318654
0.05,1318655
0.05,1318656
0.05,1318657
0.05,1322271
0.05,1322272
0.05,1322273
0.05,1322274
0.05,1325888
0.05,1325889
0.05,1325890
0.05,1325891
0.05,1329506
0.05,1329507
0.05,1329508
0.05,1329509
0.01,1311423
0.01,1311424
0.01,1311425
0.01,1311426
0.01,1315041
0.01,1315042
0.01,1315043
0.01,1315044
0.01,1318658
0.01,1318659
0.01,1318660
0.01,1318661
0.01,1322275
0.01,1322276
0.01,1322277
0.01,1322278
0.01,1325892
0.01,1325893
0.01,1325894
0.01,1325895
0.01,1329510
0.01,1329511
0.01,1311427
0.01,1311428
0.01,1311429
0.01,1311430
0.01,1315045
0.01,1315046
0.01,1315047
0.01,1315048
0.01,1318662
0.01,1318663
0.01,1318664
0.01,1322279
0.01,1322280
0.01,1311443
0.01,1311444
0.01,1311445
0.01,1311446
0.01,1315061
0.01,1315062
0.01,1315063
0.01,1315064
0.01,1318678
0.01,1318679
0.01,1318680
0.01,1318681
0.01,1322295
0.01,1322296
0.01,1322297
0.01,1322298
0.01,1325912
0.01,1325913
0.01,1325914
0.01,1325915
0.01,1329530
0.01,1329531
0.01,1329532
0.01,1329533
0.02,1311447
0.02,1311448
0.02,1311449
0.02,1311450
0.02,1315065
0.02,1315066
0.02,1315067
0.02,1315068
0.02,1318682
0.02,1318683
0.02,1318684
0.02,1318685
0.02,1322299
0.02,1322300
0.02,1322301
0.02,1322302
0.02,1325916
0.02,1325917
0.02,1325918
0.02,1325919
0.02,1329534
0.02,1329535
0.02,1329536
0.02,1329537
0.02,1311451
0.02,1311452
0.02,1311453
0.02,1311454
0.02,1315069
0.02,1315070
0.02,1315071
0.02,1315072
0.02,1318686
0.02,1318687
0.02,1318688
0.02,1318689
0.02,1322303
0.02,1322304
0.02,1322305
0.02,1322306
0.02,1325920
0.02,1325921
0.02,1325922
0.02,1325923
0.02,1329538
0.02,1329539
0.02,1329540
0.02,1329541
0.01,1311455
0.01,1311456
0.01,1311457
0.01,1311458
0.01,1315073
0.01,1315074
0.01,1315075
0.01,1315076
0.01,1318690
0.01,1318691
0.01,1318692
0.01,1318693
0.01,1322307
0.01,1322308
0.01,1322309
0.01,1322310
0.01,1325924
0.01,1325925
0.01,1325926
0.01,1325927
0.01,1325928
0.01,1329542
0.01,1329543
0.01,1329544
0.01,1329545
0.01,1311459
0.01,1311460
0.01,1311461
0.01,1311462
0.01,1315077
0.01,1315078
0.01,1315079
0.01,1315080
0.01,1318694
0.01,1318695
0.01,1318696
0.01,1318697
0.01,1322311
0.01,1322312
0.01,1322313
0.01,1322314
0.01,1325929
0.01,1325930
0.01,1325931
0.01,1325932
0.01,1329546
0.01,1329547
0.01,1329548
0.01,1329549
0.05,1311463
0.05,1311464
0.05,1311465
0.05,1311466
0.05,1315081
0.05,1315082
0.05,1315083
0.05,1315084
0.05,1318698
0.05,1318699
0.05,1318700
0.05,1318701
0.05,1322315
0.05,1322316
0.05,1322317
0.05,1325933
0.05,1325934
0.05,1329550
0.05,1329551
0.94,1332851
0.94,1332852
0.94,1332853
0.94,1336468
0.94,1336469
0.94,1336470
0.94,1340086
0.94,1340087
