prob,cell_id
0.99,2025678
0.99,2025679
0.99,2029295
0.99,2029296
0.99,2032912
0.99,2032913
0.92,2036536
0.92,2036537
0.92,2040153
0.92,2040154
0.95,2047399
0.95,2047400
0.95,2051014
0.95,2051015
0.95,2051016
0.95,2054631
0.95,2058247
0.95,2058248
0.89,2123356
0.89,2123357
0.89,2126972
0.89,2126973
0.89,2130588
0.89,2130589
0.89,2123358
0.89,2123359
0.89,2126974
0.89,2126975
0.89,2126978
0.89,2130590
0.89,2130591
0.89,2130594
0.88,2126979
0.88,2126980
0.88,2130595
0.88,2130596
0.81,2134206
0.84,2134207
0.84,2134210
0.83,2134211
0.83,2134212
0.85,2137843
0.85,2137844
0.85,2141459
0.85,2141460
0.85,2141461
0.85,2145076
0.85,2145077
0.87,2148702
0.87,2148703
0.87,2148704
0.87,2152318
0.87,2152319
0.87,2152320
0.29,2145097
0.29,2148712
0.29,2148713
0.29,2152328
0.29,2152329
0.77,2145098
0.77,2148714
0.77,2152330
0.86,2155933
0.86,2155934
0.86,2155935
0.86,2155936
0.86,2159550
0.86,2159551
0.86,2159552
0.86,2159553
0.86,2163168
0.86,2163169
0.77,2155937
0.29,2155945
0.29,2155946
0.29,2159561
0.29,2159562
0.82,2155947
0.87,2170423
0.87,2170424
0.87,2170425
0.87,2174039
0.87,2174040
0.87,2174041
0.85,2170426
0.85,2174042
0.89,2177657
0.89,2177658
0.89,2181273
0.89,2181274
0.89,2184890
0.87,2177659
0.87,2181275
0.87,2181276
0.87,2184891
0.87,2188508
0.87,2188509
0.87,2192124
0.87,2192125
0.87,2195740
0.87,2195741
0.92,2199357
0.92,2199358
1,2224687
1,2228303
1,2228304
1,2228305
1,2231919
1,2231920
1,2231921
1,2235550
1,2235551
1,2235552
1,2239166
1,2239167
1,2239168
1,2242782
1,2242783
1,2242784
1,2246403
1,2246404
1,2250019
1,2250020
0.98,2257275
0.98,2260889
0.98,2260890
1,2257276
1,2257277
1,2260892
1,2260893
1,2260894
0.93,2264506
0.93,2264508
0.93,2268122
0.93,2268123
0.73,2264509
0.73,2264510
1,2300690
1,2300691
1,2304305
1,2304306
1,2304307
1,2293461
1,2293462
1,2293463
1,2297077
1,2297078
1,2297079
1,2300693
1,2300694
1,2304308
1,2304309
1,2304310
1,2293464
1,2293465
1,2297080
1,2297081
1,2297082
1,2300698
1,2300699
1,2304314
1,2304315
1,2307921
1,2307922
1,2307923
1,2307924
1,2311538
1,2311539
1,2311540
1,2315155
1,2315156
1,2307925
1,2307926
1,2307927
1,2307928
1,2307929
1,2311541
1,2311544
1,2311545
1,2307930
1,2307931
1,2311546
1,2311547
1,2315175
1,2315176
1,2318791
1,2318792
1,2322406
1,2322407
1,2322408
1,2322409
1,2326023
1,2326024
1,2315177
1,2318793
1,2318794
1,2322410
1,2322411
1,2326027
1,2326028
1,2326029
0.95,2329640
0.95,2329642
0.95,2333257
0.95,2333258
0.95,2336874
0.95,2336875
1,2329644
1,2329645
1,2329646
1,2333259
1,2333262
1,2336876
1,2336877
1,2336878
1,2336879
1,2340494
1,2336881
1,2336882
1,2336883
1,2336884
1,2340497
1,2340498
1,2340499
1,2340500
1,2340501
1,2344114
1,2344115
1,2344116
1,2344117
1,2347732
1,2347733
1,2347734
1,2336885
1,2336886
1,2336887
1,2340502
1,2340503
1,2340504
1,2344118
1,2344119
1,2344120
1,2344121
1,2344122
1,2347735
1,2347736
1,2347737
1,2347738
1,2347739
1,2347740
1,2347741
0.99,2351349
0.99,2351350
0.99,2354966
0.99,2354967
0.99,2358583
0.99,2362200
1,2351351
1,2351352
1,2351353
1,2351354
1,2351355
1,2354969
1,2354970
1,2354971
1,2358584
1,2358585
1,2358586
1,2358587
1,2358588
1,2362201
1,2362202
1,2362203
1,2362204
1,2365819
1,2365820
1,2365821
1,2369436
1,2369437
1,2351356
1,2351357
1,2351358
1,2351359
1,2354975
1,2354976
1,2358589
1,2358593
1,2362205
1,2362206
1,2362209
1,2365822
1,2365823
1,2365824
1,2365825
1,2365826
1,2369438
1,2369439
1,2369440
1,2369441
1,2354977
1,2358594
1,2362210
1,2362211
1,2365827
0.92,2373053
0.92,2373054
0.91,2380292
1,2376676
1,2376677
1,2380293
1,2380294
1,2380295
1,2383909
1,2383910
1,2383912
1,2383913
1,2387526
1,2387529
1,2391142
1,2391143
1,2383914
1,2387530
1,2387531
1,2387532
1,2391148
1,2391149
1,2391150
1,2394758
1,2398374
1,2401990
1,2401991
1,2405607
1,2409224
0.17,2394759
0.17,2394760
0.17,2398375
0.17,2398376
0.17,2412841
1,2402001
1,2405618
1,2409235
1,2409236
1,2412852
1,2412853
0.62,2416457
0.62,2423690
1,2416458
1,2420074
1,2420075
1,2423691
1,2423692
1,2427307
1,2427308
1,2430924
1,2430928
1,2434540
1,2434541
1,2434542
1,2434544
1,2420083
1,2423697
1,2423698
1,2423699
1,2423700
1,2427312
1,2427313
1,2427314
1,2427315
1,2427316
1,2430929
1,2430930
1,2434545
1,2416468
1,2416469
1,2416470
1,2420084
1,2420085
1,2420086
1,2423701
1,2438158
1,2438159
1,2438160
1,2438161
1,2441776
1,2441777
