prob,cell_id
0.01,124723
0.01,128339
0.03,135456
0.03,131843
0.03,135457
0.03,135458
0.02,131844
0.02,131845
0.02,135459
0.02,131846
0.02,135460
0.01,131847
0.01,135461
0.01,135462
0.01,131848
0.01,131849
0.02,131850
0.03,131851
0.02,131852
0.02,131853
0.02,131854
0.02,135468
0.02,139083
0.01,131913
0.01,135528
0.01,139143
0.01,135529
0.01,135530
0.01,135531
0.01,139146
0.01,135532
0.01,139147
0.01,139148
0.05,149929
0.04,146316
0.04,149930
0.04,149931
0.01,142703
0.01,146317
0.01,149932
0.02,142704
0.02,146318
0.02,146319
0.02,149933
0.01,142705
0.01,142706
0.01,146320
0.01,149934
0.01,149935
0.02,146321
0.02,146322
0.02,149936
0.01,146323
0.01,149937
0.01,149938
0.01,146324
0.01,149939
0.01,146325
0.01,146326
0.01,149940
0.01,149941
0.01,142712
0.01,146327
0.01,146362
0.01,149977
0.01,142748
0.01,146363
0.01,149978
0.01,149979
0.01,142749
0.01,146364
0.01,146365
0.01,149980
0.01,146406
0.01,150022
0.01,146407
0.01,146408
0.01,150023
0.01,150024
0.01,146409
0.01,150025
0.01,146410
0.01,146411
0.01,150026
0.01,150027
0.01,146412
0.01,150028
0.01,146413
0.01,150029
0.01,146414
0.01,146415
0.01,150030
0.01,150031
0.01,146416
0.01,150032
0.01,150274
0.01,150275
0.01,150276
0.01,160698
0.01,160701
0.15,160758
0.15,160759
0.14,157145
0.14,157146
0.14,160760
0.1,157147
0.1,160761
0.1,160762
0.06,157148
0.06,160763
0.05,157149
0.05,157150
0.05,160764
0.07,157151
0.07,160765
0.07,160766
0.05,157152
0.05,157153
0.05,160767
0.02,153539
0.02,153540
0.02,157154
0.02,160768
0.02,160769
0.05,153546
0.05,153547
0.05,157161
0.05,160776
0.02,153548
0.02,157162
0.02,157163
0.02,160777
0.02,160778
0.03,153551
0.08,153553
0.08,153554
0.01,153569
0.01,153570
0.01,157184
0.01,157185
0.01,160800
0.01,153571
0.01,157186
0.01,160801
0.01,153572
0.01,157187
0.01,153573
0.01,153576
0.01,153577
0.02,153593
0.02,153594
0.01,153635
0.01,153636
0.01,153637
0.01,157264
0.01,160880
0.01,157265
0.01,157266
0.01,160881
0.01,160882
0.01,157267
0.01,160883
0.01,153676
0.01,153677
0.01,157293
0.01,153678
0.01,153679
0.01,153680
0.01,153681
0.01,153682
0.01,153683
0.02,153684
0.02,153685
0.02,157302
0.02,153686
0.02,153687
0.02,157303
0.02,157304
0.02,157305
0.02,157306
0.02,160923
0.02,160924
0.05,161124
0.05,157506
0.05,161125
0.05,157507
0.05,157508
0.05,161126
0.05,161127
0.06,153889
0.06,153890
0.06,157509
0.06,161128
0.08,153891
0.08,157510
0.08,157511
0.08,161129
0.08,161130
0.07,153892
0.07,153893
0.07,157512
0.07,161131
0.05,153894
0.05,161132
0.05,161133
0.04,153895
0.03,161136
0.04,161137
0.05,157519
0.05,161138
0.05,157520
0.05,157521
0.05,161139
0.05,161140
0.05,153903
0.05,157522
0.05,161141
0.04,153904
0.04,157523
0.04,157524
0.04,161142
0.04,161143
0.04,153905
0.04,153906
0.04,157525
0.04,161144
0.03,153907
0.03,157526
0.02,153908
0.02,161223
0.02,161224
0.01,157605
0.01,161225
0.01,161226
0.01,161232
0.01,164306
0.01,167920
0.01,171533
0.01,171534
0.01,164307
0.01,164308
0.01,167921
0.01,167922
0.01,171535
0.01,171536
0.01,171540
0.01,171541
0.01,171542
0.01,171543
0.01,167930
0.01,167931
0.01,171544
0.01,171545
0.01,167932
0.01,171546
0.01,164319
0.01,164320
0.01,167933
0.01,167934
0.01,171547
0.01,171548
0.01,164321
0.01,167935
0.01,171549
0.01,167936
0.01,167937
0.01,171550
0.01,171551
0.01,167938
0.01,171552
0.03,164342
0.03,167956
0.03,171570
0.07,164343
0.07,167957
0.07,167958
0.07,171571
0.1,164344
0.1,164345
0.2,164369
0.2,167983
0.2,171597
0.18,164370
0.18,167984
0.18,167985
0.16,164371
0.16,164372
0.16,167986
0.17,164373
0.17,167987
0.14,164374
0.14,164375
0.14,171603
0.14,171604
0.13,164376
0.13,167991
0.13,171605
0.11,164377
0.11,164378
0.11,167992
0.11,171606
0.11,171607
0.07,164379
0.07,167993
0.07,167994
0.07,171608
0.08,164380
0.08,164381
0.08,167995
0.08,171609
0.08,171610
0.1,164382
0.1,167996
0.1,167997
0.1,171611
0.1,171612
0.06,164383
0.06,164384
0.06,167998
0.06,171613
0.05,164385
0.05,167999
0.05,168000
0.05,171614
0.05,171615
0.03,164386
0.03,164387
0.03,168001
0.03,171616
0.01,168002
0.01,168003
0.01,171617
0.09,164390
0.09,168004
0.2,164391
0.2,168005
0.2,168006
0.2,171621
0.22,164392
0.22,168007
0.22,171622
0.01,164514
0.01,164517
0.01,164521
0.01,164522
0.01,164523
0.11,168152
0.11,171768
0.1,168153
0.1,171769
0.1,171770
0.09,164538
0.09,168154
0.09,168155
0.09,171771
0.09,164539
0.09,168156
0.09,171772
0.09,171773
0.09,164540
0.09,164541
0.09,168157
0.09,168158
0.09,171774
0.07,168159
0.07,171775
0.07,171776
0.05,168160
0.05,168161
0.05,171777
0.04,168162
0.04,171778
0.04,171779
0.03,168163
0.03,171780
0.07,171882
0.05,168265
0.05,171883
0.09,168328
0.09,168329
0.09,171947
0.1,168330
0.1,171948
0.1,171949
0.1,164713
0.1,168331
0.1,164714
0.1,164715
0.1,164716
0.1,164717
0.1,164718
0.08,171960
0.11,168342
0.11,171961
0.09,168343
0.09,168344
0.09,171962
0.09,171963
0.07,168345
0.07,171964
0.06,168346
0.06,171965
0.12,164734
0.16,164735
0.16,171973
0.17,164736
0.17,168356
0.17,171974
0.17,171975
0.15,168357
0.15,171976
0.12,164739
0.12,164740
0.12,168358
0.12,168359
0.12,171977
0.12,171978
0.18,164741
0.18,168360
0.18,171979
0.17,164742
0.17,164743
0.17,168361
0.17,168362
0.17,171980
0.17,171981
0.18,164744
0.18,168363
0.18,171982
0.17,164745
0.17,164746
0.17,168364
0.17,168365
0.17,171983
0.17,171984
0.15,164747
0.15,168366
0.15,171985
0.15,164748
0.15,164749
0.15,168367
0.15,168368
0.15,171986
0.15,171987
0.13,164750
0.13,168369
0.13,171988
0.13,171989
0.09,164751
0.09,164752
0.09,168370
0.09,168371
0.1,164753
0.1,168372
0.1,171991
0.1,171992
0.08,164754
0.08,164755
0.08,168373
0.08,168374
0.08,171993
0.07,164756
0.07,168375
0.07,171994
0.07,171995
0.07,168376
0.07,168377
0.07,171996
0.07,168378
0.07,171997
0.07,171998
0.09,168379
0.08,172000
0.08,172001
0.1,168382
0.1,168383
0.1,172002
0.1,168384
0.1,172003
0.1,172004
0.09,168385
0.09,168386
0.09,164768
0.09,168387
0.09,172006
0.09,172007
0.05,164769
0.05,168388
0.05,168389
0.05,172008
0.01,168390
0.01,172009
0.12,168415
0.12,172034
0.16,168416
0.16,172035
0.16,172036
0.17,168417
0.17,168418
0.17,172037
0.15,164799
0.15,168419
0.15,172038
0.15,172039
0.13,164800
0.13,168420
0.13,168421
0.13,172040
0.12,168422
0.12,172041
0.12,172042
0.09,172043
0.05,172050
0.05,172051
0.05,172052
0.04,172053
0.04,172054
0.04,172055
0.12,172078
0.16,164839
0.16,168459
0.16,168460
0.16,172079
0.16,172080
0.15,164840
0.15,164841
0.15,168461
0.15,172081
0.13,164842
0.13,168462
0.13,168463
0.13,172082
0.13,172083
0.13,164843
0.13,164844
0.13,168464
0.13,172084
0.12,164845
0.12,168465
0.12,168466
0.12,172085
0.12,172086
0.1,164846
0.1,164847
0.1,168467
0.1,172087
0.09,168468
0.1,164850
0.1,168470
0.1,172090
0.1,164851
0.1,168471
0.1,168472
0.1,172091
0.1,172092
0.11,164852
0.11,164853
0.11,168473
0.11,172093
0.1,164854
0.1,168474
0.1,168475
0.1,172094
0.07,168476
0.05,168477
0.05,168478
0.04,164858
0.04,164859
0.04,168479
0.04,164860
0.04,168480
0.04,168481
0.04,172100
0.04,172101
0.03,164861
0.03,164862
0.03,168482
0.03,172102
0.03,172103
0.02,164863
0.02,168483
0.02,168484
0.02,172104
0.01,168485
0.01,172105
0.01,172106
0.01,172107
0.01,175129
0.01,178743
0.01,182356
0.01,182357
0.01,175130
0.01,175131
0.01,178744
0.01,178745
0.01,182358
0.01,175132
0.01,175133
0.01,178746
0.01,182359
0.01,182360
0.01,175134
0.01,178747
0.01,178748
0.01,182361
0.01,182362
0.01,175144
0.01,175145
0.01,178759
0.01,175160
0.01,178774
0.01,182388
0.01,175161
0.01,175162
0.01,178775
0.01,182389
0.01,182390
0.02,175163
0.02,182391
0.01,182392
0.01,182393
0.02,175183
0.02,178797
0.02,178798
0.02,182411
0.02,182412
0.06,175184
0.06,175185
0.06,178799
0.06,182413
0.1,175186
0.1,178800
0.1,182414
0.15,175187
0.15,175188
0.18,175189
0.2,182441
0.2,182442
0.14,178828
0.14,178829
0.14,182443
0.12,175215
0.12,175216
0.12,178830
0.12,182444
0.12,182445
0.11,175217
0.11,178831
0.11,178832
0.11,182446
0.12,175218
0.12,175219
0.12,178833
0.12,182447
0.12,182448
0.13,175220
0.13,178834
0.13,178835
0.13,182449
0.13,182450
0.12,175221
0.12,175222
0.12,178836
0.12,182451
0.14,175223
0.14,178837
0.14,178838
0.14,182452
0.21,175224
0.21,175225
0.21,178839
0.21,178840
0.27,175226
0.27,178841
0.01,175353
0.01,175354
0.01,178970
0.01,175355
0.01,178971
0.01,182600
0.01,182601
0.01,182602
0.01,182603
0.01,182604
0.01,178988
0.01,178989
0.01,182605
0.02,182606
0.02,182607
0.04,182608
0.06,182609
0.06,182610
0.07,178994
0.07,178995
0.07,182611
0.08,178996
0.08,178997
0.08,182612
0.12,175381
0.12,175382
0.12,178998
0.12,182615
0.24,175383
0.24,178999
0.18,175384
0.18,175385
0.18,179001
0.16,175386
0.07,175397
0.07,179014
0.06,175398
0.06,179015
0.05,175399
0.05,175400
0.05,179016
0.05,179017
0.04,175401
0.36,182720
0.37,182721
0.4,175488
0.4,179105
0.4,182722
0.4,182723
0.38,175489
0.38,179106
0.38,179107
0.38,182724
0.38,182725
0.31,175490
0.31,179108
0.31,182726
0.26,179109
0.22,182730
0.22,182731
0.18,182732
0.17,182733
0.17,182734
0.19,175499
0.19,175500
0.19,182735
0.19,182736
0.11,182762
0.11,182763
0.16,179182
0.16,182799
0.16,182800
0.21,179183
0.21,182801
0.21,182802
0.26,179184
0.26,179185
0.26,182803
0.28,179186
0.28,182804
0.31,175569
0.31,179187
0.31,179188
0.31,182806
0.29,175570
0.29,175571
0.29,182807
0.29,182808
0.26,175572
0.26,179190
0.26,179191
0.26,182809
0.3,175573
0.3,175574
0.3,179192
0.3,182810
0.3,182811
0.27,175575
0.27,179193
0.27,179194
0.27,182812
0.27,182813
0.34,175576
0.34,175577
0.34,179195
0.34,179196
0.34,182814
0.4,175578
0.4,179197
0.33,175579
0.33,175580
0.33,179198
0.33,179199
0.33,182817
0.31,175581
0.31,179200
0.31,182818
0.31,182819
0.17,175582
0.17,175583
0.17,179201
0.17,179202
0.17,182820
0.16,175584
0.16,175585
0.16,179203
0.16,182821
0.16,175586
0.16,179204
0.24,179208
0.24,182826
0.24,182827
0.22,175591
0.22,179209
0.22,179210
0.22,182828
0.25,175592
0.25,179211
0.25,182829
0.25,182830
0.25,175593
0.25,175594
0.25,179212
0.25,179213
0.25,182831
0.26,175595
0.26,179214
0.26,182832
0.26,182833
0.28,175596
0.28,175597
0.28,179215
0.28,179216
0.28,182834
0.28,182835
0.31,175598
0.31,179217
0.31,182836
0.32,175599
0.32,175600
0.32,179218
0.32,179219
0.32,182837
0.32,182838
0.32,175601
0.32,179220
0.32,182839
0.31,175602
0.31,175603
0.31,179221
0.31,179222
0.31,182840
0.31,182841
0.3,175604
0.3,175605
0.3,179223
0.3,179224
0.3,182842
0.25,175606
0.25,179225
0.25,182843
0.25,182844
0.18,175607
0.18,175608
0.18,179226
0.18,179227
0.18,182845
0.18,182846
0.22,175609
0.22,182847
0.28,175610
0.28,175611
0.28,179229
0.28,175612
0.26,175613
0.26,175614
0.24,175615
0.24,182853
0.23,175616
0.23,175617
0.23,179235
0.23,179236
0.23,182854
0.23,182855
0.26,175618
0.26,179237
0.26,179238
0.26,182856
0.26,182857
0.29,179239
0.29,182858
0.31,179240
0.31,179241
0.31,182859
0.31,182860
0.29,179242
0.29,182861
0.29,179243
0.29,179244
0.29,182862
0.28,175625
0.28,175626
0.28,179245
0.23,175627
0.25,175655
0.25,179275
0.23,175656
0.23,175657
0.23,179276
0.21,175658
0.21,179277
0.21,179278
0.21,182897
0.18,175659
0.18,175660
0.18,179279
0.18,182898
0.18,182899
0.16,175661
0.16,179280
0.16,179281
0.16,182900
0.16,182901
0.16,175662
0.16,175663
0.16,179282
0.16,179283
0.16,182902
0.14,175664
0.14,182903
0.12,179285
0.12,179286
0.11,175667
0.11,175668
0.11,179287
0.1,175669
0.1,179288
0.1,179289
0.09,175670
0.09,175671
0.09,179290
0.1,175672
0.1,179291
0.09,175673
0.28,179327
0.28,179328
0.28,182947
0.28,182948
0.29,175709
0.29,179329
0.29,182949
0.27,175710
0.27,175711
0.27,179330
0.27,179331
0.27,182950
0.27,182951
0.25,179332
0.25,182952
0.09,175722
0.09,175723
0.09,182963
0.11,175724
0.11,179345
0.11,182964
0.11,182965
0.1,175725
0.1,175726
0.1,179346
0.1,182966
0.1,182967
0.1,175727
0.1,179347
0.1,179348
0.1,182968
0.08,175728
0.08,175729
0.08,179349
0.08,182969
0.05,175730
0.05,179350
0.01,185970
0.01,185971
0.01,189584
0.01,189585
0.01,193198
0.01,185972
0.01,189586
0.01,193199
0.01,193200
0.01,189587
0.01,189588
0.01,193201
0.01,193202
0.01,189589
0.01,193203
0.26,189665
0.26,193279
0.29,186051
0.29,186052
0.29,189666
0.29,193280
0.29,193281
0.27,186053
0.27,189667
0.27,189668
0.27,193282
0.27,193283
0.22,186054
0.22,186055
0.22,189669
0.22,189670
0.22,193284
0.17,186056
0.17,189671
0.17,193285
0.17,193286
0.13,186057
0.13,186058
0.13,189672
0.13,189673
0.14,186059
0.14,186060
0.22,186061
0.22,189675
0.22,189676
0.22,193291
0.31,186062
0.31,186063
0.31,189677
0.31,189678
0.31,193292
0.32,186064
0.32,193293
0.32,193294
0.32,186065
0.32,193295
0.3,193297
0.3,193298
0.3,193299
0.33,189686
0.33,193300
0.33,193301
0.01,186212
0.01,193445
0.01,189830
0.01,193446
0.02,189831
0.02,189832
0.02,193447
0.02,193448
0.02,189833
0.02,193449
0.02,193450
0.02,193451
0.02,193452
0.02,193453
0.02,189837
0.02,189838
0.02,193454
0.02,193455
0.03,189839
0.03,189840
0.03,193456
0.04,186224
0.04,186225
0.04,189841
0.04,193457
0.04,193458
0.1,186226
0.1,189842
0.1,189843
0.09,186227
0.52,189936
0.58,189937
0.58,189938
0.58,193554
0.58,193555
0.64,189939
0.64,193556
0.64,193557
0.68,189940
0.68,189941
0.68,193558
0.62,189942
0.62,193559
0.55,193562
0.47,193563
0.63,186329
0.63,186330
0.63,193564
0.63,193565
0.71,186331
0.71,189949
0.71,193566
0.91,186332
0.91,186333
0.91,189950
0.91,193567
0.91,193568
0.92,186334
0.92,189951
0.92,189952
0.92,193569
0.92,193570
0.82,186335
0.82,186336
0.82,189953
0.82,189954
0.82,193571
0.77,186337
0.77,186338
0.77,189955
0.77,193572
0.77,193573
0.77,186339
0.77,189956
0.77,189957
0.73,186340
0.73,186341
0.68,186342
0.68,189959
0.68,189960
0.64,186343
0.64,186344
0.64,189961
0.64,189962
0.58,186345
0.58,186346
0.58,189963
0.58,193580
0.58,193581
0.56,186347
0.56,189964
0.56,189965
0.56,193582
0.56,193583
0.52,186348
0.52,186349
0.52,189966
0.52,193584
0.44,186350
0.44,189967
0.44,189968
0.44,193585
0.44,193586
0.42,186351
0.42,186352
0.42,189969
0.42,189970
0.42,193587
0.44,186353
0.44,189971
0.45,186354
0.45,186355
0.45,189972
0.45,189973
0.42,186356
0.42,186357
0.42,189974
0.39,186358
0.39,189975
0.39,189976
0.39,193593
0.39,193594
0.39,186359
0.39,186360
0.39,189977
0.39,189978
0.39,193595
0.39,193596
0.32,189979
0.32,193597
0.29,189980
0.29,189981
0.29,193598
0.29,193599
0.26,193600
0.2,193601
0.2,193602
0.16,193612
0.18,189995
0.18,193613
0.19,189996
0.19,189997
0.19,193614
0.19,193615
0.19,186380
0.19,189998
0.19,189999
0.19,193616
0.19,193617
0.2,186381
0.2,186382
0.2,190000
0.2,193618
0.17,190001
0.17,190002
0.17,193619
0.19,193626
0.2,190009
0.2,190010
0.2,193627
0.2,193628
0.21,190011
0.21,193629
0.21,193630
0.21,190012
0.21,190013
0.21,193631
0.21,190014
0.21,190015
0.21,193633
0.21,190016
0.21,193634
0.23,186419
0.21,186420
0.21,186421
0.21,186422
0.22,186423
0.22,190042
0.22,193660
0.21,186424
0.21,186425
0.21,190043
0.21,193661
0.21,193662
0.32,186426
0.32,186427
0.32,190044
0.32,190045
0.32,193663
0.32,193664
0.47,186428
0.47,190046
0.47,190047
0.47,193665
0.51,186429
0.51,190048
0.51,193666
0.51,193667
