prob,cell_id
0.02,2245503
0.02,2249121
0.02,2252738
0.02,2256355
0.02,2256356
0.02,2259972
0.02,2259973
0.02,2263589
0.02,2263590
0.02,2263591
0.02,2267195
0.02,2267196
0.02,2270812
0.02,2270813
0.02,2270814
0.02,2274430
0.02,2274431
0.02,2278047
0.02,2278048
0.02,2278049
0.02,2281664
0.02,2281665
0.02,2281666
0.02,2281667
0.02,2285282
0.02,2285283
0.02,2285284
0.02,2285285
0.02,2285286
0.33,2324759
0.33,2324760
0.33,2324761
0.33,2328375
0.33,2328376
0.33,2328377
0.33,2328378
0.33,2310297
0.33,2313914
0.33,2317530
0.33,2317531
0.33,2321145
0.33,2321146
0.33,2321147
0.33,2321148
0.33,2321149
0.33,2324762
0.33,2324763
0.33,2324764
0.33,2324765
0.33,2324766
0.33,2328379
0.33,2328380
0.33,2328381
0.33,2328382
0.33,2328383
0.36,2310298
0.36,2310299
0.36,2313915
0.36,2313916
0.36,2313919
0.36,2317532
0.36,2317533
0.36,2317534
0.36,2317535
0.36,2317536
0.36,2321150
0.36,2321151
0.36,2321152
0.36,2321153
0.36,2324767
0.36,2324768
0.36,2324769
0.36,2324770
0.36,2324771
0.36,2328384
0.36,2328385
0.36,2328386
0.36,2328387
0.36,2328388
0.4,2310302
0.4,2310303
0.4,2310304
0.4,2310306
0.4,2313920
0.4,2313921
0.4,2317537
0.4,2317538
0.4,2317540
0.4,2317541
0.4,2321154
0.4,2321155
0.4,2321156
0.4,2321157
0.4,2321158
0.4,2324772
0.4,2324773
0.4,2324774
0.4,2324775
0.4,2328389
0.4,2328390
0.4,2328391
0.4,2328392
0.4,2328393
0.33,2310307
0.33,2310308
0.33,2310310
0.33,2310311
0.33,2313924
0.33,2313925
0.33,2313926
0.33,2313927
0.33,2313928
0.33,2317542
0.33,2317543
0.33,2317544
0.33,2317545
0.33,2317546
0.33,2321159
0.33,2321160
0.33,2321161
0.33,2321162
0.33,2321163
0.33,2324776
0.33,2324777
0.33,2324778
0.33,2324779
0.33,2324780
0.33,2328394
0.33,2328395
0.33,2328396
0.33,2328397
0.21,2310312
0.21,2310313
0.21,2310315
0.21,2310316
0.21,2313929
0.21,2313930
0.21,2313931
0.21,2313932
0.21,2313933
0.21,2317547
0.21,2317548
0.21,2317549
0.21,2317550
0.21,2321164
0.21,2321165
0.21,2321166
0.21,2321167
0.21,2321168
0.21,2324781
0.21,2324782
0.21,2324783
0.21,2324784
0.21,2324785
0.21,2328398
0.21,2328399
0.21,2328400
0.21,2328401
0.21,2328402
0.69,2331991
0.69,2335608
0.69,2339225
0.69,2342842
0.69,2342843
0.69,2346459
0.69,2346460
0.69,2350076
0.69,2350077
0.34,2331992
0.34,2331993
0.34,2331994
0.34,2331995
0.34,2331996
0.34,2335609
0.34,2335610
0.34,2335611
0.34,2335612
0.34,2335613
0.34,2339226
0.34,2339227
0.34,2339228
0.34,2339229
0.34,2339230
0.34,2342844
0.34,2342845
0.34,2342846
0.34,2342847
0.34,2342848
0.34,2346461
0.34,2346462
0.34,2346463
0.34,2346464
0.34,2346465
0.34,2350078
0.34,2350079
0.34,2350080
0.34,2350081
0.34,2350082
0.33,2331997
0.33,2331998
0.33,2331999
0.33,2332000
0.33,2335614
0.33,2335615
0.33,2335616
0.33,2335617
0.33,2335618
0.33,2339231
0.33,2339232
0.33,2339233
0.33,2339234
0.33,2339235
0.33,2342849
0.33,2342850
0.33,2342851
0.33,2342852
0.33,2346466
0.33,2346467
0.33,2346468
0.33,2346469
0.33,2346470
0.33,2350083
0.33,2350084
0.33,2350085
0.33,2350086
0.33,2350087
0.54,2332001
0.54,2332002
0.54,2332003
0.54,2332004
0.54,2332005
0.54,2335619
0.54,2335620
0.54,2335621
0.54,2335622
0.54,2335623
0.54,2339236
0.54,2339237
0.54,2339238
0.54,2339239
0.54,2339240
0.54,2342853
0.54,2342854
0.54,2342855
0.54,2342856
0.54,2342857
0.54,2346471
0.54,2346472
0.54,2346473
0.54,2346474
0.54,2350088
0.54,2350089
0.54,2350090
0.54,2350091
0.54,2350092
0.58,2332006
0.58,2332007
0.58,2332008
0.58,2332009
0.58,2332010
0.58,2335624
0.58,2335625
0.58,2335626
0.58,2335627
0.58,2339241
0.58,2339242
0.58,2339243
0.58,2339244
0.58,2339245
0.58,2342858
0.58,2342859
0.58,2342860
0.58,2342861
0.58,2342862
0.58,2346475
0.58,2346476
0.58,2346477
0.58,2346478
0.58,2346479
0.58,2350093
0.58,2350094
0.58,2350095
0.58,2350096
0.22,2332011
0.22,2332012
0.22,2332013
0.22,2332014
0.22,2332015
0.22,2335628
0.22,2335629
0.22,2335630
0.22,2335631
0.22,2335632
0.22,2339246
0.22,2339247
0.22,2339248
0.22,2339249
0.22,2342863
0.22,2342864
0.22,2342865
0.22,2342866
0.22,2342867
0.22,2346480
0.22,2346481
0.22,2346482
0.22,2346483
0.22,2346484
0.22,2350097
0.22,2350098
0.22,2350099
0.22,2350100
0.22,2350101
0.26,2332016
0.26,2332017
0.26,2332018
0.26,2332019
0.26,2332020
0.26,2335633
0.26,2335634
0.26,2335635
0.26,2335636
0.26,2335637
0.26,2339250
0.26,2339251
0.26,2339252
0.26,2339253
0.26,2339254
0.26,2342868
0.26,2342869
0.26,2342870
0.26,2342871
0.26,2346485
0.26,2346486
0.26,2346487
0.26,2346488
0.26,2346489
0.26,2350102
0.26,2350103
0.26,2350104
0.26,2350105
0.26,2350106
0.18,2332021
0.18,2332022
0.18,2332023
0.18,2332024
0.18,2335638
0.18,2335639
0.18,2335640
0.18,2335641
0.18,2335642
0.18,2339255
0.18,2339256
0.18,2339257
0.18,2339258
0.18,2339259
0.18,2342872
0.18,2342873
0.18,2342874
0.18,2342875
0.18,2342876
0.18,2346490
0.18,2346491
0.18,2346492
0.18,2346493
0.18,2346494
0.18,2350107
0.18,2350108
0.18,2350109
0.18,2350110
0.18,2350111
0.37,2332025
0.37,2332026
0.37,2332027
0.37,2332028
0.37,2332029
0.37,2335643
0.37,2335644
0.37,2335645
0.37,2335646
0.37,2339260
0.37,2339261
0.37,2339262
0.37,2339263
0.37,2339264
0.37,2342877
0.37,2342878
0.37,2342879
0.37,2342880
0.37,2342881
0.37,2346495
0.37,2346496
0.37,2346497
0.37,2346498
0.37,2350112
0.37,2350113
0.37,2350114
0.37,2350115
0.37,2350116
0.11,2332030
0.11,2332031
0.11,2332032
0.11,2332033
0.11,2332034
0.11,2335647
0.11,2335648
0.11,2335649
0.11,2335650
0.11,2335651
0.11,2339265
0.11,2339266
0.11,2339267
0.11,2339268
0.11,2339269
0.11,2342882
0.11,2342883
0.11,2342884
0.11,2342885
0.11,2342886
0.11,2346499
0.11,2346500
0.11,2346501
0.11,2346502
0.11,2346503
0.11,2350117
0.11,2350118
0.11,2350119
0.11,2350120
0.11,2350121
0.85,2353694
0.85,2353695
0.85,2357312
0.85,2360928
0.85,2360929
0.85,2364546
0.85,2368163
0.85,2368164
0.85,2371779
0.85,2371780
0.85,2371781
0.19,2353696
0.19,2353697
0.19,2353698
0.19,2353699
0.19,2357313
0.19,2357314
0.19,2357315
0.19,2357316
0.19,2357317
0.19,2360930
0.19,2360931
0.19,2360932
0.19,2360933
0.19,2360934
0.19,2364547
0.19,2364548
0.19,2364549
0.19,2364550
0.19,2364551
0.19,2368165
0.19,2368166
0.19,2368167
0.19,2368168
0.19,2368169
0.19,2371782
0.19,2371783
0.19,2371784
0.19,2371785
0.19,2371786
0.25,2353700
0.25,2353701
0.25,2353702
0.25,2353703
0.25,2353704
0.25,2357318
0.25,2357319
0.25,2357320
0.25,2357321
0.25,2360935
0.25,2360936
0.25,2360937
0.25,2360938
0.25,2360939
0.25,2364552
0.25,2364553
0.25,2364554
0.25,2364555
0.25,2364556
0.25,2368170
0.25,2368171
0.25,2368172
0.25,2368173
0.25,2371787
0.25,2371788
0.25,2371789
0.25,2371790
0.25,2371791
0.69,2353705
0.69,2353706
0.69,2353707
0.69,2353708
0.69,2353709
0.69,2357322
0.69,2357323
0.69,2357324
0.69,2357325
0.69,2357326
0.69,2360940
0.69,2360941
0.69,2360942
0.69,2360943
0.69,2360944
0.69,2364557
0.69,2364558
0.69,2364559
0.69,2364560
0.69,2364561
0.69,2368174
0.69,2368175
0.69,2368176
0.69,2368177
0.69,2368178
0.69,2371792
0.69,2371793
0.69,2371794
0.69,2371795
0.44,2353710
0.44,2353711
0.44,2353712
0.44,2353713
0.44,2353714
0.44,2357327
0.44,2357328
0.44,2357329
0.44,2357330
0.44,2357331
0.44,2360945
0.44,2360946
0.44,2360947
0.44,2360948
0.44,2364562
0.44,2364563
0.44,2364564
0.44,2364565
0.44,2364566
0.44,2368179
0.44,2368180
0.44,2368181
0.44,2368182
0.44,2368183
0.44,2371796
0.44,2371797
0.44,2371798
0.44,2371799
0.44,2371800
0.43,2353720
0.43,2353721
0.43,2353722
0.43,2353723
0.43,2357337
0.43,2357338
0.43,2357339
0.43,2357340
0.43,2357341
0.43,2360954
0.43,2360955
0.43,2360956
0.43,2360957
0.43,2360958
0.43,2364571
0.43,2364572
0.43,2364573
0.43,2364574
0.43,2364575
0.43,2368189
0.43,2368190
0.43,2368191
0.43,2368192
0.43,2368193
0.43,2371806
0.43,2371807
0.43,2371808
0.43,2371809
0.43,2371810
0.55,2353724
0.55,2353725
0.55,2353726
0.55,2353727
0.55,2353728
0.55,2357342
0.55,2357343
0.55,2357344
0.55,2357345
0.55,2360959
0.55,2360960
0.55,2360961
0.55,2360962
0.55,2360963
0.55,2364576
0.55,2364577
0.55,2364578
0.55,2364579
0.55,2364580
0.55,2368194
0.55,2368195
0.55,2368196
0.55,2368197
0.55,2371811
0.55,2371812
0.55,2371813
0.55,2371814
0.55,2371815
0.49,2353729
0.49,2353730
0.49,2353731
0.49,2353732
0.49,2353733
0.49,2357346
0.49,2357347
0.49,2357348
0.49,2357349
0.49,2357350
0.49,2360964
0.49,2360965
0.49,2360966
0.49,2360967
0.49,2360968
0.49,2364581
0.49,2364582
0.49,2364583
0.49,2364584
0.49,2364585
0.49,2368198
0.49,2368199
0.49,2368200
0.49,2368201
0.49,2368202
0.49,2371816
0.49,2371817
0.49,2371818
0.49,2371819
0.3,2353734
0.3,2353735
0.3,2353736
0.3,2353737
0.3,2353738
0.3,2357351
0.3,2357352
0.3,2357353
0.3,2357354
0.3,2357355
0.3,2360969
0.3,2360970
0.3,2360971
0.3,2360972
0.3,2364586
0.3,2364587
0.3,2364588
0.3,2364589
0.3,2364590
0.3,2368203
0.3,2368204
0.3,2368205
0.3,2368206
0.3,2368207
0.3,2371820
0.3,2371821
0.3,2371822
0.3,2371823
0.3,2371824
0.3,2353739
0.3,2353740
0.3,2353741
0.3,2353742
0.3,2353743
0.3,2357356
0.3,2357357
0.3,2357358
0.3,2357359
0.3,2357360
0.3,2360973
0.3,2360974
0.3,2360975
0.3,2360976
0.3,2360977
0.3,2364591
0.3,2364592
0.3,2364593
0.3,2364594
0.3,2364595
0.3,2368208
0.3,2368209
0.3,2368210
0.3,2368211
0.3,2368212
0.3,2371825
0.3,2371826
0.3,2371827
0.3,2371828
0.3,2371829
0.52,2353744
0.52,2353745
0.52,2353746
0.52,2357361
0.52,2357362
0.52,2357363
0.52,2357364
0.52,2360978
0.52,2360979
0.52,2360980
0.52,2360981
0.52,2364596
0.52,2364597
0.52,2364598
0.52,2364599
0.52,2368213
0.52,2368214
0.52,2368215
0.52,2368216
0.52,2368217
0.52,2371830
0.52,2371831
0.52,2371832
0.52,2371833
0.52,2371834
0.36,2364600
0.36,2364601
0.36,2364602
0.36,2368219
0.36,2371835
0.36,2371836
0.36,2371837
0.36,2371838
0.34,2371840
1,2386243
1,2389860
1,2389861
1,2389863
1,2393477
1,2393478
1,2393479
1,2393480
0.61,2375396
0.61,2375397
0.61,2375398
0.61,2379013
0.61,2379014
0.61,2379015
0.61,2379016
0.61,2382630
0.61,2382631
0.61,2382632
0.61,2382633
0.61,2386246
0.61,2386247
0.61,2386248
0.61,2386249
0.61,2386250
0.61,2389864
0.61,2389865
0.61,2389866
0.61,2389867
0.61,2393481
0.61,2393482
0.61,2393483
0.61,2393484
0.61,2393485
0.06,2375438
0.06,2375439
0.06,2375440
