prob,cell_id
0.01,182720
0.01,182721
0.01,175488
0.01,179105
0.01,182722
0.01,182723
0.01,175489
0.01,179106
0.01,179107
0.01,182724
0.01,182725
0.09,189936
0.1,189937
0.1,189938
0.1,193554
0.1,193555
0.1,189939
0.1,193556
0.1,193557
0.11,189940
0.11,189941
0.11,193558
0.09,189942
0.09,193559
0.08,193562
0.06,193563
0.07,186329
0.07,186330
0.07,193564
0.07,193565
0.06,186331
0.06,189949
0.06,193566
0.07,186332
0.07,186333
0.07,189950
0.07,193567
0.07,193568
0.05,186334
0.05,189951
0.05,189952
0.05,193569
0.05,193570
0.04,186335
0.04,186336
0.04,189953
0.04,189954
0.04,193571
0.03,186337
0.03,186338
0.03,189955
0.03,193572
0.03,193573
0.02,186339
0.02,189956
0.02,189957
0.02,186340
0.02,186341
0.01,186342
0.01,189959
0.01,189960
0.01,186343
0.01,186344
0.01,189961
0.01,189962
0.01,186345
0.01,186346
0.01,189963
0.01,193580
0.01,193581
0.01,186347
0.01,189964
0.01,189965
0.01,193582
0.01,193583
0.29,204396
0.29,208013
0.32,200779
0.32,200780
0.32,204397
0.32,208014
0.32,208015
0.3,200781
0.3,200782
0.3,204398
0.3,204399
0.3,208016
0.31,197165
0.31,197166
0.31,200783
0.31,204401
0.28,197167
0.28,197168
0.28,200784
0.28,200785
0.28,204402
0.28,208020
0.26,197169
0.26,200786
0.26,200787
0.26,204403
0.26,204404
0.26,208021
0.25,197170
0.25,197171
0.25,200788
0.25,204405
0.25,204406
0.25,208023
0.25,197172
0.25,200789
0.25,200790
0.25,204407
0.25,208024
0.25,208025
0.25,197173
0.25,197174
0.25,200791
0.25,200792
0.25,204408
0.25,204409
0.25,208026
0.24,197175
0.24,200793
0.24,204411
0.21,200794
0.21,200795
0.21,204412
0.21,208029
0.21,208030
0.15,197178
0.15,197179
0.15,200796
0.15,200797
0.15,204413
0.15,204414
0.15,208031
0.15,208032
0.11,197182
0.11,200800
0.07,197183
0.07,197184
0.07,208037
0.08,197185
0.08,197186
0.08,200802
0.08,200803
0.08,204421
0.08,208038
0.07,197187
0.07,200804
0.07,200805
0.07,204422
0.07,208039
0.05,197188
0.05,197189
0.05,200806
0.05,204423
0.05,204424
0.05,208041
0.05,208042
0.03,204425
0.03,204426
0.03,208043
0.03,200810
0.03,204427
0.03,208044
0.03,208045
0.02,200811
0.02,204428
0.02,204429
0.02,208046
0.02,208047
0.02,200812
0.02,200813
0.02,204430
0.02,204431
0.02,208048
0.02,200814
0.02,200815
0.02,204432
0.02,208049
0.01,200816
0.01,204433
0.01,204434
0.01,197281
0.42,218863
0.4,218864
0.4,218865
0.38,211631
0.38,211632
0.38,215249
0.38,218866
0.38,218867
0.31,211633
0.31,215250
0.31,215251
0.31,218868
0.31,211635
0.31,215252
0.31,215253
0.31,218869
0.31,218870
0.36,211636
0.36,215254
0.36,218871
0.36,218872
0.33,211642
0.33,215260
0.27,211647
0.16,211648
0.16,211649
0.16,215266
0.16,215267
0.16,218883
0.16,218884
0.16,211650
0.16,215268
0.16,218885
0.16,218886
0.1,211655
0.1,211656
0.07,211659
0.07,215276
0.07,215277
0.04,211660
0.04,211661
0.04,215278
0.04,215279
0.04,211662
0.04,211663
0.04,215280
0.04,218897
0.04,218898
0.04,211664
0.04,215281
0.04,215282
0.04,218899
0.04,218900
0.03,211665
0.03,211666
0.03,215283
0.03,215284
0.03,218901
0.02,211667
0.02,211668
0.02,215285
0.02,218902
0.02,218903
0.01,211669
0.01,215286
0.01,215287
0.01,218904
0.01,218905
0.01,211670
0.01,211671
0.01,215288
0.01,215289
0.01,218906
0.01,218907
0.01,211672
0.01,211673
0.01,215290
0.01,215291
0.01,218908
0.01,215292
0.01,218909
0.01,218910
0.01,215293
0.01,215294
0.01,218911
0.01,218912
0.01,211678
0.01,215295
0.01,215296
0.01,211679
0.01,211680
0.01,215297
0.01,211681
0.01,215298
0.01,215299
0.01,211682
0.01,211683
0.02,211752
0.02,211753
0.02,215370
0.02,215371
0.45,222482
0.45,226099
0.45,226100
0.45,229717
0.46,222483
0.46,222484
0.46,226101
0.46,229718
0.46,229719
0.42,222485
0.42,222486
0.42,226102
0.42,226103
0.42,229720
0.39,222487
0.39,222488
0.39,226104
0.39,226105
0.39,229721
0.39,229722
0.4,222489
0.4,229723
0.4,229724
0.36,229731
0.33,226115
0.33,229732
0.33,229733
0.3,226116
0.3,226117
0.3,229734
0.3,229735
0.24,226118
0.2,222502
0.2,222503
0.2,226121
0.2,229738
0.18,222504
0.18,226122
0.18,229739
0.18,229740
0.06,229750
0.06,229751
0.06,222517
0.06,229752
0.05,222518
0.05,222519
0.05,229753
0.05,229754
0.03,222520
0.03,222521
0.03,229755
0.03,229756
0.01,222522
0.01,226139
0.01,226140
0.01,229757
0.01,229758
0.01,222523
0.01,229759
0.01,229760
0.01,226155
0.01,226156
0.01,229773
0.01,229774
0.01,222539
0.01,222540
0.01,226157
0.01,226158
0.01,229775
0.01,226159
0.01,229776
0.01,222543
0.01,226160
0.01,226161
0.01,222544
0.01,222545
0.01,226162
0.01,226163
0.01,233036
0.01,233037
0.01,236651
0.01,236652
0.01,240266
0.01,240267
0.01,243881
0.01,243882
0.01,233038
0.01,233039
0.01,236653
0.01,240268
0.01,243883
0.38,233336
0.38,236953
0.37,233337
0.37,233338
0.37,236954
0.37,236955
0.39,233339
0.39,233340
0.39,236956
0.39,236957
0.39,240573
0.39,240574
0.31,233341
0.31,236958
0.31,236959
0.31,240575
0.31,240576
0.31,233342
0.31,233343
0.31,236960
0.31,236961
0.31,240577
0.31,240578
0.25,233344
0.25,240579
0.25,240580
0.25,244197
0.25,240581
0.25,240582
0.25,244198
0.25,244199
0.33,233349
0.33,236965
0.33,236966
0.33,240583
0.33,244200
0.33,244201
0.31,233350
0.31,236967
0.31,236968
0.31,240584
0.31,240585
0.31,244202
0.31,244203
0.27,233351
0.27,233352
0.27,236969
0.27,236970
0.27,240586
0.27,240587
0.25,233353
0.25,233354
0.25,236971
0.25,240588
0.24,233355
0.24,233356
0.24,236972
0.24,236973
0.2,233357
0.2,236974
0.2,236975
0.09,233365
0.09,240600
