prob,cell_id
0.01,164369
0.01,167983
0.01,171597
0.01,164370
0.01,167984
0.01,167985
0.01,164371
0.01,164372
0.01,167986
0.01,164373
0.01,167987
0.01,164374
0.01,164375
0.01,171603
0.01,171604
0.01,164376
0.01,167991
0.01,171605
0.01,164377
0.01,164378
0.01,167992
0.01,171606
0.01,171607
0.01,164379
0.01,167993
0.01,167994
0.01,171608
0.01,164380
0.01,164381
0.01,167995
0.01,171609
0.01,171610
0.01,164382
0.01,167996
0.01,167997
0.01,171611
0.01,171612
0.01,164383
0.01,164384
0.01,167998
0.01,171613
0.01,164385
0.01,167999
0.01,168000
0.01,171614
0.01,171615
0.01,164386
0.01,164387
0.01,168001
0.01,171616
0.01,164388
0.01,168002
0.01,168003
0.01,171617
0.01,164389
0.01,164390
0.01,168004
0.01,164391
0.01,168005
0.01,168006
0.01,171621
0.01,164392
0.01,168007
0.01,171622
0.01,164627
0.01,168244
0.01,168245
0.01,171862
0.01,164628
0.01,164629
0.01,168246
0.01,171863
0.01,171864
0.01,164630
0.01,168247
0.01,168248
0.01,171865
0.01,164631
0.01,164632
0.01,168249
0.01,171866
0.01,171867
0.01,164633
0.01,168250
0.01,168251
0.01,171868
0.01,164634
0.01,164635
0.01,168252
0.01,171869
0.01,171870
0.01,164638
0.01,164639
0.01,168256
0.01,168257
0.01,171874
0.01,171875
0.01,164640
0.01,168258
0.01,171876
0.01,164641
0.01,164642
0.01,168259
0.01,168260
0.01,171877
0.01,171878
0.01,164643
0.01,168261
0.01,171879
0.01,164644
0.01,164645
0.01,168262
0.01,168263
0.01,171880
0.01,171881
0.01,164646
0.01,168264
0.01,171882
0.01,164717
0.01,164718
0.01,168336
0.01,171955
0.01,164719
0.01,168337
0.01,168338
0.01,171956
0.01,171957
0.01,164720
0.01,164721
0.01,168339
0.01,171958
0.01,164722
0.01,168340
0.01,168341
0.01,171959
0.01,171960
0.01,164723
0.01,164724
0.01,168342
0.01,171961
0.01,164725
0.01,168343
0.01,168344
0.01,171962
0.01,171963
0.01,164726
0.01,164727
0.01,168345
0.01,171964
0.01,164728
0.01,168346
0.01,168347
0.01,171965
0.01,171966
0.01,164729
0.01,164730
0.01,168348
0.01,171967
