prob,cell_id
0.01,113851
0.01,117466
0.01,117467
0.01,113853
0.01,113854
0.01,117469
0.01,113855
0.01,117470
0.01,113856
0.01,117471
0.01,117472
0.01,113857
0.01,113858
0.01,117474
0.01,113859
0.01,113860
0.01,117475
0.01,113861
0.01,117476
0.01,113862
0.01,117477
0.01,117478
0.01,113863
0.01,117479
0.01,113864
0.01,117480
0.01,117481
0.01,117482
0.01,117483
0.01,117484
0.01,117485
0.01,117486
0.01,117487
0.01,117488
0.01,124603
0.01,124604
0.01,128217
0.01,128218
0.01,124605
0.01,128219
0.01,124606
0.01,128220
0.01,124607
0.01,128221
0.01,124608
0.01,124609
0.01,128222
0.01,124610
0.01,128224
0.01,128225
0.01,128226
0.01,128227
0.01,128228
0.01,128229
0.01,121058
0.01,124673
0.01,124674
0.01,128288
0.01,128289
0.01,121059
0.01,121060
0.01,124675
0.01,128290
0.01,121061
0.01,124676
0.01,128291
0.01,121062
0.01,124677
0.01,121063
0.01,124678
0.02,121064
0.02,124680
0.02,121066
0.02,124681
0.02,121067
0.02,124682
0.02,128298
0.02,121068
0.02,124683
0.02,124684
0.02,128299
0.02,121069
0.02,121070
0.02,124685
0.02,128300
0.02,121071
0.02,124686
0.02,128301
0.02,128302
0.02,121072
0.02,124687
0.02,128303
0.01,121073
0.01,124688
0.01,124689
0.01,128304
0.04,128315
0.04,128316
0.05,124702
0.05,124703
0.05,128318
0.05,124704
0.05,128319
0.05,128320
0.05,128321
0.05,128322
0.04,124708
0.04,128323
0.04,128324
0.04,124709
0.04,128325
0.04,124710
0.04,128326
0.04,124711
0.04,124712
0.04,124713
0.04,124714
0.03,121099
0.03,121100
0.03,124715
0.03,128331
0.03,121101
0.03,124716
0.03,124717
0.03,128332
0.03,128333
0.03,121102
0.03,124718
0.03,128334
0.03,121103
0.03,124719
0.03,128335
0.03,121104
0.03,121105
0.03,124720
0.03,124721
0.03,128336
0.04,121106
0.04,124722
0.06,124723
0.06,128339
0.05,124724
0.05,128340
0.04,124725
0.04,128341
0.04,128342
0.03,128343
0.01,139026
0.01,135415
0.01,139028
0.01,139029
0.01,131802
0.01,135416
0.01,139030
0.01,135417
0.01,135418
0.01,139031
0.02,131805
0.02,135419
0.02,139032
0.02,139033
0.03,131806
0.03,131807
0.03,135420
0.03,139034
0.03,131808
0.03,135421
0.03,135422
0.03,131809
0.03,135423
0.03,139037
0.03,131810
0.03,131811
0.03,139038
0.03,131812
0.03,135425
0.03,135426
0.03,135427
0.03,131814
0.03,131815
0.03,135428
0.03,131816
0.03,135429
0.03,131817
0.04,131818
0.04,131819
0.04,131820
0.04,135434
0.04,139048
0.04,131821
0.04,135435
0.04,139049
0.04,135436
0.04,139050
0.04,131828
0.03,131829
0.03,135456
0.1,131843
0.1,135457
0.1,135458
0.09,131844
0.09,131845
0.09,135459
0.08,131846
0.08,135460
0.08,131847
0.08,135461
0.08,135462
0.08,131848
0.08,131849
0.09,131850
0.1,131851
0.09,131852
0.09,131853
0.08,131854
0.08,135468
0.08,139083
0.03,131855
0.03,135469
0.03,135470
0.03,139084
0.03,135471
0.03,139085
0.03,139086
0.02,135472
0.02,139087
0.02,139088
0.02,139089
0.02,139104
0.01,139105
0.01,139106
0.01,139107
0.01,135503
0.01,139118
0.01,139119
0.01,139120
0.01,139121
0.02,131892
0.02,139122
0.02,131893
0.02,135508
0.02,139123
0.02,131894
0.02,131895
0.02,135509
0.02,135510
0.02,139125
0.02,131896
0.02,135511
0.02,139126
0.03,131897
0.03,135512
0.03,139127
0.03,131898
0.03,131899
0.03,135513
0.03,135514
0.03,131900
0.03,135515
0.04,131901
0.04,135516
0.04,131902
0.04,135517
0.04,135518
0.04,139133
0.04,131903
0.04,131904
0.04,139134
0.04,131905
0.04,139135
0.04,139136
0.05,131906
0.05,131907
0.05,131908
0.05,131909
0.05,131910
0.05,135526
0.05,131911
0.05,131912
0.05,135527
0.05,139142
0.06,131913
0.06,135528
0.06,139143
0.02,135529
0.02,135530
0.06,135531
0.06,139146
0.06,135532
0.06,139147
0.06,139148
0.06,131956
0.05,131957
0.05,131958
0.04,131959
0.03,131960
0.04,131961
0.04,131962
0.04,139194
0.04,131963
0.04,135579
0.04,139195
0.04,131964
0.04,135580
0.04,139196
0.04,131965
0.04,135581
0.04,135582
0.04,139197
0.04,139198
0.03,131966
0.03,135583
0.03,139199
0.02,135584
0.02,139200
0.02,135585
0.01,149847
0.01,149848
0.01,149849
0.01,149850
0.01,146238
0.01,149851
0.01,149852
0.01,146239
0.01,149853
0.01,146240
0.01,146241
0.01,149854
0.02,146242
0.02,149855
0.02,149856
0.03,142630
0.03,146243
0.03,146244
0.03,149857
0.03,142631
0.03,146245
0.03,149858
0.03,149859
0.04,142632
0.04,142633
0.04,146246
0.04,149860
0.04,142634
0.04,146247
0.04,146248
0.04,149861
0.04,149862
0.04,142635
0.04,142636
0.04,146249
0.04,149863
0.04,142637
0.04,146250
0.04,146251
0.04,149864
0.04,142638
0.04,146252
0.04,149865
0.04,149866
0.04,142639
0.04,142641
0.04,142642
0.04,142643
0.04,142644
0.04,146257
0.04,146258
0.05,142645
0.05,146259
0.05,149873
0.06,142646
0.06,149874
0.07,146261
0.07,146262
0.07,149875
0.07,149876
0.06,146263
0.06,149878
0.06,149879
0.06,149880
0.16,149929
0.14,146316
0.14,149930
0.14,149931
0.13,142703
0.13,146317
0.13,149932
0.13,142704
0.13,146318
0.13,146319
0.13,149933
0.12,142705
0.12,142706
0.12,146320
0.12,149934
0.12,149935
0.12,146321
0.12,146322
0.12,149936
0.12,146323
0.12,149937
0.12,149938
0.11,146324
0.11,149939
0.11,146325
0.11,146326
0.11,149940
0.11,149941
0.11,142712
0.11,146327
0.1,142713
0.1,142714
0.1,146328
0.1,146329
0.09,142715
0.09,146330
0.08,142716
0.08,142717
0.08,146331
0.07,142718
0.07,146332
0.07,146333
0.06,142719
0.06,146334
0.05,142720
0.05,142721
0.05,146336
0.02,142722
0.02,142723
0.03,142724
0.03,142725
0.03,146339
0.03,146340
0.03,149954
0.03,149955
0.03,142726
0.03,146341
0.03,149956
0.03,142727
0.03,149957
0.03,142728
0.03,146343
0.03,146344
0.03,149958
0.03,149959
0.03,142730
0.03,146345
0.03,149960
0.04,142731
0.04,142732
0.04,146346
0.04,146347
0.04,149961
0.04,149962
0.04,146349
0.04,149964
0.04,149965
0.04,149966
0.02,142739
0.02,142740
0.04,142741
0.06,142742
0.06,142743
0.06,146357
0.06,146358
0.08,142744
0.08,146359
0.09,142745
0.09,146360
0.09,146361
0.09,149976
0.1,146362
0.1,149977
0.1,142748
0.1,146363
0.1,149978
0.1,149979
0.1,142749
0.1,146364
0.1,146365
0.1,149980
0.05,146402
0.05,150018
0.07,146403
0.07,146404
0.07,150019
0.07,150020
0.08,146405
0.08,150021
0.09,146406
0.09,150022
0.1,146407
0.1,146408
0.1,150023
0.1,150024
0.1,146409
0.1,150025
0.1,146410
0.1,146411
0.1,150026
0.1,150027
0.1,146412
0.1,150028
0.09,146413
0.09,150029
0.09,146414
0.09,146415
0.09,150030
0.09,150031
0.08,146416
0.08,150032
0.07,146417
0.07,146418
0.07,150033
0.07,150034
0.05,146419
0.05,150035
0.04,142804
0.04,146420
0.04,150036
0.05,142805
0.05,142806
0.05,146421
0.05,146422
0.05,150037
0.05,150038
0.04,142807
0.04,146423
0.04,150039
0.05,142808
0.05,146424
0.05,146425
0.05,150040
0.05,150041
0.05,142809
0.05,142810
0.05,146426
0.05,150042
0.05,142811
0.05,146427
0.05,150043
0.05,150044
0.05,142812
0.05,142813
0.05,146428
0.05,146429
0.05,150045
0.06,142814
0.06,146430
0.06,150046
0.04,142815
0.04,150047
0.03,146433
0.03,146434
0.03,150050
0.03,150051
0.02,146435
0.02,146436
0.02,150052
0.02,150053
0.02,146439
0.02,150054
0.02,150055
0.02,150056
0.12,150274
0.11,150275
0.11,150276
0.01,160677
0.01,160678
0.01,160679
0.01,160680
0.01,160681
0.01,153457
0.02,153458
0.02,157072
0.03,153459
0.03,153460
0.03,157073
0.03,153461
0.03,157074
0.03,157075
0.03,160688
0.06,153462
0.06,157076
0.06,160689
0.06,160690
0.07,153463
0.07,153464
0.07,157077
0.07,160691
0.07,153465
0.07,157078
0.07,157079
0.07,160692
0.07,160693
0.01,153466
0.01,153467
0.01,160694
0.07,153468
0.07,160695
0.07,160696
0.08,153469
0.08,153470
0.08,160697
0.04,160698
0.03,160701
0.34,160758
0.34,160759
0.32,157145
0.32,157146
0.32,160760
0.3,157147
0.3,160761
0.3,160762
0.29,157148
0.29,160763
0.3,157149
0.3,157150
0.3,160764
0.33,157151
0.33,160765
0.33,160766
0.35,157152
0.35,157153
0.35,160767
0.33,153539
0.33,153540
0.33,157154
0.33,160768
0.33,160769
0.3,153541
0.3,157155
0.3,157156
0.23,153542
0.23,157157
0.23,153543
0.23,153544
0.23,157158
0.23,153545
0.23,160775
0.3,153546
0.3,153547
0.3,157161
0.3,160776
0.29,153548
0.29,157162
0.29,157163
0.29,160777
0.29,160778
0.26,153549
0.26,153550
0.26,160779
0.25,153551
0.23,153553
0.23,153554
0.05,157183
0.07,153569
0.07,153570
0.07,157184
0.07,157185
0.07,160800
0.01,153571
0.01,157186
0.01,160801
0.09,153572
0.09,157187
0.09,153573
0.1,153576
0.1,153577
0.19,153593
0.2,153594
0.03,153629
0.03,153630
0.03,157245
0.01,153631
0.01,157246
0.01,157247
0.04,153632
0.04,153633
0.04,157248
0.07,153634
0.1,153635
0.13,153636
0.13,153637
0.13,157264
0.13,160880
0.11,157265
0.11,157266
0.11,160881
0.11,160882
0.09,157267
0.09,160883
0.07,153652
0.07,153653
0.07,157268
0.07,157269
0.07,160884
0.03,153654
0.03,157270
0.04,153655
0.04,157271
0.04,157272
0.02,153656
0.02,153657
0.02,157273
0.06,153663
0.06,157278
0.06,157279
0.06,160895
0.05,153664
0.05,157280
0.05,160896
0.05,157281
0.05,157282
0.05,160897
0.05,160898
0.04,153666
0.04,153667
0.04,157283
0.04,160899
0.04,153668
0.04,157284
0.04,157285
0.04,160900
0.04,160901
0.03,153669
0.03,153670
0.03,157286
0.03,160902
0.03,153671
0.03,157287
0.03,160903
0.03,160904
0.03,153672
0.03,153673
0.03,157288
0.03,157289
0.03,160905
0.03,157290
0.03,160906
0.03,160907
0.04,153675
0.04,157291
0.04,157292
0.04,160908
0.06,153676
0.06,153677
0.06,157293
0.06,153678
0.07,153679
0.07,153680
0.08,153681
0.08,153682
0.08,153683
0.12,153684
0.1,153685
0.1,157302
0.11,153686
0.11,153687
0.11,157303
0.12,157304
0.12,157305
0.12,157306
0.12,160923
0.11,160924
0.25,161124
0.25,157506
0.25,161125
0.24,157507
0.24,157508
0.24,161126
0.24,161127
0.24,153889
0.24,153890
0.24,157509
0.24,161128
0.23,153891
0.23,157510
0.23,157511
0.23,161129
0.23,161130
0.22,153892
0.22,153893
0.22,157512
0.22,161131
0.22,153894
0.22,161132
0.22,161133
0.22,153895
0.22,161136
0.22,161137
0.22,157519
0.22,161138
0.22,157520
0.22,157521
0.22,161139
0.22,161140
0.23,153903
0.23,157522
0.23,161141
0.23,153904
0.23,157523
0.23,157524
0.23,161142
0.23,161143
0.22,153905
0.22,153906
0.22,157525
0.22,161144
0.22,153907
0.22,157526
0.21,153908
0.12,161223
0.12,161224
0.11,157605
0.11,161225
0.11,161226
0.08,161232
0.01,167902
0.01,171515
0.01,171516
0.02,167903
0.02,171517
0.03,164291
0.03,164292
0.03,167905
0.03,171518
0.03,171519
0.04,164293
0.04,167906
0.04,167907
0.04,171520
0.03,164294
0.03,164295
0.03,167908
0.03,171521
0.03,171522
0.03,164296
0.03,167909
0.03,167910
0.03,171523
0.04,164297
0.04,167911
0.04,171524
0.04,171525
0.06,164298
0.06,164299
0.06,171526
0.09,167914
0.09,171528
0.14,167915
0.14,167916
0.14,171529
0.14,164303
0.14,167917
0.14,171530
0.14,171531
0.15,164304
0.15,164305
0.15,167918
0.15,167919
0.15,171532
0.16,164306
0.16,167920
0.16,171533
0.16,171534
0.13,164307
0.13,164308
0.13,167921
0.13,167922
0.13,171535
0.13,171536
0.12,164309
0.12,167923
0.12,171537
0.14,164310
0.14,164311
0.14,167924
0.14,167925
0.14,171538
0.14,171539
0.15,171540
0.17,171541
0.17,171542
0.17,171543
0.18,167930
0.18,167931
0.18,171544
0.18,171545
0.18,167932
0.18,171546
0.17,164319
0.17,164320
0.17,167933
0.17,167934
0.17,171547
0.17,171548
0.16,164321
0.16,167935
0.16,171549
0.14,167936
0.14,167937
0.14,171550
0.14,171551
0.13,167938
0.13,171552
0.03,167953
0.03,171567
0.11,164341
0.11,167954
0.11,167955
0.11,171568
0.11,171569
0.25,164342
0.25,167956
0.25,171570
0.4,164343
0.4,167957
0.4,167958
0.4,171571
0.43,164344
0.43,164345
0.42,164369
0.42,167983
0.42,171597
0.41,164370
0.41,167984
0.41,167985
0.41,164371
0.41,164372
0.41,167986
0.4,164373
0.4,167987
0.39,164374
0.39,164375
0.39,171603
0.39,171604
0.39,164376
0.39,167991
0.39,171605
0.39,164377
0.39,164378
0.39,167992
0.39,171606
0.39,171607
0.39,164379
0.39,167993
0.39,167994
0.39,171608
0.4,164380
0.4,164381
0.4,167995
0.4,171609
0.4,171610
0.41,164382
0.41,167996
0.41,167997
0.41,171611
0.41,171612
0.39,164383
0.39,164384
0.39,167998
0.39,171613
0.4,164385
0.4,167999
0.4,168000
0.4,171614
0.4,171615
0.42,164386
0.42,164387
0.42,168001
0.42,171616
0.43,168002
0.43,168003
0.43,171617
0.44,164390
0.44,168004
0.46,164391
0.46,168005
0.46,168006
0.46,171621
0.47,164392
0.47,168007
0.47,171622
0.06,171739
0.06,168124
0.06,168125
0.06,171740
0.06,171741
0.06,164509
0.06,164510
0.06,168126
0.06,171742
0.05,164511
0.05,168127
0.05,168128
0.06,164512
0.06,164513
0.06,168129
0.07,164514
0.02,164517
0.03,164521
0.03,164522
0.04,164523
0.39,168152
0.39,171768
0.37,168153
0.37,171769
0.37,171770
0.36,164538
0.36,168154
0.36,168155
0.36,171771
0.36,164539
0.36,168156
0.36,171772
0.36,171773
0.35,164540
0.35,164541
0.35,168157
0.35,168158
0.35,171774
0.32,168159
0.32,171775
0.32,171776
0.28,168160
0.28,168161
0.28,171777
0.23,168162
0.23,171778
0.23,171779
0.21,168163
0.21,171780
0.58,171882
0.54,168265
0.54,171883
0.38,168328
0.38,168329
0.38,171947
0.39,168330
0.39,171948
0.39,171949
0.38,164713
0.38,168331
0.39,164714
0.39,164715
0.4,164716
0.39,164717
0.39,164718
0.38,171960
0.38,168342
0.38,171961
0.38,168343
0.38,168344
0.38,171962
0.38,171963
0.37,168345
0.37,171964
0.37,168346
0.37,171965
0.35,164734
0.35,164735
0.35,171973
0.34,164736
0.34,168356
0.34,171974
0.34,171975
0.33,168357
0.33,171976
0.34,164739
0.34,164740
0.34,168358
0.34,168359
0.34,171977
0.34,171978
0.35,164741
0.35,168360
0.35,171979
0.35,164742
0.35,164743
0.35,168361
0.35,168362
0.35,171980
0.35,171981
0.34,164744
0.34,168363
0.34,171982
0.32,164745
0.32,164746
0.32,168364
0.32,168365
0.32,171983
0.32,171984
0.28,164747
0.28,168366
0.28,171985
0.27,164748
0.27,164749
0.27,168367
0.27,168368
0.27,171986
0.27,171987
0.26,164750
0.26,168369
0.26,171988
0.26,171989
0.25,164751
0.25,164752
0.25,168370
0.25,168371
0.27,164753
0.27,168372
0.27,171991
0.27,171992
0.25,164754
0.25,164755
0.25,168373
0.25,168374
0.25,171993
0.25,164756
0.25,168375
0.25,171994
0.25,171995
0.26,168376
0.26,168377
0.26,171996
0.26,168378
0.26,171997
0.26,171998
0.27,168379
0.28,172000
0.28,172001
0.3,168382
0.3,168383
0.3,172002
0.3,168384
0.3,172003
0.3,172004
0.31,168385
0.31,168386
0.32,164768
0.32,168387
0.32,172006
0.32,172007
0.33,164769
0.33,168388
0.33,168389
0.33,172008
0.33,168390
0.33,172009
0.44,168415
0.44,172034
0.43,168416
0.43,172035
0.43,172036
