prob,cell_id
1,2525614
1,2525615
1,2525616
1,2525617
1,2529231
1,2529232
1,2529233
1,2532848
1,2532849
1,2532850
1,2536464
1,2536465
1,2536466
1,2536467
1,2540081
1,2540082
1,2540083
1,2540084
1,2543697
1,2543698
1,2543699
1,2543700
0.63,2554545
0.63,2554546
0.63,2558161
0.63,2558162
0.63,2558163
0.63,2561777
0.63,2561778
0.63,2561779
0.63,2565393
0.63,2565394
0.63,2565395
0.63,2565396
0.52,2547362
0.52,2547363
0.52,2547364
0.52,2547365
0.52,2547366
0.52,2550979
0.52,2550980
0.52,2550981
0.52,2550982
0.52,2550983
0.52,2554596
0.52,2554597
0.52,2554598
0.52,2554599
0.52,2554600
0.52,2558212
0.52,2558213
0.52,2558214
0.52,2558215
0.52,2558216
0.52,2561829
0.52,2561830
0.52,2561831
0.52,2561832
0.52,2561833
0.52,2565446
0.52,2565447
0.52,2565448
0.52,2565449
0.52,2565450
0.48,2547367
0.48,2547368
0.48,2547369
0.48,2547370
0.48,2547371
0.48,2550984
0.48,2550985
0.48,2550986
0.48,2550987
0.48,2550988
0.48,2554601
0.48,2554602
0.48,2554603
0.48,2554604
0.48,2558217
0.48,2558218
0.48,2558219
0.48,2558220
0.48,2558221
0.48,2561834
0.48,2561835
0.48,2561836
0.48,2561837
0.48,2561838
0.48,2565451
0.48,2565452
0.48,2565453
0.48,2565454
0.48,2565455
0.33,2547372
0.33,2547373
0.33,2547374
0.33,2547375
0.33,2547376
0.33,2550989
0.33,2550990
0.33,2550991
0.33,2550992
0.33,2550993
0.33,2554605
0.33,2554606
0.33,2554607
0.33,2554608
0.33,2554609
0.33,2558222
0.33,2558223
0.33,2558224
0.33,2558225
0.33,2558226
0.33,2561839
0.33,2561840
0.33,2561841
0.33,2561842
0.33,2561843
0.33,2565456
0.33,2565457
0.33,2565458
0.33,2565459
0.33,2565460
0.35,2547377
0.35,2547378
0.35,2547379
0.35,2547380
0.35,2547381
0.35,2550994
0.35,2550995
0.35,2550996
0.35,2550997
0.35,2554610
0.35,2554611
0.35,2554612
0.35,2554613
0.35,2554614
0.35,2558227
0.35,2558228
0.35,2558229
0.35,2558230
0.35,2558231
0.35,2561844
0.35,2561845
0.35,2561846
0.35,2561847
0.35,2561848
0.35,2565461
0.35,2565462
0.35,2565463
0.35,2565464
0.35,2565465
0.49,2547382
0.49,2547383
0.49,2547384
0.49,2547385
0.49,2547386
0.49,2550998
0.49,2550999
0.49,2551000
0.49,2551001
0.49,2551002
0.49,2554615
0.49,2554616
0.49,2554617
0.49,2554618
0.49,2554619
0.49,2558232
0.49,2558233
0.49,2558234
0.49,2558235
0.49,2558236
0.49,2561849
0.49,2561850
0.49,2561851
0.49,2561852
0.49,2561853
0.49,2565466
0.49,2565467
0.49,2565468
0.49,2565469
0.49,2565470
0.96,2569009
0.96,2569010
0.96,2569011
0.96,2569012
0.96,2569013
0.96,2572626
0.96,2572627
0.96,2572628
0.96,2572629
0.96,2572630
0.96,2576245
0.96,2576246
0.96,2576247
0.96,2579862
0.96,2579863
