prob,cell_id
0.2,1697510
0.2,1701126
0.2,1701127
0.2,1701128
0.2,1704742
0.2,1704743
0.2,1708359
0.2,1708360
0.2,1708361
0.13,1697514
0.13,1697516
0.13,1701130
0.13,1701131
0.13,1701132
0.13,1704745
0.13,1704746
0.13,1704747
0.13,1704748
0.13,1704749
0.13,1708362
0.13,1708363
0.13,1708364
0.13,1708365
0.04,1693900
0.04,1693901
0.04,1693902
0.04,1693903
0.04,1697517
0.04,1697518
0.04,1697519
0.04,1697520
0.04,1701133
0.04,1701134
0.04,1701135
0.04,1701136
0.04,1704750
0.04,1704751
0.04,1704752
0.04,1704753
0.04,1708366
0.04,1708367
0.04,1708368
0.04,1708369
0.04,1708370
0.04,1693904
0.04,1693905
0.04,1693906
0.04,1693907
0.04,1693908
0.04,1697521
0.04,1697522
0.04,1697523
0.04,1697524
0.04,1701137
0.04,1701138
0.04,1701139
0.04,1701140
0.04,1701141
0.04,1704754
0.04,1704755
0.04,1704756
0.04,1704757
0.04,1708371
0.04,1708372
0.04,1708373
0.04,1708374
0.38,1711976
0.38,1711977
0.38,1730059
0.38,1730060
0.42,1711978
0.42,1711979
0.42,1711980
0.42,1711981
0.42,1711982
0.42,1715596
0.42,1715597
0.42,1715598
0.42,1719214
0.42,1719215
0.42,1722831
0.42,1726448
0.42,1730061
0.26,1711983
0.26,1711984
0.26,1711985
0.26,1711986
0.26,1715599
0.26,1715600
0.26,1715601
0.26,1715602
0.26,1715603
0.26,1719217
0.26,1719218
0.26,1719219
0.26,1722832
0.26,1722834
0.26,1722835
0.26,1722836
0.26,1726449
0.26,1726450
0.26,1726451
0.26,1726452
0.26,1730065
0.26,1730066
0.26,1730067
0.26,1730068
0.26,1730069
0.32,1711987
0.32,1711988
0.32,1711989
0.32,1711990
0.32,1715604
0.32,1715605
0.32,1715606
0.32,1715607
0.32,1719220
0.32,1719221
0.32,1719222
0.32,1719223
0.32,1719224
0.32,1722837
0.32,1722838
0.32,1722839
0.32,1722840
0.32,1726453
0.32,1726454
0.32,1726455
0.32,1726456
0.32,1726457
0.32,1730070
0.32,1730071
0.32,1730072
0.32,1730073
0.46,1733678
0.46,1733681
0.46,1737294
0.46,1737295
0.46,1737296
0.46,1737297
0.46,1740911
0.46,1740912
0.46,1740913
0.46,1740914
0.46,1744527
0.46,1744528
0.46,1744529
0.46,1744530
0.46,1744531
0.46,1748144
0.46,1748145
0.46,1748146
0.46,1748147
0.46,1751760
0.46,1751761
0.46,1751762
0.46,1751763
0.46,1751764
0.81,1733682
0.81,1733683
0.81,1733684
0.81,1733685
0.81,1737298
0.81,1737299
0.81,1737300
0.81,1737301
0.81,1737302
0.81,1740915
0.81,1740916
0.81,1740917
0.81,1740918
0.81,1744532
0.81,1744533
0.81,1744534
0.81,1744535
0.81,1748148
0.81,1748149
0.81,1748150
0.81,1748151
0.81,1748152
0.81,1751765
0.81,1751766
0.81,1751767
0.81,1751768
0.64,1762601
0.64,1762604
0.64,1766218
0.64,1766219
0.64,1766220
0.64,1766221
0.64,1769834
0.64,1769835
0.64,1769836
0.64,1769837
0.64,1769838
0.74,1755373
0.74,1755374
0.74,1755375
0.74,1755376
0.74,1758992
0.74,1762605
0.74,1762606
0.74,1762607
0.74,1762608
0.74,1762609
0.74,1766222
0.74,1766223
0.74,1766224
0.74,1766225
0.74,1769839
0.74,1769840
0.74,1769841
0.74,1769842
0.94,1755377
0.94,1755378
0.94,1755379
0.94,1755380
0.94,1758993
0.94,1758994
0.94,1758995
0.94,1758996
0.94,1758997
0.94,1762610
0.94,1762611
0.94,1762612
0.94,1762613
0.94,1766226
0.94,1766227
0.94,1766228
0.94,1766229
0.94,1766230
0.94,1769843
0.94,1769844
0.94,1769845
0.94,1769846
0.71,1773450
0.71,1777065
0.71,1777066
0.71,1780681
0.71,1780682
0.71,1780683
0.71,1784297
0.71,1784298
0.71,1784299
0.71,1787912
0.71,1787913
0.71,1787914
0.71,1787915
0.71,1787916
0.71,1791529
0.71,1791530
0.71,1791531
0.71,1791532
0.66,1773451
0.66,1773452
0.66,1773453
0.66,1773454
0.66,1777067
0.66,1777068
0.66,1777069
0.66,1777070
0.66,1777071
0.66,1780684
0.66,1780685
0.66,1780686
0.66,1780687
0.66,1784300
0.66,1784301
0.66,1784302
0.66,1784303
0.66,1784304
0.66,1787917
0.66,1787918
0.66,1787919
0.66,1787920
0.66,1791533
0.66,1791534
0.66,1791535
0.66,1791536
0.66,1791537
0.31,1773455
0.31,1773456
0.31,1773457
0.31,1773458
0.31,1773459
0.31,1777072
0.31,1777073
0.31,1777074
0.31,1777075
0.31,1780688
0.31,1780689
0.31,1780690
0.31,1780691
0.31,1780692
0.31,1784305
0.31,1784306
0.31,1784307
0.31,1784308
0.31,1787921
0.31,1787922
0.31,1787923
0.31,1787924
0.31,1787925
0.31,1791538
0.31,1791539
0.31,1791540
0.31,1791541
0.23,1809602
0.23,1813218
0.81,1798756
0.81,1798757
0.81,1802371
0.81,1802372
0.81,1802373
0.81,1805986
0.81,1805987
0.81,1805988
0.81,1805989
0.81,1805990
0.81,1809603
0.81,1809604
0.81,1809605
0.81,1809606
0.81,1813219
0.81,1813220
0.81,1813221
0.81,1813222
0.81,1813223
0.81,1795141
0.81,1795142
0.81,1795145
0.81,1798758
0.81,1798759
0.81,1798760
0.81,1798761
0.81,1802374
0.81,1802375
0.81,1802376
0.81,1802377
0.81,1802378
0.81,1805991
0.81,1805992
0.81,1805993
0.81,1805994
0.81,1809607
0.81,1809608
0.81,1809609
0.81,1809610
0.81,1809611
0.81,1813224
0.81,1813225
0.81,1813226
0.81,1813227
0.89,1795146
0.89,1795147
0.89,1795148
0.89,1795149
0.89,1798762
0.89,1798763
0.89,1798764
0.89,1798765
0.89,1798766
0.89,1802379
0.89,1802380
0.89,1802381
0.89,1802382
0.89,1805995
0.89,1805996
0.89,1805997
0.89,1805998
0.89,1805999
0.89,1809612
0.89,1809613
0.89,1809614
0.89,1809615
0.89,1813228
0.89,1813229
0.89,1813230
0.89,1813231
0.89,1813232
0.31,1795150
0.31,1795151
0.31,1795152
0.31,1795153
0.31,1798767
0.31,1798768
0.31,1798769
0.31,1798770
0.31,1802383
0.31,1802384
0.31,1802385
0.31,1802386
0.31,1802387
0.31,1806000
0.31,1806001
0.31,1806002
0.31,1806003
0.31,1809616
0.31,1809617
0.31,1809618
0.31,1809619
0.31,1809620
0.31,1813233
0.31,1813234
0.31,1813235
0.31,1813236
0.88,1816833
0.88,1816834
0.88,1816835
0.88,1820449
0.88,1820450
0.88,1820451
0.88,1820452
0.88,1824066
0.88,1824067
0.88,1824068
0.88,1827682
0.88,1827683
0.88,1827684
0.88,1827685
0.88,1831298
0.88,1831299
0.88,1831300
0.88,1831301
0.88,1834914
0.88,1834915
0.88,1834916
0.88,1834917
0.88,1834918
0.94,1816836
0.94,1816837
0.94,1816838
0.94,1816839
0.94,1820453
0.94,1820454
0.94,1820455
0.94,1820456
0.94,1824069
0.94,1824070
0.94,1824071
0.94,1824072
0.94,1824073
0.94,1827686
0.94,1827687
0.94,1827688
0.94,1827689
0.94,1831302
0.94,1831303
0.94,1831304
0.94,1831305
0.94,1831306
0.94,1834919
0.94,1834920
0.94,1834921
0.94,1834922
0.44,1816840
0.44,1816841
0.44,1816842
0.44,1816843
0.44,1816844
0.44,1820457
0.44,1820458
0.44,1820459
0.44,1820460
0.44,1824074
0.44,1824075
0.44,1824076
0.44,1824077
0.44,1827690
0.44,1827691
0.44,1827692
0.44,1827693
0.44,1827694
0.44,1831307
0.44,1831308
0.44,1831309
0.44,1831310
0.44,1834923
0.44,1834924
0.44,1834925
0.44,1834926
0.44,1834927
0.27,1849375
0.27,1852990
0.27,1852991
0.27,1852992
0.92,1838529
0.92,1838530
0.92,1842143
0.92,1842145
0.92,1842146
0.92,1845759
0.92,1845760
0.92,1845761
0.92,1845762
0.92,1845763
0.92,1849376
0.92,1849377
0.92,1849378
0.92,1849379
0.92,1849380
0.92,1852993
0.92,1852994
0.92,1852995
0.92,1852996
0.88,1838531
0.88,1838532
0.88,1838533
0.88,1838534
0.88,1842147
0.88,1842148
0.88,1842149
0.88,1842150
0.88,1842151
0.88,1845764
0.88,1845765
0.88,1845766
0.88,1845767
0.88,1849381
0.88,1849382
0.88,1849383
0.88,1849384
0.88,1852997
0.88,1852998
0.88,1852999
0.88,1853000
0.88,1853001
0.86,1856601
0.86,1856602
0.86,1856603
