prob,cell_id
0.05,1983811
0.05,1983812
0.05,1983813
0.05,1983814
0.05,1987428
0.05,1987429
0.05,1987430
0.05,1987431
0.05,1991045
0.05,1991046
0.05,1991047
0.05,1991048
0.05,1994661
0.05,1994662
0.05,1994663
0.05,1994664
0.05,1994665
0.05,1998278
0.05,1998279
0.05,1998280
0.05,1998281
0.05,1998282
0.05,2001895
0.05,2001896
0.05,2001897
0.05,2001898
0.05,2001899
0.16,1983815
0.16,1983816
0.16,1983817
0.16,1983818
0.16,1983819
0.16,1987432
0.16,1987433
0.16,1987434
0.16,1987435
0.16,1987436
0.16,1991049
0.16,1991050
0.16,1991051
0.16,1991052
0.16,1991053
0.16,1994666
0.16,1994667
0.16,1994668
0.16,1994669
0.16,1994670
0.16,1998283
0.16,1998284
0.16,1998285
0.16,1998286
0.16,1998287
0.16,2001900
0.16,2001901
0.16,2001902
0.16,2001903
0.16,2001904
0.14,1983820
0.14,1983821
0.14,1983822
0.14,1983823
0.14,1987437
0.14,1987438
0.14,1987439
0.14,1987440
0.14,1991054
0.14,1991055
0.14,1991056
0.14,1991057
0.14,1994671
0.14,1994672
0.14,1994673
0.14,1994674
0.14,1998288
0.14,1998289
0.14,1998290
0.14,1998291
0.14,2001905
0.14,2001906
0.14,2001907
0.14,2001908
0.06,2005498
0.06,2005499
0.06,2005500
0.06,2005502
0.06,2009115
0.06,2009116
0.06,2009117
0.06,2009118
0.06,2009119
0.06,2012732
0.06,2012733
0.06,2012734
0.06,2012735
0.06,2012736
0.06,2016349
0.06,2016350
0.06,2016351
0.06,2016352
0.06,2016353
0.06,2019966
0.06,2019967
0.06,2019968
0.06,2019969
0.06,2019970
0.06,2023584
0.06,2023585
0.06,2023586
0.06,2023587
0.27,2005503
0.27,2005504
0.27,2005505
0.27,2005506
0.27,2005507
0.27,2009120
0.27,2009121
0.27,2009122
0.27,2009123
0.27,2009124
0.27,2012737
0.27,2012738
0.27,2012739
0.27,2012740
0.27,2012741
0.27,2016354
0.27,2016355
0.27,2016356
0.27,2016357
0.27,2016358
0.27,2019971
0.27,2019972
0.27,2019973
0.27,2019974
0.27,2023588
0.27,2023589
0.27,2023590
0.27,2023591
0.31,2005508
0.31,2005509
0.31,2005510
0.31,2005511
0.31,2009125
0.31,2009126
0.31,2009127
0.31,2009128
0.31,2012742
0.31,2012743
0.31,2012744
0.31,2012745
0.31,2016359
0.31,2016360
0.31,2016361
0.31,2016362
0.31,2019975
0.31,2019976
0.31,2019977
0.31,2019978
0.31,2019979
0.31,2023592
0.31,2023593
0.31,2023594
0.31,2023595
0.31,2023596
0.2,2005512
0.2,2005513
0.2,2005514
0.2,2005515
0.2,2005516
0.2,2009129
0.2,2009130
0.2,2009131
0.2,2009132
0.2,2009133
0.2,2012746
0.2,2012747
0.2,2012748
0.2,2012749
0.2,2012750
0.2,2016363
0.2,2016364
0.2,2016365
0.2,2016366
0.2,2016367
0.2,2019980
0.2,2019981
0.2,2019982
0.2,2019983
0.2,2019984
0.2,2023597
0.2,2023598
0.2,2023599
0.2,2023600
0.2,2023601
0.06,2005517
0.06,2005518
0.06,2005519
0.06,2005520
0.06,2005521
0.06,2009134
0.06,2009135
0.06,2009136
0.06,2009137
0.06,2012751
0.06,2012752
0.06,2012753
0.06,2012754
0.06,2016368
0.06,2016369
0.06,2016370
0.06,2016371
0.06,2019985
0.06,2019986
0.06,2019987
0.06,2019988
0.06,2023602
0.06,2023603
0.06,2023604
0.06,2023605
0.32,2027201
0.32,2027202
0.32,2027203
0.32,2027204
0.32,2030818
0.32,2030819
0.32,2030820
0.32,2030821
0.32,2034434
0.32,2034435
0.32,2034436
0.32,2034437
0.32,2034438
0.32,2038051
0.32,2038052
0.32,2038053
0.32,2038054
0.32,2038055
0.32,2041668
0.32,2041669
0.32,2041670
0.32,2041671
0.32,2045285
0.32,2045286
0.32,2045287
0.32,2045288
0.25,2027205
0.25,2027206
0.25,2027207
0.25,2027208
0.25,2030822
0.25,2030823
0.25,2030824
0.25,2030825
0.25,2034439
0.25,2034440
0.25,2034441
0.25,2034442
0.25,2038056
0.25,2038057
0.25,2038058
0.25,2038059
0.25,2041672
0.25,2041673
0.25,2041674
0.25,2041675
0.25,2041676
0.25,2045289
0.25,2045290
0.25,2045291
0.25,2045292
0.25,2045293
