prob,cell_id
0.05,1632432
0.05,1632433
0.05,1636049
0.05,1639665
0.11,1650510
0.11,1650511
0.11,1650512
0.11,1650513
0.11,1650514
0.11,1654127
0.11,1654128
0.11,1654129
0.11,1657743
0.11,1657744
0.11,1657745
0.11,1661360
0.11,1661361
0.11,1661362
0.11,1664977
0.11,1664978
0.11,1668593
0.11,1668594
0.02,1672196
0.02,1672197
0.02,1672198
0.02,1672199
0.02,1672200
0.02,1675813
0.02,1675814
0.02,1686666
0.02,1672201
0.02,1672202
0.02,1672203
0.02,1672204
0.02,1675817
0.02,1675818
0.02,1675819
0.02,1675820
0.02,1675821
0.02,1679434
0.02,1679435
0.02,1679436
0.02,1679437
0.02,1683050
0.02,1683051
0.02,1683052
0.02,1683053
0.02,1683054
0.02,1686667
0.02,1686668
0.02,1686669
0.02,1686670
0.02,1690283
0.02,1690284
0.02,1690285
0.02,1690286
0.02,1690287
0.08,1672205
0.08,1672206
0.08,1672207
0.08,1672208
0.08,1672209
0.08,1675822
0.08,1675823
0.08,1675824
0.08,1675825
0.08,1679438
0.08,1679439
0.08,1679440
0.08,1679441
0.08,1679442
0.08,1683055
0.08,1683056
0.08,1683057
0.08,1683058
0.08,1686671
0.08,1686672
0.08,1686673
0.08,1686674
0.08,1686675
0.08,1690288
0.08,1690289
0.08,1690290
0.08,1690291
0.11,1672210
0.11,1672211
0.11,1675826
0.11,1675827
0.11,1675828
0.11,1679443
0.11,1679444
0.11,1683059
0.11,1683060
0.11,1683061
0.11,1686676
0.11,1686677
0.11,1690292
0.11,1690293
0.13,1697510
0.13,1701126
0.13,1701127
0.13,1701128
0.13,1704742
0.13,1704743
0.13,1708359
0.13,1708360
0.13,1708361
0.09,1697514
0.09,1697516
0.09,1701130
0.09,1701131
0.09,1701132
0.09,1704745
0.09,1704746
0.09,1704747
0.09,1704748
0.09,1704749
0.09,1708362
0.09,1708363
0.09,1708364
0.09,1708365
0.14,1693900
0.14,1693901
0.14,1693902
0.14,1693903
0.14,1697517
0.14,1697518
0.14,1697519
0.14,1697520
0.14,1701133
0.14,1701134
0.14,1701135
0.14,1701136
0.14,1704750
0.14,1704751
0.14,1704752
0.14,1704753
0.14,1708366
0.14,1708367
0.14,1708368
0.14,1708369
0.14,1708370
0.26,1693904
0.26,1693905
0.26,1693906
0.26,1693907
