prob,cell_id
0.12,4516883
0.12,4516884
0.12,4520500
0.12,4520501
0.12,4524116
0.12,4524117
0.12,4524118
0.12,4527733
0.12,4527734
0.12,4527735
0.12,4531349
0.12,4531350
0.12,4531351
0.12,4531352
0.12,4534966
0.12,4534967
0.12,4534968
0.12,4534969
0.06,4534970
0.13,4538582
0.13,4538583
0.13,4538584
0.13,4538585
0.13,4538586
0.13,4542198
0.13,4542199
0.13,4542200
0.13,4542201
0.13,4542202
0.13,4545815
0.13,4545816
0.13,4545817
0.13,4545818
0.13,4545819
0.13,4549431
0.13,4549432
0.13,4549433
0.13,4549434
0.13,4549435
0.13,4553048
0.13,4553049
0.13,4553050
0.13,4553051
0.13,4556664
0.13,4556665
0.13,4556666
0.13,4556667
0.13,4556668
0.32,4538587
0.32,4542203
0.32,4545820
0.32,4549436
0.32,4553052
0.32,4553053
0.32,4556669
0.32,4556670
0.32,4556671
0.48,4560285
0.48,4560286
0.48,4560287
0.48,4560288
0.48,4563902
0.48,4563903
0.48,4563904
0.48,4563905
0.48,4567518
0.48,4567519
0.48,4567520
0.48,4567521
0.48,4567522
0.48,4571135
0.48,4571136
0.48,4571137
0.48,4571138
0.48,4574751
0.48,4574752
0.48,4574753
0.48,4574754
0.48,4574755
0.48,4578368
0.48,4578369
0.48,4578370
0.48,4578371
0.13,4578372
0.46,4581984
0.46,4581985
0.46,4581986
0.46,4581987
0.46,4581988
0.46,4585601
0.46,4585602
0.46,4585603
0.46,4585604
0.46,4589217
0.46,4589218
0.46,4589219
0.46,4589220
0.46,4589221
0.46,4592833
0.46,4592834
0.46,4592835
0.46,4592836
0.46,4592837
0.46,4596450
0.46,4596451
0.46,4596452
0.46,4596453
0.13,4596454
0.01,4600066
0.01,4600067
0.01,4600068
0.01,4600069
0.01,4600070
0.01,4603683
0.01,4603684
0.01,4603685
0.01,4603686
0.01,4607299
0.01,4607300
0.01,4607301
0.01,4607302
0.01,4607303
0.01,4610916
0.01,4610917
0.01,4610918
0.01,4610919
0.01,4614532
0.01,4614533
0.01,4614534
0.01,4614535
0.01,4614536
0.01,4618148
0.01,4618149
0.01,4618150
0.01,4618151
0.01,4618152
0.8,4603687
0.8,4610920
0.8,4618153
0.89,4621769
0.89,4621770
0.89,4625386
0.89,4629002
0.89,4629003
0.89,4632619
0.89,4632620
0.89,4636235
0.89,4636236
0.89,4636237
0.89,4639852
0.89,4639853
0.89,4639854
0.98,4643468
0.98,4643469
0.98,4643470
0.98,4643471
0.98,4647084
0.98,4647085
0.98,4647086
0.98,4647087
0.98,4650701
0.98,4650702
0.98,4650703
0.98,4650704
0.98,4654317
0.98,4654318
0.98,4654319
0.98,4654320
0.98,4654321
0.98,4657934
0.98,4657935
0.98,4657936
0.98,4657937
0.98,4661550
0.98,4661551
0.98,4661552
0.98,4661553
0.98,4661554
0.09,4657938
0.09,4661555
0.69,4661695
0.69,4661696
0.69,4661697
0.82,4665171
0.82,4668787
0.82,4668788
0.82,4672404
0.82,4672405
0.82,4676020
0.82,4676021
0.82,4676022
0.82,4679637
0.82,4679638
0.82,4683253
0.82,4683254
0.82,4683255
0.31,4679753
0.31,4683367
0.31,4683368
0.31,4683369
0.31,4683370
0.68,4672524
0.68,4672525
0.68,4676139
0.68,4676140
0.68,4676141
0.68,4679754
0.68,4679755
0.68,4679756
0.68,4679757
0.68,4679758
0.68,4683371
0.68,4683372
0.68,4683373
0.68,4683374
0.66,4668910
0.66,4668911
0.66,4668912
0.66,4668913
0.66,4672526
0.66,4672527
0.66,4672528
0.66,4672529
0.66,4672530
0.66,4676142
0.66,4676143
0.66,4676144
0.66,4676145
0.66,4676146
0.66,4679759
0.66,4679760
0.66,4679761
0.66,4679762
0.66,4683375
0.66,4683376
0.66,4683377
0.66,4683378
0.66,4683379
0.67,4665301
0.67,4665302
0.67,4668914
0.67,4668915
0.67,4668916
