cell_id,therm_prs
3281512,0.39117
3281514,0.56688
3281515,0.56974
3285129,0.38883
3285131,0.54596
3285132,0.55212
3288746,0.38076
3288748,0.53792
3288749,0.54207
3292363,0.36052
3292364,0.34605
3292366,0.537
3292367,0.53574
3295980,0.33032
3295981,0.33841
3295982,0.35521
3295983,0.45766
3295984,0.53302
3299597,0.32168
3299598,0.33831
3299599,0.35579
3299601,0.51464
3303214,0.32367
3303215,0.34372
3303216,0.35733
3303217,0.37228
3303218,0.50415
3303219,0.51026
3303220,0.51707
3303222,0.5218
3303223,0.53511
3303224,0.56278
3303225,0.55204
3303226,0.53609
3303227,0.53641
3303230,0.53305
3306832,0.35552
3306833,0.36583
3306834,0.37552
3306835,0.44882
3306836,0.50226
3306837,0.51115
3306838,0.50429
3306839,0.50163
3306840,0.50305
3306843,0.5119
3306844,0.51922
3310448,0.37816
3310449,0.39195
3310450,0.38031
3310451,0.37676
3310453,0.50047
3310454,0.50105
3310455,0.49307
3310456,0.48841
3310457,0.48764
3310460,0.49994
3310461,0.50607
3310467,0.51759
3314065,0.40902
3314071,0.49455
3314072,0.48902
3314074,0.48281
3314075,0.4923
3314076,0.48793
3314077,0.48746
3314078,0.49119
3314079,0.49734
3314083,0.49952
3314084,0.50385
3317688,0.47069
3317689,0.48445
3317692,0.48759
3317693,0.49024
3317696,0.48452
3317700,0.48082
3317701,0.50066
3321299,0.39465
3321303,0.49871
3321304,0.48948
3321305,0.47527
3321316,0.4767
3321317,0.48138
3321318,0.50096
3332160,0.48147
3332161,0.48349
3335777,0.48123
3335778,0.48389
3339394,0.46377
3339395,0.47787
3339396,0.48497
3343011,0.47159
3372042,0.67227
3372043,0.69494
3372044,0.7407
3375659,0.66628
3375660,0.68888
3375661,0.72737
3379276,0.66466
3379277,0.68009
3382893,0.66026
3382894,0.66868
3386510,0.65103
3386511,0.66865
3386512,0.68153
3386513,0.69133
3390127,0.63867
3390128,0.65645
3390129,0.67472
3390130,0.68912
3390131,0.71515
3393745,0.64502
3393746,0.66456
3393747,0.68793
3393748,0.71728
3393754,1
3393755,1
3393756,1
3393757,1
3397363,0.65473
3397364,0.67977
3397365,0.71099
3397371,1
3397372,1
3397373,1
3397374,1
3400980,0.64245
3400981,0.66859
3400982,0.69509
3400988,1
3400989,1
3400990,1
3404597,0.63178
3404598,0.65826
3404599,0.68704
3404605,0.86608
3404606,0.94559
3404607,0.99494
3408214,0.62981
3408215,0.65632
3408216,0.68558
3408222,0.85142
3408223,0.87508
3411831,0.63131
3411832,0.65971
3411833,0.689
3411840,0.86484
3415449,0.65799
3415450,0.6861
3415451,0.71481
3415457,0.86338
3419066,0.65878
3419067,0.68857
3419068,0.71298
3419074,0.87045
3422682,0.6297
3422684,0.68672
3422685,0.70915
3422691,0.87537
3426299,0.62982
3426301,0.68655
3426302,0.70949
3429916,0.63939
3429918,0.699
3429919,0.72316
3433533,0.6439
3433534,0.67485
3433535,0.70783
3433536,0.74435
3437151,0.68786
3437152,0.72301
3437153,0.76453
3440766,0.64122
3440767,0.6728
3440768,0.70141
3440769,0.73803
3440770,0.7684
3444383,0.63651
3444384,0.67615
3444385,0.71238
3444386,0.74256
3448000,0.63686
3448001,0.6737
3451617,0.61992
3451618,0.65573
3455234,0.6127
3455235,0.64107
3484166,0.08847
