cell_id,therm_prs
4724965,0.16848
4724966,0.1605
4724967,0.17502
4724968,0.23365
4728582,0.16752
4728583,0.15854
4728584,0.18472
4732199,0.16698
4732200,0.15375
4732201,0.17506
4732202,0.25818
4735817,0.15116
4735818,0.15778
4735819,0.24837
4739434,0.1496
4739435,0.1422
4739436,0.20069
4739437,0.18384
4743052,0.12671
4743053,0.13821
4743054,0.14809
4746665,0.19097
4746666,0.18164
4746667,0.16685
4746668,0.1418
4746669,0.11504
4746670,0.10366
4746671,0.10514
4746672,0.0971
4750282,0.18937
4750283,0.17982
4750284,0.16422
4750285,0.13954
4750286,0.10794
4750287,0.08131
4750288,0.07129
4750289,0.07769
4753899,0.18862
4753900,0.17823
4753901,0.16274
4753902,0.13709
4753903,0.10228
4753904,0.07118
4753905,0.05761
4753906,0.06791
4757517,0.17767
4757518,0.1614
4757519,0.13788
4757520,0.1028
4757521,0.06898
4757522,0.0494
4757523,0.05439
4761134,0.17607
4761135,0.16096
4761136,0.13746
4761137,0.10642
4761138,0.07215
4761139,0.0477
4761140,0.04342
4764752,0.16285
4764753,0.14132
4764754,0.11045
4764755,0.08604
4764756,0.07304
4764757,0.07774
4768369,0.16201
4768370,0.14147
4768371,0.11125
4768372,0.08763
4768373,0.10248
4771986,0.15999
4771987,0.14347
4771988,0.11783
4771989,0.08847
4771990,0.0885
4775604,0.14871
4775605,0.12692
4775606,0.0977
4775607,0.07316
4775608,0.07937
4779221,0.15021
4779222,0.13341
4779223,0.10754
4779224,0.07599
4779225,0.06419
4782839,0.13342
4782840,0.11263
4782841,0.08013
4782842,0.05344
4786456,0.13218
4786457,0.11177
4786458,0.0856
4786459,0.05705
4786460,0.04283
4790074,0.11067
4790075,0.08537
4790076,0.05504
4790077,0.04242
4793691,0.10936
4793692,0.08513
4793693,0.0601
4793694,0.04097
4797308,0.09473
4797309,0.07074
4797310,0.05014
4797311,0.03856
4800926,0.05512
4800927,0.03949
4800928,0.03376
4804543,0.04277
4804544,0.02387
4804545,0.01782
4804546,0.02403
4808156,0.11311
4808157,0.10179
4808158,0.08425
4808159,0.0609
4808160,0.03494
4808161,0.01062
4808162,0.00358
4808163,0.00184
4811774,0.09319
4811775,0.076
4811776,0.05258
4811777,0.0215
4811778,0.00153
4811779,0
4811780,0
4815391,0.08364
4815392,0.06584
4815393,0.04048
4815394,0.01294
4815395,0
4815396,0
4815397,0
4819009,0.05561
4819010,0.02923
4819011,0.00768
4819012,0
4819013,0
4822626,0.04232
4822627,0.01573
4822628,0
4822629,0
4822630,0
