cell_id,therm_prs
4954984,0.73036
4954985,0.74465
4958600,0.71495
4958601,0.7214
4962216,0.7054
4962217,0.71138
4965832,0.64769
4965833,0.68282
4969447,0.63078
4969448,0.59879
4973063,0.62247
4976671,0.63693
4976672,0.66571
4976673,0.67266
4976674,0.63211
4976675,0.6258
4976676,0.60418
4976702,0.46511
4976703,0.45801
4976704,0.42684
4976705,0.41987
4976706,0.428
4976707,0.43937
4976708,0.49785
4980286,0.58577
4980287,0.60978
4980288,0.64614
4980289,0.67179
4980290,0.66468
4980316,0.45492
4980317,0.46187
4980318,0.46896
4980319,0.47405
4980320,0.4672
4980321,0.45528
4980322,0.4456
4980323,0.45368000000000003
4980324,0.48993
4983902,0.56516
4983903,0.56681
4983904,0.58956
4983905,0.64522
4983931,0.3983
4983932,0.44901
4983933,0.46838
4983934,0.47801
4983935,0.48631
4983936,0.48935
4983937,0.48201
4983938,0.46811
4983939,0.468
4983940,0.51404
4987518,0.53302
4987519,0.47439
4987520,0.47986
4987546,0.17592
4987547,0.34617
4987548,0.43239
4987549,0.47274
4987550,0.48589
4987551,0.49971
4987552,0.50481
4987553,0.49993
4987554,0.4933
4987555,0.49569
4991134,0.50789
4991135,0.44527
4991136,0.35777
4991162,0.22874
4991163,0.28381
4991164,0.41787
4991165,0.47084
4991166,0.48857
4991167,0.50541
4991168,0.51719
4991169,0.51928
4991170,0.52214
4991171,0.53458
4994750,0.49042
4994751,0.46712
4994752,0.3917
4994753,0.35928
4994778,0.242
4994779,0.3284
4994780,0.42471
4994781,0.46272
4994782,0.49173
4994783,0.51384
4998365,0.4584
4998366,0.46854
4998367,0.46387
4998368,0.44086
4998369,0.41788
4998370,0.39082
4998371,0.37151
4998372,0.34903
4998394,0.29794
4998395,0.35987
4998396,0.43386
4998397,0.46639
4998398,0.50018
4998399,0.52955
5001981,0.42194
5001982,0.42853
5001983,0.43773
5001984,0.43697
5001985,0.42143
5001986,0.39891
5001987,0.36498
5001988,0.34396
5001989,0.33161
5002011,0.40515
5002012,0.43781
5002013,0.47992
5002014,0.51676
5005597,0.37608
5005598,0.37964
5005599,0.3917
5005600,0.4027
5005601,0.39806
5005602,0.38272
5005603,0.36004
5005604,0.33344
5005605,0.3095
5005626,0.37925
5005627,0.40173
5005628,0.44922
5005629,0.50012
5005630,0.53657
5009213,0.33371
5009214,0.33288
5009215,0.34485
5009216,0.36066
5009217,0.36865
5009218,0.36333
5009219,0.35338
5009220,0.33857
5009221,0.32042
5009222,0.31503
5009223,0.31244
5009224,0.28954
5009241,0.30239
5009242,0.3526
5009243,0.4171
5009244,0.47243
5009245,0.52066
5009246,0.55808
5012829,0.29239
5012830,0.29031
5012831,0.3017
5012832,0.31442
5012833,0.32965
5012834,0.33423
5012835,0.33422
5012836,0.33357
5012837,0.33062
5012838,0.32376
5012839,0.31736
5012840,0.29603
5012841,0.25306
5012857,0.27465
5012858,0.33655
5012859,0.42343
5012860,0.49581
5012861,0.54226
5012862,0.57123
5016432,0.45792
5016433,0.44016
5016434,0.42205
5016435,0.4113
5016436,0.39509
5016437,0.37761
5016438,0.35586
5016439,0.33931
5016440,0.32628
5016441,0.31078
5016442,0.29445
5016443,0.28124
5016444,0.27241
5016445,0.26373
5016446,0.2583
5016447,0.26768
5016448,0.28134
5016449,0.2925
5016450,0.29934
5016451,0.30206
5016452,0.3051
5016453,0.31366
5016454,0.32105
5016455,0.32388
5016456,0.30611
5016457,0.27911
5016458,0.27271
5016472,0.24717
5016473,0.28586
