cell_id,therm_prs
4647429,0.57693
4651045,0.51912
4651046,0.59605
4654662,0.55637
4658277,0.46337
4658278,0.53636
4661893,0.46002
4661894,0.50998
4665509,0.44795
4665510,0.48964
4669125,0.41143
4669126,0.46206
4669127,0.60415
4672741,0.37894
4672742,0.45357
4672743,0.58999
4676357,0.34902
4676358,0.42958
4676359,0.57507
4679972,0.29117
4679973,0.32691
4679974,0.42798
4683588,0.29125
4683589,0.33246
4683590,0.43715
4687203,0.30521
4687204,0.296
4687205,0.33757
4687206,0.43234
4690820,0.2957
4690821,0.3588
4690822,0.45237
4694436,0.30882
4694437,0.37309
4698052,0.32645
4698053,0.37938
4701668,0.31108
4701669,0.38151
4701670,0.49288
4705283,0.24001
4705284,0.27562
4705285,0.37553
4705286,0.49813
4708898,0.22703
4708899,0.25382
4708900,0.30344
4712513,0.22008
4712514,0.24709
4712515,0.26898
4712516,0.32913
4716128,0.1971
4716129,0.23554
4716130,0.25623
4716131,0.30016
4719743,0.18278
4719744,0.20239
4719745,0.23507
4719746,0.27726
4719747,0.32685
4723358,0.17643
4723359,0.19043
4723360,0.22291
4723361,0.26873
4726974,0.17613
4726975,0.21006
4726976,0.25031
4730590,0.19197
4730591,0.22593
4730592,0.27566
4734205,0.1725
4734206,0.20399
4734207,0.24805
4737820,0.15662
4737821,0.17641
4737822,0.20673
4737823,0.26155
4741437,0.17452
4741438,0.22101
4741439,0.28175
4745052,0.1825
4745053,0.19395
4745054,0.23567
4748667,0.15778
4748668,0.16402
4748669,0.20828
4752283,0.19686
4752284,0.18868
4752285,0.22128
4755900,0.20907
4755901,0.24341
4759515,0.14372
4759516,0.20011
4759517,0.25278
4763132,0.17959
4763133,0.25936
4766746,0.19046
4766747,0.1619
4766748,0.21524
4766749,0.28475
4770363,0.20247
4770364,0.21659
4770365,0.29024
4773978,0.16238
4773979,0.1936
4773980,0.24781
4773981,0.30254
4777593,0.09129
4777594,0.12174
4777595,0.18131
4777596,0.25501
4781209,0.08015
4781210,0.10802
4781211,0.19627
4784825,0.10417
4784826,0.12686
4784827,0.20893
4788441,0.1157
4788442,0.13087
4788443,0.2115
4792057,0.12061
4792058,0.12678
4792255,0
4792256,0
4795673,0.15535
4795674,0.16655
4795871,0
4795872,0
4799289,0.09634
4799290,0.17751
4799487,0
4799488,0
4799489,0
4799490,0
4802904,0.05814
4802905,0.03354
4802906,0.14075
4803103,0
4803104,0
4803105,0
4803106,0
4803107,0
4806521,0.03638
4806522,0.13789
4806719,0
4806720,0
4806721,0
4806722,0
4806723,0
4806724,0
4806725,0
4806726,0
4810136,0
4810137,0.00421
4810138,0.12195
4810343,0
4813753,0.00431
4813754,0.12091
4813755,0.21081
4813959,0
4813960,0
4813961,0
4813962,0
4817367,0
4817368,0
4817369,0.0107
4817370,0.12036
4817371,0.20966
4817575,0
4817576,0
4817577,0
4817578,0
4820983,0
4820984,0
4820985,0.04028
4820986,0.13162
4821192,0
4821193,0
4821194,0
4821195,0
4824598,0
4824599,0
4824600,0.026950000000000002
4824808,0
4824809,0
4824810,0
4824811,0
4828214,0
4828215,0
4828216,0.04898
4828427,0
4828428,0
4828429,0
4831830,0
4831831,0.00814
4832043,0
4832044,0
4832045,0
4835446,0
4835447,0.02813
4835659,0
4835660,0
4835661,0
4839061,0
4839062,0
4839063,0.0313
4839267,0
4839273,0
4839274,0
4839275,0
4839276,0
4839277,0
4842677,0
4842678,0
4842679,0.0464
4842883,0
4842889,0
4842890,0
4842891,0
4842892,0
4842893,0
4846292,0
4846293,0
4846294,0.00556
4846295,0.06621
4846499,0
4846500,0
4846501,0
4846502,0
4846506,0
4846507,0
4846508,0
4846509,0
4849908,0
4849909,0
4849910,0.00707
4850115,0
4850116,0
4850117,0
4850118,0
4850123,0
4850124,0
4850125,0
4850129,0
4850130,0
4853524,0
4853525,0
4853526,0.01501
4853739,0
4853740,0
4853741,0
4853745,0
4853746,0
4853747,0
4857140,0
4857141,0
4857142,0.01937
4857356,0
4857357,0
4857358,0
4857359,0
4857360,0
4857361,0
4857362,0
4857363,0
4857364,0
4860757,0
4860758,0.0122
4860971,0
4860973,0
4860974,0
4860975,0
4860976,0
4860977,0
4860978,0
4860979,0
4860980,0
4860981,0
4864372,0
4864373,0
4864374,2.9e-4
4864587,0
4864588,0
4864589,0
4864590,0
4864591,0
4864592,0
4864593,0
4864594,0
4864595,0
4864596,0
4864597,0
4867988,0
4867989,0
4867990,0.00363
4868203,0
4868204,0
4868205,0
4868206,0
4868207,0
4868208,0
4868209,0
4868210,0
4868211,0
4868212,0
4868213,0
4868214,0
4871604,0
4871605,0
4871606,5e-4
4871828,0
4871829,0
4871830,0
4875220,0
4875221,0
4875222,0
4875444,0
4875445,0
4875446,0
4878836,0
4878837,0
4878838,0
4879059,0
4879060,0
4879061,0
4879062,0
4879063,0
4882451,0
4882452,0
4882453,0
4882675,0
4882676,0
4882677,0
4882678,0
4882679,0
4886067,0
4886068,0
4886069,0
4886070,0
4886291,0
4886292,0
4886293,0
4886294,0
4886295,0
4889683,0
4889684,0
4889685,0
4889907,0
4889910,0
4889911,0
4889912,0
4893301,0
4893514,0
4893515,0
4893516,0
4893517,0
4893521,0
4893522,0
4893523,0
4893526,0
4893527,0
4896917,0
4897130,0
4897131,0
4897132,0
4897133,0
4897134,0
4897136,0
4897137,0
4897138,0
4897139,0
4897142,0
4897143,0
4900533,0
4900746,0
4900747,0
4900748,0
4900749,0
4900753,0
4900754,0
4900755,0
4900756,0
4900757,0
4900758,0
4900759,0
4900761,0
4904149,0
4904150,0
4904362,0
4904363,0
4904364,0
4904374,0
4904375,0
4904376,0
4904377,0
4907765,0
4907978,0
4907979,0
4907980,0
4907990,0
4907991,0
4907992,0
4911381,0
4911594,0
4911595,0
4911596,0
4911606,0
4911607,0
4911608,0
4914997,0
4914998,0
4915210,0
4915211,0
4915212,0
4915223,0
4915224,0
4915225,0
4915226,0
4915232,0
4915237,0
4915238,0
4915239,0
4915240,0
4915241,0
4915242,0
4915243,0
4915244,0
4915247,0
4918826,0
4918827,0
4918828,0
4918839,0
4918840,0
4918841,0
4918842,0
4918843,0
4918844,0
4918851,0
4918852,0
4918853,0
4918854,0
4918855,0
4918859,0
4918860,0
4918861,0
4918863,0
4922442,0
4922443,0
4922444,0
4922445,0
4922456,0
4922457,0
4922458,0
4922459,0
4922460,0
4922461,0
4922462,0
4922465,0
4922466,0
4922467,0
4922468,0
4922469,0
4922475,0
4922476,0
4922477,0
4926058,0
4926059,0
4926060,0
4926061,0
4926075,0
4926076,0
4926077,0
4926078,0
4926079,0
4926080,0
4926081,0
4926082,0
4926083,0
4926084,0
4926085,0
4926090,0
4926091,0
4926092,0
4926093,0
4929674,0
4929675,0
4929676,0
4929692,0
4929693,0
4929694,0
4929695,0
4929696,0
4929697,0
4929698,0
4929699,0
4929700,0
4929706,0
4929707,0
4929708,0
4933290,0
4933291,0
4933292,0
4933321,0
4933322,0
4933323,0
4936905,0
4936906,0
4936907,0
4936908,0
4936937,0
4936938,0
4940521,0
4940522,0
4940523,0
4940524,0
4940553,0
4940554,0
4944136,0
4944137,0
4944138,0
4944169,0
4944170,0
4947752,0
4947753,0
4947754,0
4947784,0
4947785,0
4947786,0
4951368,0
4951369,0
4951370,0
4951400,0
4951401,0
4951402,0
4954983,0
4954984,0
4954985,0
4955015,0
4955016,0
4955017,0
4955018,0
4958598,0
4958599,0
4958600,0
4958601,0
4958630,0
4958631,0
4958632,0
4958633,0
4962214,0
4962215,0
4962216,0
4962217,0
4962245,0
4962246,0
4962247,0
4962248,0
4965829,0
4965830,0
4965831,0
4965832,0
4965833,0
4965860,0
4965861,0
4965862,0
4965863,0
4965864,0
4969443,0
4969444,0
4969445,0
4969446,0
4969447,0
4969448,0
4969476,0
4969477,0
4969478,0
4969479,0
4969480,0
4973059,0
4973060,0
4973061,0
4973062,0
4973063,0
4973091,0
4973092,0
4973093,0
4973094,0
4976672,0
4976673,0
4976674,0
4976675,0
4976676,0
4976702,0
4976703,0
4976704,0
4976705,0
4976706,0
4976707,0
4976708,0
4976709,0
4976710,0
4980287,0
4980288,0
4980289,0
4980290,0
4980316,0
4980317,0
4980318,0
4980319,0
4980320,0
4980321,0
4980322,0
4980323,0
4980324,0
4980325,0
4983903,0
4983904,0
4983905,0
4983931,0
4983932,0
4983933,0
4983934,0
4983935,0
4983936,0
4983937,0
4983938,0
4983939,0
4983940,0
4983941,0
4987519,0
4987520,0
4987546,0
4987547,0
4987548,0
4987549,0
4987550,0
4987553,0
4987554,0
4987555,0
4987556,0
4987557,0
4991135,0
4991136,0
4991162,0
4991163,0
4991164,0
4991165,0
4994752,0
4994753,0
4994778,0
4994779,0
4994780,0
4994781,0
4998368,0
4998369,0
4998370,0
4998371,0
4998372,0
4998394,0
4998395,0
4998396,0
5001984,0
5001985,0
5001986,0
5001987,0
5001988,0
5001989,0
5002011,0
5002012,0
5005600,0
5005601,0
5005602,0
5005603,0
5005604,0
5005605,0
5005626,0
5005627,0
5005628,0
5005629,0
5009216,0
5009217,0
5009218,0
5009219,0
5009220,0
5009221,0
5009222,0
5009223,0
5009224,0
5009241,0
5009242,0
5009243,0
5009244,0
5012832,0
5012833,0
5012834,0
5012835,0
5012836,0
5012837,0
5012838,0
5012839,0
5012840,0
5012841,0
5012857,0
5012858,0
5012859,0
5016453,0
5016454,0
5016455,0
5016456,0
5016457,0
5016458,0
