cell_id,therm_prs
3350305,0.43527
3350306,0.43161
3350307,0.42502
3350308,0.42444
3350309,0.43718
3350310,0.43838
3350311,0.43856
3350312,0.43692
3350313,0.43569
3350314,0.43693
3350315,0.43321
3350316,0.4432
3350317,0.44643
3350318,0.4488
3350319,0.46299
3353922,0.43272
3353923,0.42993
3353924,0.42537
3353925,0.42208
3353926,0.42893
3353927,0.43005
3353928,0.42826
3353929,0.43066
3353930,0.4285
3353931,0.4255
3353932,0.42405
3353933,0.42829
3353934,0.43474
3353935,0.44217
3353936,0.4515
3357539,0.43426
3357540,0.42866
3357541,0.4263
3357542,0.42177
3357543,0.42119
3357544,0.42309
3357545,0.42253
3357546,0.42374
3357547,0.41611
3357548,0.41187
3357549,0.41702
3357550,0.41905
3357551,0.42099
3357552,0.42499
3357553,0.43605
3361156,0.43362
3361157,0.42982
3361158,0.42715
3361159,0.42092
3361160,0.41756
3361161,0.41852
3361162,0.41654
3361163,0.41527
3361164,0.40406
3361165,0.40286
3361166,0.40989
3361167,0.4134
3361168,0.4103
3361169,0.40825
3361170,0.42093
3364773,0.42752
3364774,0.43062
3364775,0.42488
3364776,0.41746
3364777,0.41567
3364778,0.41581
3364779,0.40996
3364780,0.40961
3364781,0.40139
3364782,0.40018
3364783,0.40261
3364784,0.40485
3364785,0.40282
3364786,0.40091
3364787,0.41021
3368390,0.42623
3368391,0.42913
3368392,0.42124
3368393,0.41337
3368394,0.41221
3368395,0.41168
3368396,0.40491
3368397,0.40382
3368398,0.39692
3368399,0.39273
3368400,0.39476
3368401,0.39552
3368402,0.39611
3368403,0.3965
3368404,0.39895
3372012,0.407
3372013,0.40044
3372014,0.39469
3372015,0.38679
3372016,0.38329
3372017,0.38841
3372018,0.38788
3372019,0.38887
3372020,0.38976
3372021,0.38852
3375629,0.40127
3375630,0.39478
3375631,0.38731
3375632,0.38142
3375633,0.37998
3375634,0.38083
3375635,0.3781
3375636,0.38033
3375637,0.3808
3375638,0.38049
3379246,0.39253
3379247,0.38769
3379248,0.38209
3379249,0.37818
3379250,0.37762
3379251,0.37266
3379252,0.36987
3379253,0.3731
3379254,0.37231
3379255,0.3722
3382863,0.38481
3382864,0.38181
3382865,0.37787
3382866,0.3743
3382867,0.37539
3382868,0.36959
3382869,0.36731
3382870,0.36662
3382871,0.36486
3382872,0.36656
3386480,0.38137
3386481,0.37925
3386482,0.37726
3386483,0.3748
3386484,0.37511
3386485,0.36888
3386486,0.36504
3386487,0.36084
3386488,0.35982
3386489,0.36184
3390097,0.38115
3390098,0.37986
3390099,0.37744
3390100,0.37511
3390101,0.37327
3390102,0.3662
3390103,0.36003
3390104,0.35598
