cell_id,therm_prs
3281492,0.33196
3281493,0.33159
3281494,0.32976
3281495,0.32594
3281496,0.3211
3281497,0.31667
3281498,0.31229
3281499,0.30639
3281500,0.29951
3281501,0.29292
3281502,0.28669
3281503,0.28218
3281504,0.27476
3281505,0.26498
3281506,0.26124000000000003
3281517,0.46573
3281518,0.47932
3281519,0.47645
3281520,0.47071
3281521,0.46257
3281522,0.45501
3281523,0.45147
3281524,0.45383
3281525,0.45673
3281526,0.45691
3281527,0.4586
3281528,0.45778
3281529,0.45575
3281530,0.45419
3281531,0.45405
3281532,0.45324
3281533,0.45415
3281534,0.44958
3281535,0.45495
3281536,0.45863
3285109,0.32099
3285110,0.3211
3285111,0.32128
3285112,0.3177
3285113,0.31065
3285114,0.30423
3285115,0.29943
3285116,0.29301
3285117,0.28158
3285118,0.27607
3285119,0.26686
3285120,0.2588
3285121,0.24834
3285122,0.23968
3285123,0.23347
3285134,0.44611
3285135,0.47076
3285136,0.47321
3285137,0.46276
3285138,0.45445
3285139,0.4475
3285140,0.443
3285141,0.44418
3285142,0.44708
3285143,0.44858
3285144,0.45041
3285145,0.45148
3285146,0.44984
3285147,0.44721
3285148,0.44409
3285149,0.4412
3285150,0.44625
3285151,0.44238
3285152,0.44513
3285153,0.44653
3288726,0.31371
3288727,0.31091
3288728,0.31007
3288729,0.30751
3288730,0.29849
3288731,0.29192
3288732,0.28762
3288733,0.28264
3288734,0.27269
3288735,0.26513
3288736,0.25646
3288737,0.24517
3288738,0.23151
3288739,0.22185
3288740,0.21148
3288751,0.42195
3288752,0.45423
3288753,0.47096
3288754,0.45277
3288755,0.44504
3288756,0.44133
3288757,0.4356
3288758,0.43366
3288759,0.43652
3288760,0.43787
3288761,0.43847
3288762,0.44293
3288763,0.44304
3288764,0.44094
3288765,0.43921
3288766,0.43715
3288767,0.43686
3288768,0.43319
3288769,0.43345
3288770,0.43171
3292343,0.30665
3292344,0.30194
3292345,0.29876
3292346,0.29705
3292347,0.28894
3292348,0.28517
3292349,0.27873
3292350,0.27095
3292351,0.264
3292352,0.2579
3292353,0.24757
3292354,0.23558
3292355,0.22053
3292356,0.20587
3292357,0.19075
3292368,0.40411
3292369,0.39323
3292371,0.42566
3292372,0.43071
3292373,0.43384
3292374,0.43058
3292375,0.42721
3292376,0.426
3292377,0.42641
3292378,0.42705
3292379,0.43059
3292380,0.43339
3292381,0.43533
3292382,0.4333
3292383,0.43283
3292384,0.42462
3292385,0.42351
3292386,0.42465
3292387,0.42188
3295960,0.30162
3295961,0.29497
3295962,0.28869
3295963,0.2871
3295964,0.28332
3295965,0.27913
3295966,0.27211
3295967,0.26364
3295968,0.25636
3295969,0.24828
3295970,0.23872
3295971,0.22256
3295972,0.20573
3295973,0.18899
3295974,0.17349
3295985,0.39803
3295986,0.38893
3295987,0.3844
3295988,0.396
3295989,0.41278
3295990,0.42692
3295991,0.42408
3295992,0.42081
3295993,0.41901
3295994,0.41772
3295995,0.41631
3295996,0.41962
3295997,0.42602
3295998,0.42821
3295999,0.42754
3296000,0.42343
3296001,0.41859
3296002,0.4182
3296003,0.41651
3296004,0.40916
3299577,0.29429
3299578,0.29038
3299579,0.28643
3299580,0.28113
3299581,0.27867
3299582,0.27416
3299583,0.26639
3299584,0.25817
3299585,0.25034
3299586,0.24106
3299587,0.22918
3299588,0.21331
3299589,0.19771
3299590,0.18011
3299591,0.1637
3299602,0.38629
3299603,0.38574
3299604,0.38796
3299605,0.39668
3299606,0.41106
3299607,0.42698
3299608,0.42349
3299609,0.41599
3299610,0.41295
3299611,0.41033
3299612,0.40881
3299613,0.41061
3299614,0.41635
3299615,0.41757
3299616,0.41817
3299617,0.4174
3299618,0.41571
3299619,0.41244
3299620,0.40945
3299621,0.40031
3303189,0.30706
3303190,0.30637
3303191,0.30462
3303192,0.30199
3303193,0.29946
3303194,0.29185
3303195,0.28759
3303196,0.2849
3303197,0.28133
3303198,0.27583
3303199,0.27058
3303200,0.26188
3303201,0.25164
3303202,0.24201
3303203,0.23345
3303204,0.22216
3303205,0.20765
3303206,0.19138
3303207,0.17565
3303208,0.15785
3303229,0.39995000000000003
3303230,0.39972
3303231,0.40412
3303232,0.40539
3303233,0.40661
3303234,0.41205
3303235,0.41217
3303236,0.40803
3303237,0.40237
3303238,0.39801
3303239,0.3984
3303240,0.40255
3303241,0.40317
3303242,0.39707
3303243,0.39844
3303244,0.40213
3303245,0.40903
3303246,0.40129
3303247,0.39341
3303248,0.39276
3303249,0.38727
3303250,0.38851
3303251,0.38941
3303252,0.38845
3303253,0.37892
3303254,0.38141
3303255,0.38615
3303256,0.38683
3303257,0.39237
3303258,0.39577
3303259,0.39023
3303260,0.38273
3303261,0.38085
3303262,0.38364
3303263,0.38135
3303264,0.37983
3303265,0.37279
3303266,0.37567
3303267,0.3783
3303268,0.37931
3303269,0.38537
3303270,0.38253
3303271,0.36709
3303272,0.37391
3303273,0.3794
3303274,0.38778
3303275,0.39963
3303276,0.38764
3303277,0.37714
3303278,0.37366
3303279,0.36338
3303280,0.37643
3303281,0.39016
3303282,0.3831
3303283,0.39003
3303284,0.40667
3303285,0.40837
3303286,0.4028
3303287,0.39818
3303288,0.40665
3303289,0.41489
3303290,0.422
3303291,0.42728
3303292,0.43751
3303293,0.44705
3303294,0.45642
3303295,0.45207
3303296,0.4628
3303297,0.48012
3303298,0.49168
3306806,0.30659
3306807,0.30375
3306808,0.30101
3306809,0.29837
3306810,0.29522
3306811,0.29004
3306812,0.2868
3306813,0.28336
3306814,0.27971
3306815,0.27308
3306816,0.26724
3306817,0.25894
3306818,0.24964
3306819,0.23933
3306820,0.23251
3306821,0.21932
3306822,0.20393
3306823,0.18827
3306824,0.17232
3306825,0.15411
3306846,0.38792
3306847,0.38673
3306848,0.3906
3306849,0.39319
3306850,0.39753
3306851,0.40033
3306852,0.40099
3306853,0.40237
3306854,0.39606
3306855,0.39316
3306856,0.39729
3306857,0.39969
3306858,0.39626
3306859,0.39404
3306860,0.38849
3306861,0.39189
3306862,0.39925
3306863,0.39574
3306864,0.38758
3306865,0.38308
3306866,0.38231
3306867,0.37741
3306868,0.37387
3306869,0.37867
3306870,0.37567
3306871,0.37449
3306872,0.37893
3306873,0.37104
3306874,0.37654
3306875,0.38421
3306876,0.37408
3306877,0.36733
3306878,0.37186
3306879,0.37031
3306880,0.36489
3306881,0.36044
3306882,0.36157
3306883,0.35956
3306884,0.3584
3306885,0.36177
3306886,0.36995
3306887,0.36774
3306888,0.36833
3306889,0.37205
3306890,0.37237
3306891,0.37521
3306892,0.37578
3306893,0.37398
3306894,0.37461
3306895,0.36786
3306896,0.35292
3306897,0.36156
3306898,0.35981
3306899,0.35458
3306900,0.36695
3306901,0.39116
3306902,0.39798
3306903,0.38899
3306904,0.38343
3306905,0.39465
3306906,0.40272
3306907,0.39996
3306908,0.40866
3306909,0.41113
3306910,0.4261
3306911,0.43994
3306912,0.43836
3306913,0.44202
3306914,0.4561
3306915,0.4702
3310423,0.30958
3310424,0.30521
3310425,0.30194
3310426,0.29906
3310427,0.29546
3310428,0.29015
3310429,0.28355
3310430,0.28023
3310431,0.27566
3310432,0.2701
3310433,0.26467
3310434,0.25712
3310435,0.24928
3310436,0.24098
3310437,0.23242
3310438,0.22083
3310439,0.20642
3310440,0.18997
3310441,0.17325
3310442,0.1542
3310463,0.37564
3310464,0.37023
3310465,0.37461
3310466,0.38193
3310467,0.38426
3310468,0.38627
3310469,0.38538
3310470,0.39295
3310471,0.39287
3310472,0.38593
3310473,0.39021
3310474,0.39054
3310475,0.38569
3310476,0.38651
3310477,0.38884
3310478,0.38677
3310479,0.3861
3310480,0.38683
3310481,0.38256
3310482,0.37507
3310483,0.37174
3310484,0.36737
3310485,0.36675
3310486,0.36832
3310487,0.37032
3310488,0.3748
3310489,0.37751
3310490,0.3752
3310491,0.37595
3310492,0.37147
3310493,0.36128
3310494,0.35677
3310495,0.35944
3310496,0.35805
3310497,0.35286
3310498,0.35245
3310499,0.35474
3310500,0.35224
3310501,0.35218
3310502,0.35862
3310503,0.36503
3310504,0.36347
3310505,0.37194
3310506,0.37159
3310507,0.36615
3310508,0.37728
3310509,0.36283
3310510,0.35632
3310511,0.36161
3310512,0.35984
3310513,0.34674
3310514,0.34543
3310515,0.33805
3310516,0.33694
3310517,0.34443
3310518,0.36046
3310519,0.37425
3310520,0.37082
3310521,0.36715
3310522,0.37457
3310523,0.38545
3310524,0.38063
3310525,0.38814
3310526,0.38721
3310527,0.40076
3310528,0.41357
3310529,0.4247
3310530,0.42899
3310531,0.42528
3310532,0.42963
3314040,0.31225
3314041,0.30697
3314042,0.30268
3314043,0.29925
3314044,0.29508
3314045,0.29002
3314046,0.28399
3314047,0.28072
3314048,0.27848
3314049,0.27307
3314050,0.26574
3314051,0.25727
3314052,0.24836
3314053,0.24051
3314054,0.23284
3314055,0.22363
3314056,0.21093
3314057,0.1949
3314058,0.17755
3314059,0.15898
3314080,0.36325
3314081,0.35542
3314082,0.35512
3314083,0.36618
3314084,0.37052
3314085,0.37753
3314086,0.38132
3314087,0.38093
3314088,0.38202
3314089,0.37773
3314090,0.37985
3314091,0.3782
3314092,0.37483
3314093,0.37187
3314094,0.37816
3314095,0.37865
3314096,0.38129
3314097,0.38237
3314098,0.37945
3314099,0.3727
3314100,0.36556
3314101,0.36614
3314102,0.36838
3314103,0.36299
3314104,0.36564
3314105,0.37132
3314106,0.37385
3314107,0.37313
3314108,0.37162
3314109,0.36242
3314110,0.35052
3314111,0.35094
3314112,0.35009
3314113,0.34545
3314114,0.34832
3314115,0.35004
3314116,0.35219
3314117,0.35205
3314118,0.35335
3314119,0.35759
3314120,0.35719
3314121,0.35796
3314122,0.36263
3314123,0.35607
3314124,0.35519
3314125,0.36123
3314126,0.35624
3314127,0.35618
3314128,0.35605
3314129,0.34736
3314130,0.34245
3314131,0.33381
3314132,0.32391
3314133,0.33205
3314134,0.32715
3314135,0.33376
3314136,0.35439
3314137,0.36075
3314138,0.36951
3314139,0.3745
3314140,0.36778
3314141,0.36066
3314142,0.36861
3314143,0.373
3314144,0.37316
3314145,0.38582
3314146,0.40864
3314147,0.41329
3314148,0.41333
3314149,0.4135
3317657,0.31198
3317658,0.30796
3317659,0.30385
3317660,0.29896
3317661,0.29382
3317662,0.29045
3317663,0.28564
3317664,0.28072
3317665,0.27697
3317666,0.2721
3317667,0.26654
3317668,0.25766
3317669,0.24827
3317670,0.23929
3317671,0.23246
3317672,0.2251
3317673,0.21462
3317674,0.20047
3317675,0.18265
3317676,0.16521
3317697,0.35372
3317698,0.34823
3317699,0.3419
3317700,0.34749
3317701,0.36733
3317702,0.37668
3317703,0.37855
3317704,0.37347
3317705,0.37393
3317706,0.36891
3317707,0.37044
3317708,0.36809
3317709,0.366
3317710,0.36532
3317711,0.36762
3317712,0.36659
3317713,0.3703
3317714,0.3722
3317715,0.37574
3317716,0.37334
3317717,0.36565
3317718,0.36404
3317719,0.36369
3317720,0.36361
3317721,0.36421
3317722,0.3707
3317723,0.36772
3317724,0.36315
3317725,0.36259
3317726,0.35981
3317727,0.35663
3317728,0.34953
3317729,0.34467
3317730,0.34054
3317731,0.34287
3317732,0.34455
3317733,0.35073
3317734,0.3474
3317735,0.34526
3317736,0.3503
3317737,0.35041
3317738,0.35057
3317739,0.35749
3317740,0.34727
3317741,0.33919
3317742,0.34045
3317743,0.341
3317744,0.34491
3317745,0.34314
3317746,0.3357
3317747,0.32393
3317748,0.32485
3317749,0.32001
3317750,0.3239
3317751,0.31494
3317752,0.32791
3317753,0.33613
3317754,0.3474
3317755,0.35763
3317756,0.35721
3317757,0.34424
3317758,0.3451
3317759,0.35094
3317760,0.3563
3317761,0.36213
3317762,0.36373
3317763,0.37418
3317764,0.3908
3317765,0.40467
3317766,0.41322
3321274,0.31304
3321275,0.30859
3321276,0.30588
3321277,0.30148
3321278,0.29529
3321279,0.29131
3321280,0.28708
3321281,0.28281
3321282,0.27738
3321283,0.27339
3321284,0.26774
3321285,0.25893
3321286,0.24981
3321287,0.23991
3321288,0.23258
3321289,0.2262
3321290,0.21786
3321291,0.20678
3321292,0.19063
3321293,0.175
3321314,0.35241
3321315,0.35006
3321316,0.34337
3321317,0.34804
3321318,0.36762
3321319,0.37095
3321320,0.37295
3321321,0.36757
3321322,0.36526
3321323,0.3631
3321324,0.36353
3321325,0.36214
3321326,0.35973
3321327,0.36044
3321328,0.36166
3321329,0.36098
3321330,0.36188
3321331,0.36174
3321332,0.3637
3321333,0.36461
3321334,0.36577
3321335,0.36486
3321336,0.35598
3321337,0.35687
3321338,0.36432
3321339,0.3623
3321340,0.35862
3321341,0.35695
3321342,0.35834
3321343,0.35811
3321344,0.35549
3321345,0.34625
3321346,0.34358
3321347,0.3445
3321348,0.34111
3321349,0.33976
3321350,0.34557
3321351,0.3403
3321352,0.33021
3321353,0.3311
3321354,0.33854
3321355,0.33878
3321356,0.34145
3321357,0.3382
3321358,0.3362
3321359,0.33378
3321360,0.32801
3321361,0.32688
3321362,0.31859
3321363,0.31423
3321364,0.30749
3321365,0.31511
3321366,0.31248
3321367,0.31093
3321368,0.31175
3321369,0.32358
3321370,0.32784
3321371,0.33191
3321372,0.33745000000000003
3321373,0.3303
3321374,0.32748
3321375,0.32773
3321376,0.33188
3321377,0.34533
3321378,0.34646
3321379,0.34071
3321380,0.33646
3321381,0.36193
3321382,0.39391
3321383,0.40083
3324891,0.31546
3324892,0.31097
3324893,0.30771
3324894,0.30416
3324895,0.29819
3324896,0.29469
3324897,0.28997
3324898,0.28483
3324899,0.28034
3324900,0.27613
3324901,0.27105
3324902,0.26343
3324903,0.25402
3324904,0.24566
3324905,0.23793
3324906,0.23084
3324907,0.2219
3324908,0.21225
3324909,0.199
