cell_id,therm_prs
2525614,0.06374
2525615,0.11323
2525616,0.13588
2525617,0.14116
2529231,0.06593
2529232,0.10469
2529233,0.13798
2532848,0.06826
2532849,0.11916
2532850,0.1463
2536464,0.03917
2536465,0.05055
2536466,0.13893
2536467,0.15285
2540081,0
2540082,0.07009
2540083,0.14958
2540084,0.15603
2543697,0.05147
2543698,0.0486
2543699,0.12551
2543700,0.1628
2547362,0.08443
2547363,0.08725
2547364,0.08624
2547365,0.08685
2547366,0.08831
2550979,0.08803
2550980,0.08672
2550981,0.08455
2550982,0.087790000000000007
2550983,0.09183
2554545,0.05355
2554546,0.10336
2554596,0.09053
2554597,0.0907
2554598,0.08712
2554599,0.08782
2554600,0.09617
2558161,0.12971
2558162,0.12322
2558163,0.15429
2558212,0.09347
2558213,0.09545
2558214,0.09462
2558215,0.09258
2558216,0.08957
2561777,0.13861
2561778,0.19544
2561779,0.22039
2561829,0.09571
2561830,0.10133
2561831,0.10171
2561832,0.09784
2561833,0.09364
2565393,0.16889
2565394,0.1411
2565395,0.22898
2565396,0.25218
2565446,0.10248
2565447,0.10579
2565448,0.10326
2565449,0.1021
2565450,0.09849
2569009,0.23466
2569010,0.18902
2569011,0.20682
2569012,0.24963
2569013,0.26777
2569024,0.14754
2569025,0.16399
2569026,0.15484
2569027,0.14593
2569028,0.13434
2569029,0.13553
2569030,0.13819
2569031,0.13703
2569032,0.13254
2569033,0.12246
2569034,0.11682
2569035,0.11613
2569036,0.11965
2569037,0.10338
2569038,0.05951
2569039,0.0297
2569040,0.03297
2569041,0
2569042,0
2569043,0.00428
2569044,0.03053
2569045,0.01082
2569046,0
2569047,0
2569048,0
2569049,0
2569050,0
2569051,0.04099
2569052,0.07143
2569053,0.0804
2569054,0.0897
2569055,0.10274
2569056,0.10836
2569057,0.10565
2569058,0.11064
2569059,0.10728
2569060,0.10234
2569061,0.10802
2569062,0.11517
2569063,0.11545
2569064,0.11143
2569065,0.10498
2569066,0.10116
2569067,0.09808
2569068,0.0952
2569069,0.0917
2569070,0.08978
2569071,0.08814
2569072,0.08551
2569073,0.08763
2569074,0.09034
2569075,0.08483
2569076,0.0855
2569077,0.09007
2569078,0.08615
2569079,0.07173
2569080,0.05968
2569081,0.0498
2569082,0.05131
2569083,0.05258
2569084,0.05141
2569085,0.05435
2569086,0.05392
2572626,0.24661
2572627,0.26837
2572628,0.265
2572629,0.25867
2572630,0.27352
2572641,0.15506
2572642,0.17051
2572643,0.15546
2572644,0.14182
2572645,0.13474
2572646,0.1403
2572647,0.14515
2572648,0.14606
2572649,0.14282
2572650,0.13689
2572651,0.13083
2572652,0.12917
2572653,0.13138
2572654,0.10358
2572655,0.04857
2572658,0
2572659,0
2572660,0.00164
2572661,0.02843
2572662,0
2572663,0
2572666,0
2572667,0
2572668,0.04736
2572669,0.06912
2572670,0.07877
2572671,0.09095
2572672,0.10234
2572673,0.10636
2572674,0.1084
2572675,0.11151
2572676,0.10918
2572677,0.10682
2572678,0.11048
2572679,0.1169
2572680,0.11662
2572681,0.11041
2572682,0.10335
2572683,0.09736
2572684,0.09396
2572685,0.09638
2572686,0.09128
2572687,0.08273
2572688,0.08499
2572689,0.08486
2572690,0.08588
2572691,0.08759
2572692,0.08787
2572693,0.08761
2572694,0.08688
2572695,0.08251
2572696,0.06472
2572697,0.05611
2572698,0.04681
2572699,0.0466
2572700,0.05259
2572701,0.04963
2572702,0.04903
2572703,0.04682
2576245,0.26942
2576246,0.24905
2576247,0.26431
2576257,0.07578
2576258,0.16299
2576259,0.16947
2576260,0.14743
2576261,0.13499
2576262,0.12063
2576263,0.12953
2576264,0.14026
2576265,0.14594
2576266,0.14583
2576267,0.13917
2576268,0.13209
2576269,0.1321
2576284,0
2576285,0.07497
2576286,0.0749
2576287,0.07904
2576288,0.08762
2576289,0.07667
2576290,0.07452
2576291,0.09393
2576292,0.11408
2576293,0.11886
2576294,0.11537
2576295,0.11568
2576296,0.11643
2576297,0.11462
2576298,0.10792
2576299,0.10078
2576300,0.09713
2576301,0.09246
2576302,0.0919
2576303,0.08604
2576304,0.0807
2576305,0.08376
2576306,0.08475
2576307,0.08163
2576308,0.08186
2576309,0.08689
2576310,0.08656
2576311,0.08431
2576312,0.07535
2576313,0.06005
2576314,0.05203
2576315,0.04899
2576316,0.04664
2576317,0.04976
2576318,0.04893
2576319,0.04669
2576320,0.04518
2579862,0.26939
2579863,0.19687
2579879,0.1124
2579880,0.12329
2579906,0.04215
2579907,0.03434
2579908,0.07186
2579909,0.11468
2579910,0.12193
2579911,0.11704
2579912,0.11749
2579913,0.11773
2579914,0.11459
2579915,0.10766
2579916,0.10259
2579917,0.09951
2579918,0.09452
2579919,0.08926
2579920,0.08121
2579921,0.07832
2579922,0.07945
2579923,0.07987
2579924,0.07557
2579925,0.07442
2579926,0.0825
2579927,0.08397
2579928,0.07939
2579929,0.06732
2579930,0.0578
2579931,0.05083
2579932,0.04741
2579933,0.0442
2579934,0.04236
2579935,0.04245
2579936,0.04161
2579937,0.04399
2583524,0
2583525,0.06374
2583526,0.11681
2583527,0.12119
2583528,0.12142
2583529,0.12213
2583530,0.11903
2583531,0.11319
2583532,0.1073
2583533,0.10026
2583534,0.09741
2583535,0.09305
2583536,0.08854
2583537,0.08221
2583538,0.07608
2583539,0.07277
2583540,0.07319
2583541,0.06923
2583542,0.06889
2583543,0.07375
2583544,0.07627
2583545,0.07099
2583546,0.06383
2583547,0.05465
2583548,0.04586
2583549,0.04284
2583550,0.03969
2583551,0.03838
2583552,0.0387
2583553,0.03974
2583554,0.04286
2587139,0
2587140,0
2587141,0
2587142,0.05492
2587143,0.08917
2587144,0.11088
2587145,0.12599
2587146,0.12566
2587147,0.11831
2587148,0.11015
2587149,0.10244
2587150,0.09686
2587151,0.09316
2587152,0.08934
2587153,0.08686
2587154,0.07929
2587155,0.07277
2587156,0.06723
2587157,0.06428
2587158,0.05959
2587159,0.06397
2587160,0.06505
2587161,0.0667
2587162,0.06477
2587163,0.0555
2587164,0.04538
2587165,0.03811
2587166,0.03891
2587167,0.0409
2587168,0.04037
2587169,0.03827
2587170,0.03571
2590756,0
2590757,0
2590758,0
2590759,0
2590760,0.04085
2590761,0.10522
2590762,0.13173
2590763,0.13155
2590764,0.12015
2590765,0.1123
2590766,0.10381
2590767,0.09405
2590768,0.09213
2590769,0.08841
2590770,0.08674
2590771,0.08414
2590772,0.07268
2590773,0.06608
2590774,0.05907
2590775,0.05835
2590776,0.06066
2590777,0.0616
2590778,0.05882
2590779,0.05778
2590780,0.05124
2590781,0.04249
2590782,0.03605
2594374,0
2594375,0
2594376,0
2594377,0
2594378,0.09425
2594379,0.13846
2594380,0.13308
2594381,0.12455
2594382,0.11291
2594383,0.10324
2594384,0.0948
2594385,0.09092
2594386,0.08778
2594387,0.08508
2594388,0.082170000000000007
2594389,0.07091
2594390,0.06367
2594391,0.06082
2594392,0.05876
2594393,0.06072
2594394,0.05928
2594395,0.05692
2594396,0.05794
2594397,0.05391
2594398,0.04509
2594399,0.03911
2597991,0
2597992,0
2597993,0
2597994,0
2597995,0.04356
2597996,0.1307
2597997,0.12376
2597998,0.1056
2597999,0.0961
2598000,0.09901
2598001,0.099030000000000007
2598002,0.09315
2598003,0.08921
2598004,0.085319999999999993
2598005,0.07896
2598006,0.06859
2598007,0.05897
2598008,0.05631
2598009,0.05528
2598010,0.0535
2598011,0.04875
2598012,0.05071
2598013,0.05322
2598014,0.04951
2598015,0.04397
2598016,0.0428
2601609,0
2601610,0
2601611,0
2601612,0
2601613,0
2601614,0.0443
2601615,0.08152
2601616,0.07615
2601617,0.09571
2601618,0.10337
2601619,0.09946
2601620,0.0922
2601621,0.08329
2601622,0.07737
2601623,0.06755
2601624,0.05901
2601625,0.05292
2601626,0.05363
2601627,0.05149
2601628,0.04408
2601629,0.04704
2601630,0.04985
2601631,0.0444
2601632,0.04465
2601633,0.04652
2605229,0
2605230,0
2605232,0.02795
2605233,0.06143
2605234,0.09884
2605235,0.1095
2605236,0.10324
2605237,0.08935
2605238,0.08204
2605239,0.07693
2605240,0.06874
2605241,0.06458
2605242,0.05503
2605243,0.05036
2605244,0.04724
2605245,0.04088
2605246,0.04197
2605247,0.04532
2605248,0.04295
2605249,0.04254
2608849,0.01305
2608850,0.08022
2608851,0.11101
2608852,0.10978
2608853,0.10032
2608854,0.08816
2608855,0.08248
2608856,0.0748
2608857,0.06605
2608858,0.06369
2608859,0.05518
2608860,0.05078
2608861,0.04368
2608862,0.03997
2608863,0.0417
2608864,0.03949
2608865,0.03938
2608866,0.04324
2612467,0.07771
2612468,0.11244
2612469,0.10954
2612470,0.09958
2612471,0.09127
2612472,0.08189
2612473,0.0728
2612474,0.06208
2612475,0.06126
2612476,0.05612
2612477,0.05184
2612478,0.04377
2616082,0
2616083,0.00689
2616084,0.07729
2616085,0.10704
2616086,0.11037
2616087,0.0991
2616088,0.08918
2616089,0.08046
2616090,0.07141
2616091,0.06047
2616092,0.05813
2616093,0.05549
2616094,0.05203
2616095,0.04517
2619698,0
2619699,0
2619700,0.01504
2619701,0.08972
2619702,0.10696
2619703,0.10788
2619704,0.09905
2619705,0.0876
2619706,0.08072
2619707,0.06958
2619708,0.06082
2619709,0.05785
2619710,0.05676
2619711,0.05343
2619712,0.04475
2623316,0
2623317,0.04216
2623318,0.09756
2623319,0.10675
2623320,0.10566
2623321,0.10123
2623322,0.09035
2623323,0.08232
2623324,0.07228
2623325,0.06255
2623326,0.05747
2623327,0.05538
2623328,0.04853
2623329,0.0421
2626933,0
2626934,0.07179
2626935,0.1013
2626936,0.10675
2626937,0.10405
2626938,0.09907
2626939,0.08985
2626940,0.08168
2626941,0.07632
2626942,0.06211
2626943,0.05283
2626944,0.04914
2626945,0.04235
2630550,0.06529
2630551,0.08102
2630552,0.10317
2630553,0.10718
2630554,0.10117
2630555,0.09471
2630556,0.08912
2630557,0.08163
2630558,0.0737
2630559,0.06056
2630560,0.05264
2630561,0.04833
2630562,0.04316
2634167,0
2634168,0.08284
2634169,0.10456
2634170,0.10584
2634171,0.09899
2634172,0.09253
2634173,0.09026
2634174,0.08202
2634175,0.0693
2634176,0.05959
2634177,0.05438
2634178,0.04974
2634179,0.04483
2637785,0.08659
2637786,0.10158
2637787,0.10666
2637788,0.09947
2637789,0.09361
2637790,0.09095
2637791,0.08273
2637792,0.07031
2637793,0.059
2637794,0.05248
2637795,0.04684
2637796,0.04236
2641401,0
